date,open,high,low,close
22-08-2023,900.1,900.1,900.1,900.1
24-08-2023,990.0,990.0,990.0,990.0
09-10-2023,900.3,990.0,900.3,990.0
11-10-2023,990.0,998.0,990.0,998.0
08-12-2023,998.0,998.0,997.0,997.0
11-12-2023,1014.54,1014.54,1014.54,1014.54
14-12-2023,1000.0,1017.0,1000.0,1010.0
15-12-2023,1015.29,1015.29,1000.0,1015.29
18-12-2023,1016.0,1016.0,1015.0,1015.0
30-01-2024,1015.0,1015.0,1015.0,1015.0
08-02-2024,1028.47,1028.47,1028.47,1028.47
20-02-2024,1040.2,1040.2,1040.2,1040.2
23-02-2024,1040.0,1040.0,1040.0,1040.0
01-03-2024,1040.0,1040.0,1040.0,1040.0
07-03-2024,1188.0,1188.0,1188.0,1188.0
11-03-2024,930.0,930.0,899.9,899.9
14-03-2024,925.0,925.0,905.0,905.0
21-03-2024,905.0,905.0,850.0,850.0
28-03-2024,850.0,859.99,850.0,859.99
01-04-2024,857.0,865.0,856.99,865.0
02-04-2024,920.0,920.0,875.0,879.46
03-04-2024,950.0,951.0,897.0,900.0
08-04-2024,900.0,900.0,900.0,900.0
12-04-2024,950.0,950.0,950.0,950.0
31-05-2024,900.0,900.0,900.0,900.0
