date,open,high,low,close
20-03-2024,999.0,999.0,950.63,990.0
21-03-2024,990.0,990.0,950.0,958.26
22-03-2024,965.2,965.2,965.2,965.2
28-03-2024,999.0,999.0,999.0,999.0
02-04-2024,999.0,999.0,999.0,999.0
04-04-2024,990.0,990.0,990.0,990.0
10-04-2024,990.0,990.0,990.0,990.0
12-04-2024,990.0,999.98,990.0,999.98
15-04-2024,995.0,1015.0,995.0,996.81
18-04-2024,996.81,996.81,971.2,981.0
22-04-2024,985.0,985.0,985.0,985.0
23-04-2024,985.0,985.1,985.0,985.1
24-04-2024,985.1,1000.0,985.1,1000.0
25-04-2024,1000.0,1000.0,1000.0,1000.0
26-04-2024,1000.0,1000.0,1000.0,1000.0
29-04-2024,990.0,990.0,990.0,990.0
02-05-2024,1000.0,1000.0,1000.0,1000.0
06-05-2024,1001.0,1001.0,1001.0,1001.0
08-05-2024,1000.0,1000.0,1000.0,1000.0
24-05-2024,1000.0,1000.0,981.0,990.5
27-05-2024,1000.0,1000.0,981.0,997.0
31-05-2024,981.0,1000.0,981.0,1000.0
07-06-2024,1000.0,1000.0,1000.0,1000.0
10-06-2024,1000.0,1000.0,1000.0,1000.0
11-06-2024,995.0,995.0,980.0,980.0
12-06-2024,981.0,981.0,981.0,981.0
13-06-2024,981.1,981.1,981.0,981.0
18-06-2024,1001.0,1001.0,985.0,985.0
19-06-2024,1001.0,1001.0,1001.0,1001.0
