date,open,high,low,close
15-07-2022,100.68,101.0,100.68,101.0
18-07-2022,99.61,99.61,99.5,99.55
19-07-2022,99.3,100.12,99.25,100.07
21-07-2022,100.45,100.45,100.25,100.45
22-07-2022,100.55,100.8,100.55,100.8
26-07-2022,100.8,101.58,100.8,101.58
27-07-2022,100.8,100.8,100.8,100.8
29-07-2022,100.03,100.03,100.03,100.03
01-08-2022,100.01,100.6,100.01,100.26
02-08-2022,100.99,101.0,100.99,100.99
03-08-2022,100.1,100.1,100.1,100.1
04-08-2022,101.0,101.0,101.0,101.0
08-08-2022,101.0,101.0,101.0,101.0
10-08-2022,101.5,101.6,101.4,101.53
16-08-2022,102.1,102.1,102.0,102.0
18-08-2022,102.5,102.75,102.5,102.75
19-08-2022,101.55,101.6,101.55,101.56
23-08-2022,101.4,101.55,101.4,101.49
24-08-2022,101.45,101.75,101.45,101.75
26-08-2022,101.75,102.35,101.75,102.33
30-08-2022,101.35,101.35,101.35,101.35
06-09-2022,101.7,101.7,101.7,101.7
07-09-2022,101.5,101.7,101.0,101.0
08-09-2022,103.3,103.3,103.3,103.3
13-09-2022,101.0,101.25,101.0,101.0
14-09-2022,101.5,101.5,101.5,101.5
19-09-2022,101.75,101.75,101.5,101.5
20-09-2022,101.0,102.0,101.0,101.5
21-09-2022,101.5,101.7,101.5,101.58
22-09-2022,101.5,101.5,101.3,101.3
26-09-2022,101.3,101.3,101.3,101.3
30-09-2022,101.3,102.0,101.3,102.0
06-10-2022,101.05,101.05,101.05,101.05
07-10-2022,102.45,102.45,101.3,101.3
10-10-2022,101.0,101.0,101.0,101.0
11-10-2022,101.0,101.55,101.0,101.55
12-10-2022,101.55,101.55,101.55,101.55
13-10-2022,102.44,102.44,102.44,102.44
18-10-2022,101.5,101.5,101.22,101.24
20-10-2022,101.24,101.3,101.24,101.3
21-10-2022,101.3,101.3,101.3,101.3
24-10-2022,101.7,101.7,101.7,101.7
25-10-2022,101.7,101.7,100.15,100.15
27-10-2022,100.26,100.26,100.26,100.26
31-10-2022,100.75,101.25,100.75,101.1
01-11-2022,101.35,101.9,101.35,101.9
03-11-2022,101.31,101.8,101.31,101.8
04-11-2022,101.8,101.8,100.75,101.8
07-11-2022,102.0,102.0,101.8,101.8
11-11-2022,101.8,102.0,101.8,102.0
14-11-2022,101.3,101.3,101.3,101.3
15-11-2022,101.6,101.6,101.6,101.6
16-11-2022,101.8,101.8,101.8,101.8
17-11-2022,101.8,101.8,101.8,101.8
18-11-2022,102.2,102.6,102.2,102.3
21-11-2022,102.3,102.3,102.0,102.0
22-11-2022,102.0,102.0,102.0,102.0
23-11-2022,102.2,102.2,102.2,102.2
24-11-2022,102.21,103.0,102.21,103.0
25-11-2022,102.4,102.5,102.4,102.5
28-11-2022,102.5,102.5,102.5,102.5
29-11-2022,100.21,103.0,100.0,103.0
30-11-2022,103.5,104.0,102.0,103.99
01-12-2022,103.0,103.0,102.35,102.6
05-12-2022,103.0,103.0,102.85,102.85
06-12-2022,101.0,103.0,101.0,102.36
08-12-2022,100.11,102.76,100.1,102.76
09-12-2022,102.8,103.2,102.8,103.13
12-12-2022,102.8,103.05,102.8,103.05
14-12-2022,103.1,103.5,103.1,103.5
15-12-2022,102.5,102.5,102.5,102.5
16-12-2022,102.55,103.0,102.55,103.0
20-12-2022,102.5,103.95,102.5,102.5
21-12-2022,102.5,102.5,102.5,102.5
22-12-2022,103.49,103.49,101.0,101.0
23-12-2022,101.0,102.2,101.0,101.34
26-12-2022,101.34,101.34,100.2,100.25
27-12-2022,100.95,100.95,100.25,100.25
28-12-2022,100.3,100.5,100.0,100.5
29-12-2022,100.56,100.7,100.56,100.65
30-12-2022,101.0,101.0,101.0,101.0
03-01-2023,101.0,101.0,100.0,100.0
06-01-2023,100.3,101.15,100.3,101.15
09-01-2023,101.99,101.99,101.99,101.99
10-01-2023,101.99,101.99,101.99,101.99
11-01-2023,100.5,100.5,100.5,100.5
12-01-2023,100.0,100.5,99.5,99.78
13-01-2023,100.0,100.0,99.75,99.76
17-01-2023,99.75,100.24,99.75,100.0
18-01-2023,100.4,100.4,100.4,100.4
19-01-2023,100.5,100.5,100.0,100.45
20-01-2023,100.45,100.45,100.45,100.45
23-01-2023,100.5,100.5,100.5,100.5
24-01-2023,100.49,100.5,100.49,100.5
