date,open,high,low,close
31-07-2019,1111.0,1111.0,1111.0,1111.0
22-06-2020,1333.0,1333.0,1333.0,1333.0
13-08-2020,1165.0,1165.0,1150.1,1161.27
24-08-2020,1393.0,1393.0,1393.0,1393.0
08-09-2020,1290.0,1375.0,1290.0,1375.0
09-09-2020,1375.0,1380.0,1375.0,1380.0
14-09-2020,1376.0,1377.0,1376.0,1377.0
15-09-2020,1360.0,1360.0,1360.0,1360.0
16-09-2020,1310.0,1380.0,1160.6,1160.6
29-09-2020,1160.6,1160.6,1160.6,1160.6
16-10-2020,1160.6,1160.6,1160.6,1160.6
19-10-2020,1160.6,1160.6,1160.6,1160.6
21-10-2020,1195.0,1370.0,1195.0,1370.0
22-10-2020,1370.0,1370.0,1370.0,1370.0
23-10-2020,1330.0,1380.0,1330.0,1380.0
29-10-2020,1380.0,1380.0,1150.0,1150.0
18-11-2020,1112.0,1112.0,1111.15,1111.15
09-12-2020,1330.0,1330.0,1330.0,1330.0
10-12-2020,1330.0,1330.0,1330.0,1330.0
15-12-2020,1344.5,1344.5,1344.5,1344.5
18-12-2020,1300.0,1300.0,1300.0,1300.0
28-12-2020,1300.0,1300.0,1300.0,1300.0
29-12-2020,1300.0,1350.0,1300.0,1350.0
22-01-2021,1350.0,1350.0,1350.0,1350.0
29-01-2021,1111.2,1111.2,1111.2,1111.2
19-03-2021,1333.0,1333.0,1300.0,1332.99
30-03-2021,1332.99,1332.99,1332.99,1332.99
15-04-2021,1349.99,1349.99,1349.99,1349.99
20-04-2021,1151.0,1151.0,1151.0,1151.0
22-04-2021,1152.0,1152.0,1152.0,1152.0
23-04-2021,1152.0,1152.0,1151.0,1151.0
26-04-2021,1151.5,1151.5,1150.54,1150.54
16-06-2021,1156.0,1156.0,1156.0,1156.0
22-06-2021,1144.53,1144.53,1144.53,1144.53
25-08-2021,1370.0,1370.0,1152.11,1152.11
30-08-2021,1153.01,1153.01,1153.01,1153.01
01-09-2021,1351.1,1351.1,1289.99,1289.99
02-09-2021,1153.0,1154.0,1153.0,1154.0
06-09-2021,1154.0,1155.0,1154.0,1155.0
17-09-2021,1155.01,1155.16,1155.0,1155.16
21-09-2021,1156.0,1159.0,1156.0,1156.0
30-09-2021,1146.1,1250.0,1146.1,1250.0
01-10-2021,1146.0,1146.0,1146.0,1146.0
04-10-2021,1140.0,1140.0,1140.0,1140.0
21-10-2021,1367.9,1367.9,1091.6,1268.1
23-12-2021,1268.1,1268.1,1268.1,1268.1
19-01-2022,1268.1,1268.1,1268.1,1268.1
25-01-2022,1098.0,1100.0,1098.0,1100.0
27-01-2022,1319.9,1319.9,1099.21,1099.21
21-03-2022,1130.0,1130.0,1130.0,1130.0
20-04-2022,1103.65,1120.0,1103.62,1120.0
22-04-2022,1104.6,1105.05,1104.6,1105.05
28-04-2022,1117.0,1117.0,1117.0,1117.0
09-05-2022,1117.0,1117.0,1117.0,1117.0
12-05-2022,1184.06,1184.06,1184.06,1184.06
07-10-2022,1042.15,1047.1,1042.15,1047.1
14-10-2022,1047.1,1047.1,1047.1,1047.1
31-10-2022,1151.51,1151.51,1151.51,1151.51
09-11-2022,1152.91,1152.91,1052.9,1053.0
16-11-2022,1054.5,1056.0,1054.5,1056.0
21-11-2022,1054.05,1057.0,1054.05,1057.0
25-11-2022,1059.15,1059.15,1054.0,1056.57
28-11-2022,1059.6,1059.6,1059.6,1059.6
02-12-2022,1060.3,1060.5,1060.3,1060.4
09-02-2023,1076.5,1269.9,1076.5,1269.9
24-04-2023,1150.0,1150.0,1150.0,1150.0
20-06-2023,1150.0,1150.0,1150.0,1150.0
07-08-2023,1150.0,1150.0,1150.0,1150.0
14-09-2023,1051.1,1051.1,1051.1,1051.1
15-09-2023,1051.1,1051.1,1051.1,1051.1
01-11-2023,1261.0,1261.0,1261.0,1261.0
02-11-2023,1261.0,1261.0,1261.0,1261.0
12-12-2023,1261.0,1261.0,1261.0,1261.0
18-12-2023,1009.1,1009.1,1009.1,1009.1
04-03-2024,1042.05,1042.05,1042.05,1042.05
28-03-2024,1000.1,1000.1,1000.1,1000.1
01-04-2024,1015.01,1015.01,1015.0,1015.0
09-04-2024,1016.65,1016.65,1016.65,1016.65
17-05-2024,1020.31,1020.31,1020.31,1020.31
