date,open,high,low,close
07-08-2019,1200.0,1200.0,1200.0,1200.0
13-08-2019,1200.0,1200.0,1200.0,1200.0
20-08-2019,1200.0,1200.0,1200.0,1200.0
27-08-2019,1300.0,1300.0,1300.0,1300.0
28-01-2020,1560.0,1560.0,1560.0,1560.0
08-04-2020,1872.0,1872.0,1448.99,1569.0
24-04-2020,1550.0,1550.0,1550.0,1550.0
17-07-2020,1860.0,1860.0,1860.0,1860.0
24-07-2020,1849.0,1858.99,1849.0,1853.99
27-07-2020,1500.0,1500.0,1483.2,1483.8
18-09-2020,1778.0,1779.0,1778.0,1778.48
14-10-2020,1998.0,1998.0,1998.0,1998.0
27-11-2020,1995.0,1995.0,1995.0,1995.0
07-04-2021,2034.9,2034.9,2034.9,2034.9
14-06-2021,2032.0,2032.0,2032.0,2032.0
