date,open,high,low,close
05-08-2019,1121.0,1135.0,1120.25,1135.0
07-08-2019,1150.0,1150.0,1150.0,1150.0
22-08-2019,1140.0,1140.0,1140.0,1140.0
04-09-2019,1148.0,1160.0,1148.0,1160.0
10-10-2019,1123.1,1123.1,1123.1,1123.1
14-10-2019,1123.0,1123.0,1123.0,1123.0
27-10-2019,1180.0,1189.0,1180.0,1189.0
01-11-2019,1180.0,1189.0,1180.0,1189.0
22-11-2019,1165.5,1165.5,1165.5,1165.5
26-11-2019,1165.5,1165.5,1165.5,1165.5
10-12-2019,1167.95,1167.95,1167.95,1167.95
12-12-2019,1168.55,1168.55,1150.0,1161.5
20-12-2019,1130.0,1130.1,1128.99,1130.02
23-12-2019,1127.0,1129.69,1096.15,1102.0
24-12-2019,1100.0,1100.0,1100.0,1100.0
26-12-2019,1100.0,1104.0,1100.0,1103.33
27-12-2019,1103.5,1110.0,1103.0,1109.52
30-01-2020,1120.0,1120.0,1120.0,1120.0
04-02-2020,1097.11,1097.11,1097.0,1097.06
10-02-2020,1100.5,1100.5,1100.5,1100.5
18-02-2020,1105.36,1105.36,1105.0,1105.0
19-02-2020,1110.0,1110.0,1110.0,1110.0
25-02-2020,1120.0,1120.0,1120.0,1120.0
27-02-2020,1129.0,1129.0,1129.0,1129.0
03-03-2020,1136.5,1136.5,1136.5,1136.5
04-03-2020,1148.0,1159.0,1148.0,1159.0
05-03-2020,1159.0,1199.0,1159.0,1160.0
09-03-2020,1189.0,1189.0,1149.0,1149.0
11-03-2020,1166.0,1166.0,1166.0,1166.0
13-03-2020,1166.0,1176.0,1166.0,1170.0
16-03-2020,1160.0,1160.0,1150.0,1150.0
17-03-2020,1178.8,1178.8,1160.0,1160.0
18-03-2020,1149.9,1149.9,1140.0,1140.0
19-03-2020,1139.0,1139.0,1120.0,1120.0
20-03-2020,1174.01,1174.01,1150.0,1150.0
23-03-2020,1174.8,1174.8,1150.0,1150.0
24-03-2020,1135.0,1135.0,1110.0,1110.0
27-03-2020,1110.1,1110.1,1108.5,1108.5
30-03-2020,1110.1,1110.1,1095.0,1095.0
07-04-2020,1100.0,1100.0,1060.0,1077.15
15-04-2020,1119.0,1119.0,1119.0,1119.0
23-04-2020,1121.2,1169.4,1121.2,1169.4
14-05-2020,1182.4,1182.4,1182.4,1182.4
21-05-2020,1175.0,1175.0,1170.0,1170.0
02-06-2020,1153.65,1153.65,1153.65,1153.65
03-06-2020,1168.0,1185.0,1165.0,1180.0
16-06-2020,1155.0,1184.9,1155.0,1184.9
17-06-2020,1194.9,1194.99,1194.9,1194.99
18-06-2020,1194.9,1194.9,1194.9,1194.9
19-06-2020,1194.73,1194.73,1194.73,1194.73
23-06-2020,1194.92,1194.92,1181.5,1181.53
24-06-2020,1194.99,1199.0,1194.99,1199.0
25-06-2020,1194.99,1195.0,1194.99,1195.0
30-06-2020,1194.0,1202.0,1194.0,1198.7
08-07-2020,1185.25,1185.25,1185.25,1185.25
09-07-2020,1190.4,1216.4,1190.25,1216.4
18-08-2020,1189.5,1189.5,1189.5,1189.5
25-08-2020,1187.6,1187.6,1187.6,1187.6
02-09-2020,1190.0,1190.0,1190.0,1190.0
04-09-2020,1190.2,1190.2,1190.2,1190.2
24-09-2020,1195.0,1196.0,1195.0,1195.85
25-09-2020,1200.0,1200.0,1200.0,1200.0
30-09-2020,1197.01,1201.3,1197.01,1201.25
19-10-2020,1205.0,1221.2,1205.0,1221.2
22-10-2020,1208.25,1218.5,1208.0,1218.5
27-10-2020,1212.2,1229.8,1212.2,1218.75
30-10-2020,1229.89,1229.89,1229.89,1229.89
12-11-2020,1229.85,1229.85,1229.85,1229.85
13-11-2020,1229.89,1230.0,1229.89,1230.0
02-12-2020,1238.5,1238.5,1238.0,1238.46
03-12-2020,1238.0,1238.0,1238.0,1238.0
04-12-2020,1238.0,1238.0,1238.0,1238.0
10-12-2020,1226.05,1226.05,1226.05,1226.05
18-12-2020,1175.0,1208.2,1175.0,1207.0
24-12-2020,1175.0,1175.0,1175.0,1175.0
30-12-2020,1180.0,1180.0,1180.0,1180.0
31-12-2020,1180.0,1180.0,1180.0,1180.0
