date,open,high,low,close
22-07-2019,1192.0,1192.0,1192.0,1192.0
23-07-2019,1192.0,1192.05,1192.0,1192.0
26-07-2019,1190.0,1199.9,1190.0,1190.0
30-07-2019,1187.0,1199.9,1187.0,1199.9
01-08-2019,1198.0,1198.0,1198.0,1198.0
02-08-2019,1194.0,1198.0,1194.0,1198.0
05-08-2019,1196.0,1196.0,1180.6,1180.6
06-08-2019,1190.0,1192.0,1190.0,1192.0
07-08-2019,1192.0,1200.0,1192.0,1195.32
13-08-2019,1190.1,1210.0,1190.1,1210.0
20-08-2019,1196.05,1200.05,1196.05,1200.05
26-08-2019,1205.1,1205.1,1205.1,1205.1
27-08-2019,1205.0,1205.0,1205.0,1205.0
29-08-2019,1222.0,1222.0,1222.0,1222.0
04-09-2019,1215.0,1244.0,1215.0,1244.0
06-09-2019,1206.1,1215.15,1206.0,1215.1
09-09-2019,1215.1,1235.0,1215.1,1235.0
12-09-2019,1235.0,1235.0,1235.0,1235.0
13-09-2019,1235.0,1235.0,1235.0,1235.0
18-09-2019,1240.0,1240.0,1240.0,1240.0
19-09-2019,1201.13,1223.0,1201.03,1218.85
20-09-2019,1212.25,1212.25,1209.0,1209.0
23-09-2019,1212.0,1220.0,1212.0,1220.0
27-09-2019,1220.0,1220.0,1220.0,1220.0
30-09-2019,1202.0,1202.0,1201.2,1201.2
01-10-2019,1210.0,1210.0,1207.0,1210.0
04-10-2019,1220.0,1225.0,1220.0,1225.0
07-10-2019,1225.0,1225.0,1225.0,1225.0
09-10-2019,1224.99,1224.99,1216.26,1216.54
10-10-2019,1247.01,1247.01,1247.01,1247.01
11-10-2019,1204.0,1221.21,1204.0,1221.21
14-10-2019,1235.0,1235.0,1217.0,1217.0
15-10-2019,1217.0,1255.0,1217.0,1255.0
16-10-2019,1257.0,1258.0,1257.0,1258.0
07-11-2019,1255.0,1255.0,1255.0,1255.0
08-11-2019,1245.0,1245.0,1240.0,1240.0
15-11-2019,1224.0,1224.0,1170.0,1170.0
21-11-2019,1160.0,1160.0,1160.0,1160.0
22-11-2019,1157.0,1157.0,1157.0,1157.0
25-11-2019,1157.0,1163.75,1157.0,1157.45
05-12-2019,1155.0,1157.05,1155.0,1157.0
06-12-2019,1157.11,1157.11,1157.11,1157.11
10-12-2019,1157.15,1157.15,1157.15,1157.15
17-12-2019,1165.0,1165.0,1165.0,1165.0
20-12-2019,1224.0,1224.0,1224.0,1224.0
26-12-2019,1157.4,1180.0,1157.4,1176.68
30-12-2019,1180.0,1190.0,1180.0,1190.0
03-01-2020,1180.0,1180.0,1180.0,1180.0
07-01-2020,1185.0,1185.0,1185.0,1185.0
08-01-2020,1170.0,1200.0,1170.0,1200.0
14-01-2020,1200.0,1200.0,1158.1,1158.1
15-01-2020,1158.0,1190.0,1158.0,1190.0
23-01-2020,1179.0,1179.0,1179.0,1179.0
27-01-2020,1168.0,1168.0,1160.6,1160.6
28-01-2020,1170.0,1170.0,1165.2,1165.2
12-02-2020,1156.6,1156.6,1156.6,1156.6
13-02-2020,1156.6,1156.6,1156.6,1156.6
18-02-2020,1200.0,1200.0,1200.0,1200.0
19-02-2020,1199.99,1199.99,1194.0,1194.0
24-02-2020,1160.1,1181.0,1160.1,1181.0
27-02-2020,1190.0,1190.25,1190.0,1190.25
02-03-2020,1158.0,1178.05,1158.0,1178.05
03-03-2020,1180.0,1180.0,1180.0,1180.0
04-03-2020,1184.0,1198.0,1184.0,1185.0
05-03-2020,1188.15,1188.15,1188.15,1188.15
06-03-2020,1199.99,1200.0,1189.05,1199.0
09-03-2020,1199.0,1199.0,1199.0,1199.0
12-03-2020,1184.25,1184.25,1184.25,1184.25
13-03-2020,1210.0,1210.0,1201.0,1201.0
16-03-2020,1185.0,1185.0,1184.0,1184.0
17-03-2020,1173.4,1200.0,1173.4,1199.31
18-03-2020,1199.0,1199.0,1199.0,1199.0
19-03-2020,1199.0,1199.0,1197.25,1199.0
20-03-2020,1190.0,1220.1,1190.0,1220.1
23-03-2020,1160.1,1213.6,1121.0,1213.3
31-03-2020,1175.0,1175.0,1175.0,1175.0
01-04-2020,1210.0,1211.0,1175.01,1175.01
07-04-2020,1176.5,1176.5,1176.25,1176.25
08-04-2020,1180.5,1190.1,1180.1,1190.1
15-04-2020,1210.0,1210.0,1210.0,1210.0
20-04-2020,1210.0,1217.0,1210.0,1217.0
21-04-2020,1217.0,1227.0,1217.0,1227.0
22-04-2020,1178.0,1200.1,1178.0,1200.1
30-04-2020,1264.9,1266.5,1264.9,1266.5
06-05-2020,1275.0,1275.0,1275.0,1275.0
19-05-2020,1251.2,1252.2,1251.2,1252.2
20-05-2020,1280.0,1280.0,1280.0,1280.0
02-06-2020,1280.0,1280.0,1280.0,1280.0
09-06-2020,1314.8,1314.8,1314.8,1314.8
10-06-2020,1300.0,1300.0,1300.0,1300.0
19-06-2020,1280.0,1280.0,1280.0,1280.0
22-06-2020,1314.9,1329.8,1270.0,1270.0
23-06-2020,1300.0,1300.0,1300.0,1300.0
24-06-2020,1276.0,1276.0,1265.0,1265.0
30-06-2020,1314.8,1314.8,1314.8,1314.8
01-07-2020,1285.11,1285.11,1285.11,1285.11
03-07-2020,1230.2,1230.2,1230.2,1230.2
13-07-2020,1230.2,1271.0,1230.2,1271.0
15-07-2020,1344.8,1344.8,1344.8,1344.8
22-07-2020,1268.2,1268.2,1268.2,1268.2
24-07-2020,1300.0,1300.0,1300.0,1300.0
28-07-2020,1300.0,1300.0,1300.0,1300.0
30-07-2020,1310.11,1315.0,1310.01,1315.0
10-08-2020,1307.11,1329.99,1307.0,1329.99
11-08-2020,1328.8,1330.0,1328.8,1329.21
14-08-2020,1344.75,1344.75,1344.75,1344.75
19-08-2020,1326.0,1326.0,1325.0,1325.0
20-08-2020,1344.89,1344.89,1344.89,1344.89
