date,open,high,low,close
28-10-2022,300.0,302.2,298.21,300.01
31-10-2022,300.69,302.0,300.01,301.26
01-11-2022,301.89,304.99,301.26,301.96
02-11-2022,302.0,305.0,302.0,302.89
03-11-2022,304.98,304.98,302.85,302.98
04-11-2022,304.5,304.5,302.5,302.88
07-11-2022,304.5,304.5,302.85,302.9
09-11-2022,303.14,303.14,303.0,303.06
10-11-2022,303.16,303.54,303.0,303.5
11-11-2022,303.5,308.9,303.0,304.2
14-11-2022,307.99,307.99,304.25,305.51
15-11-2022,304.51,309.0,304.0,305.47
16-11-2022,308.5,309.69,306.0,307.39
17-11-2022,309.0,309.0,306.13,307.59
18-11-2022,309.0,309.0,306.26,307.46
21-11-2022,307.0,309.0,306.5,306.78
22-11-2022,306.5,307.82,306.5,307.12
23-11-2022,306.5,309.0,306.5,306.81
24-11-2022,306.5,308.18,306.5,307.32
25-11-2022,307.32,308.88,307.32,307.63
28-11-2022,307.65,308.99,307.65,308.13
29-11-2022,307.65,308.19,307.65,307.87
30-11-2022,307.52,307.9,307.21,307.71
01-12-2022,307.71,308.0,307.71,307.78
02-12-2022,308.0,308.98,307.6,308.11
05-12-2022,307.75,308.19,307.7,308.01
06-12-2022,307.6,308.4,307.6,308.02
07-12-2022,308.0,308.35,307.62,307.63
08-12-2022,309.0,309.0,307.65,308.24
09-12-2022,307.85,308.5,307.85,308.01
12-12-2022,308.01,308.01,307.71,307.92
13-12-2022,307.65,308.4,307.65,308.33
14-12-2022,307.65,308.99,307.65,308.15
15-12-2022,308.0,308.99,308.0,308.26
16-12-2022,308.99,309.19,308.51,308.65
19-12-2022,308.7,309.19,308.7,309.09
20-12-2022,308.28,309.19,308.28,308.94
21-12-2022,309.0,309.0,308.55,308.96
22-12-2022,309.0,310.0,309.0,309.11
23-12-2022,308.65,309.5,308.65,309.3
26-12-2022,310.0,310.0,309.0,309.13
27-12-2022,309.2,309.41,309.2,309.27
28-12-2022,309.25,310.0,309.25,309.55
29-12-2022,310.88,310.88,309.01,309.09
30-12-2022,309.11,310.0,309.11,309.66
02-01-2023,310.0,310.0,309.5,309.99
03-01-2023,309.51,310.42,309.51,309.93
04-01-2023,310.54,310.54,309.55,310.14
05-01-2023,310.0,310.25,309.55,310.0
06-01-2023,309.8,310.35,309.8,310.19
09-01-2023,311.0,311.0,310.19,310.4
10-01-2023,310.4,310.99,310.39,310.99
11-01-2023,310.22,310.99,309.92,310.98
12-01-2023,311.0,311.0,310.01,310.98
13-01-2023,312.0,312.0,310.25,310.98
16-01-2023,310.25,311.5,310.25,311.4
17-01-2023,311.4,311.85,310.44,311.14
18-01-2023,311.14,313.0,311.01,311.01
19-01-2023,310.55,311.45,310.55,310.82
20-01-2023,310.9,311.0,310.9,310.92
23-01-2023,312.5,312.5,311.0,311.74
24-01-2023,311.25,311.74,311.25,311.26
25-01-2023,311.05,312.25,311.05,311.65
27-01-2023,312.1,312.1,310.81,311.02
30-01-2023,310.8,313.75,310.8,310.82
31-01-2023,310.58,313.69,310.58,311.06
01-02-2023,311.0,312.0,311.0,311.12
02-02-2023,311.1,313.49,311.1,311.15
03-02-2023,311.13,312.05,311.13,311.9
06-02-2023,311.16,312.25,311.0,311.21
07-02-2023,310.65,312.0,310.65,311.95
08-02-2023,310.58,311.95,310.58,311.91
09-02-2023,311.11,313.45,311.11,311.5
10-02-2023,312.0,312.85,311.14,311.2
13-02-2023,313.75,313.75,311.01,312.3
14-02-2023,312.4,313.25,312.4,313.1
15-02-2023,312.5,312.95,312.22,312.22
16-02-2023,314.0,314.0,314.0,314.0
17-02-2023,312.01,313.49,312.01,313.49
20-02-2023,313.49,313.49,312.75,313.23
21-02-2023,312.03,313.14,312.03,312.15
22-02-2023,312.5,312.51,312.2,312.2
23-02-2023,312.02,312.79,311.0,311.74
24-02-2023,311.5,312.99,311.0,312.5
27-02-2023,313.19,313.19,311.51,312.01
28-02-2023,314.0,314.0,308.0,310.63
01-03-2023,310.64,312.99,310.64,311.08
02-03-2023,311.11,313.39,311.1,313.0
03-03-2023,313.56,313.65,311.31,312.02
06-03-2023,312.02,313.45,312.02,313.35
08-03-2023,312.0,313.34,312.0,313.0
09-03-2023,312.0,313.45,312.0,313.45
10-03-2023,311.15,313.49,311.15,313.49
13-03-2023,314.0,314.0,311.3,311.63
14-03-2023,311.45,314.0,311.45,311.62
15-03-2023,310.51,312.0,310.51,311.28
16-03-2023,311.28,313.95,311.0,313.53
17-03-2023,313.5,313.96,313.5,313.56
20-03-2023,313.0,313.0,312.21,312.81
21-03-2023,312.0,313.05,312.0,312.71
22-03-2023,312.52,315.0,312.52,314.0
23-03-2023,310.35,313.0,310.35,312.71
24-03-2023,312.2,313.5,312.2,313.5
27-03-2023,311.07,313.5,311.07,311.89
28-03-2023,310.1,312.0,310.1,311.02
