date,open,high,low,close
14-05-2020,1011.8,1011.8,1011.8,1011.8
15-05-2020,1005.0,1005.0,1005.0,1005.0
21-05-2020,1005.0,1005.0,1005.0,1005.0
26-05-2020,1007.0,1007.0,1007.0,1007.0
29-05-2020,1012.0,1012.0,1012.0,1012.0
05-06-2020,1008.8,1008.8,1008.8,1008.8
09-06-2020,1008.8,1008.8,1008.8,1008.8
10-06-2020,995.0,995.0,995.0,995.0
12-06-2020,1015.0,1015.0,1015.0,1015.0
16-06-2020,1015.0,1015.0,1015.0,1015.0
22-06-2020,1020.0,1020.0,1020.0,1020.0
24-06-2020,1020.0,1020.0,1020.0,1020.0
25-06-2020,1021.0,1021.0,1021.0,1021.0
29-06-2020,1026.0,1026.0,1026.0,1026.0
30-06-2020,1025.0,1025.0,1025.0,1025.0
01-07-2020,1025.0,1025.0,1025.0,1025.0
03-07-2020,1030.0,1035.0,1030.0,1035.0
06-07-2020,1035.0,1035.0,1035.0,1035.0
21-12-2020,1025.0,1025.0,1025.0,1025.0
22-12-2020,1000.0,1000.0,1000.0,1000.0
15-06-2021,905.0,905.0,905.0,905.0
27-07-2021,906.0,909.0,906.0,909.0
09-08-2021,1060.0,1060.0,1060.0,1060.0
12-08-2021,1040.0,1040.0,1040.0,1040.0
17-08-2021,1040.0,1040.0,1040.0,1040.0
18-08-2021,1040.0,1040.0,1040.0,1040.0
20-08-2021,1052.0,1052.0,1030.0,1030.0
23-08-2021,1026.0,1026.0,1021.5,1024.86
24-08-2021,1025.0,1025.0,1025.0,1025.0
11-04-2022,1020.0,1020.0,1020.0,1020.0
18-04-2022,975.0,1005.0,975.0,1005.0
22-04-2022,1019.0,1019.0,1019.0,1019.0
17-06-2022,1060.0,1060.0,1060.0,1060.0
12-08-2022,1124.99,1124.99,1124.99,1124.99
26-07-2023,1110.99,1110.99,1110.99,1110.99
24-08-2023,945.01,1124.99,945.01,1124.99
13-09-2023,1100.99,1100.99,1100.99,1100.99
20-09-2023,945.01,945.01,945.01,945.01
