date,open,high,low,close
16-01-2020,1000.0,1002.0,1000.0,1000.0
17-01-2020,1002.4,1002.4,1000.2,1002.0
21-01-2020,1002.9,1002.9,1002.9,1002.9
22-01-2020,1002.01,1002.01,1000.0,1001.0
23-01-2020,1001.0,1001.0,1000.0,1000.0
24-01-2020,1001.3,1002.5,1001.3,1002.16
27-01-2020,1002.0,1002.0,1002.0,1002.0
28-01-2020,1003.0,1006.0,1001.0,1005.0
29-01-2020,1004.8,1004.8,1004.8,1004.8
30-01-2020,1004.99,1004.99,1004.69,1004.74
01-02-2020,1002.0,1004.0,1002.0,1004.0
03-02-2020,1005.0,1005.0,1005.0,1005.0
04-02-2020,1005.01,1006.0,1005.01,1006.0
05-02-2020,1001.01,1009.95,1001.01,1009.0
06-02-2020,1009.9,1009.9,1009.9,1009.9
07-02-2020,1008.0,1010.0,1008.0,1009.73
10-02-2020,1010.0,1010.0,1009.99,1010.0
12-02-2020,1010.0,1010.0,1010.0,1010.0
13-02-2020,1014.0,1014.0,1014.0,1014.0
14-02-2020,1014.0,1014.0,1008.0,1009.3
17-02-2020,1002.0,1003.0,1002.0,1002.25
18-02-2020,1007.0,1007.0,1007.0,1007.0
20-02-2020,1010.0,1010.0,1010.0,1010.0
25-02-2020,1012.99,1013.0,1010.5,1013.0
26-02-2020,1014.0,1014.0,1013.0,1013.0
28-02-2020,1003.01,1003.15,1003.01,1003.15
02-03-2020,1003.15,1003.15,1003.15,1003.15
03-03-2020,1003.15,1003.15,1003.15,1003.15
09-03-2020,1004.0,1005.5,1004.0,1005.5
12-03-2020,1007.0,1010.0,1007.0,1008.05
16-03-2020,1009.0,1009.0,1000.0,1008.31
17-03-2020,1008.0,1012.0,1008.0,1012.0
18-03-2020,1000.0,1005.0,1000.0,1000.0
19-03-2020,1007.0,1009.0,1000.5,1009.0
20-03-2020,1002.0,1002.0,1002.0,1002.0
23-03-2020,1002.0,1002.0,1002.0,1002.0
26-03-2020,1002.0,1009.0,991.0,995.0
27-03-2020,990.0,1002.0,990.0,1002.0
31-03-2020,1008.95,1009.0,1008.95,1009.0
07-04-2020,1000.0,1000.0,1000.0,1000.0
08-04-2020,1005.0,1005.0,1005.0,1005.0
09-04-2020,1005.0,1010.0,1005.0,1007.5
13-04-2020,1008.0,1008.0,1001.0,1008.0
15-04-2020,1008.0,1008.0,1005.0,1006.4
16-04-2020,1019.0,1019.0,1010.0,1012.0
17-04-2020,1022.0,1022.0,1022.0,1022.0
20-04-2020,1020.0,1022.0,1020.0,1020.0
23-04-2020,1021.0,1021.0,1018.0,1019.5
27-04-2020,1018.0,1026.85,1018.0,1026.85
04-05-2020,1020.0,1020.0,1000.0,1002.33
05-05-2020,1020.0,1020.0,1010.0,1018.08
14-05-2020,1030.0,1030.0,1030.0,1030.0
15-05-2020,1030.0,1030.0,1030.0,1030.0
18-05-2020,1025.0,1025.0,1025.0,1025.0
