date,open,high,low,close
08-11-2019,900.0,900.0,850.0,876.0
15-11-2019,890.0,890.0,701.0,701.0
03-12-2019,840.0,840.0,840.0,840.0
04-12-2019,900.0,900.0,900.0,900.0
05-12-2019,900.0,900.0,900.0,900.0
06-12-2019,900.0,900.0,900.0,900.0
09-12-2019,900.0,900.0,900.0,900.0
11-12-2019,900.0,900.0,900.0,900.0
18-12-2019,850.0,850.0,850.0,850.0
19-12-2019,880.0,880.0,880.0,880.0
01-01-2020,880.0,900.0,880.0,900.0
02-01-2020,900.0,900.0,900.0,900.0
03-01-2020,900.0,900.0,900.0,900.0
21-01-2020,900.0,900.0,900.0,900.0
23-01-2020,900.0,900.0,900.0,900.0
24-01-2020,900.0,900.0,900.0,900.0
02-03-2020,1000.0,1000.0,1000.0,1000.0
03-03-2020,1000.0,1000.0,1000.0,1000.0
05-03-2020,1000.0,1000.0,1000.0,1000.0
06-03-2020,1000.0,1000.0,1000.0,1000.0
12-03-2020,950.0,950.0,950.0,950.0
17-03-2020,950.0,950.0,950.0,950.0
31-03-2020,950.0,1000.0,950.0,1000.0
08-04-2020,1000.0,1000.0,990.0,990.0
09-04-2020,988.0,988.0,975.0,975.0
13-04-2020,973.0,973.0,965.0,965.0
20-04-2020,980.0,980.0,980.0,980.0
29-04-2020,979.0,979.0,971.0,971.0
30-04-2020,971.0,971.0,970.0,970.0
06-05-2020,985.0,985.0,980.0,980.0
08-05-2020,988.0,988.0,987.0,987.5
15-05-2020,988.0,988.0,987.0,987.28
18-05-2020,986.0,986.0,981.0,983.75
27-05-2020,979.0,979.0,979.0,979.0
28-05-2020,978.0,978.0,975.0,975.0
29-05-2020,980.0,980.0,970.0,970.0
01-06-2020,978.0,980.0,970.0,970.0
05-06-2020,999.0,1000.0,999.0,1000.0
09-06-2020,812.0,812.0,812.0,812.0
10-06-2020,825.0,850.0,825.0,850.0
11-06-2020,990.0,1000.0,990.0,1000.0
16-06-2020,998.0,998.0,991.0,991.0
17-06-2020,990.0,990.0,852.5,876.25
23-06-2020,970.0,970.0,970.0,970.0
26-06-2020,980.0,980.0,980.0,980.0
30-06-2020,950.0,990.0,950.0,990.0
01-07-2020,996.0,996.0,980.0,980.0
02-07-2020,986.0,986.0,986.0,986.0
06-07-2020,999.99,999.99,999.99,999.99
07-07-2020,983.0,983.0,983.0,983.0
09-07-2020,975.0,975.0,975.0,975.0
10-07-2020,975.0,975.0,975.0,975.0
13-07-2020,980.0,980.0,980.0,980.0
14-07-2020,975.0,975.0,975.0,975.0
20-07-2020,885.0,950.0,885.0,929.25
22-07-2020,950.0,950.0,940.0,944.0
30-07-2020,984.99,984.99,950.0,950.0
10-08-2020,984.99,984.99,984.99,984.99
11-08-2020,985.0,998.99,985.0,998.99
21-08-2020,993.0,993.0,993.0,993.0
24-08-2020,1000.0,1000.0,990.0,990.0
25-08-2020,1099.95,1099.95,1099.95,1099.95
26-08-2020,880.0,995.0,880.0,982.5
27-08-2020,982.0,982.0,982.0,982.0
22-10-2020,1098.0,1098.0,1098.0,1098.0
10-11-2020,1050.0,1050.0,1050.0,1050.0
13-11-2020,1051.0,1060.0,1051.0,1060.0
17-11-2020,996.0,996.0,996.0,996.0
26-11-2020,1000.0,1000.0,1000.0,1000.0
27-11-2020,1000.0,1000.0,1000.0,1000.0
24-12-2020,1020.0,1020.0,1020.0,1020.0
29-12-2020,1100.0,1100.0,1100.0,1100.0
30-12-2020,1095.0,1095.0,1065.0,1065.0
05-01-2021,1070.0,1070.0,1070.0,1070.0
27-01-2021,1070.0,1070.0,1000.0,1000.0
01-02-2021,1000.0,1000.0,1000.0,1000.0
02-02-2021,1000.0,1000.0,1000.0,1000.0
03-02-2021,1000.0,1000.0,1000.0,1000.0
04-02-2021,1000.0,1000.0,1000.0,1000.0
08-02-2021,1000.0,1000.0,1000.0,1000.0
09-02-2021,1000.0,1040.0,1000.0,1008.69
10-02-2021,1000.0,1000.0,1000.0,1000.0
11-02-2021,1031.0,1031.0,1010.0,1031.0
15-02-2021,1065.0,1065.0,1065.0,1065.0
17-02-2021,1060.0,1060.0,1010.0,1055.0
12-03-2021,1099.99,1099.99,1099.99,1099.99
24-03-2021,1025.0,1025.0,1025.0,1025.0
09-04-2021,1098.99,1098.99,1098.99,1098.99
27-04-2021,1099.0,1099.0,1099.0,1099.0
28-04-2021,1149.0,1149.0,1149.0,1149.0
03-05-2021,1149.0,1149.0,1149.0,1149.0
06-05-2021,1098.99,1098.99,1098.99,1098.99
07-05-2021,1098.98,1098.98,1098.98,1098.98
19-05-2021,1199.0,1199.0,1198.99,1198.99
21-05-2021,1199.0,1199.0,1199.0,1199.0
26-05-2021,1050.0,1050.0,1050.0,1050.0
28-05-2021,1050.0,1050.0,1050.0,1050.0
01-06-2021,1050.0,1050.0,1050.0,1050.0
08-06-2021,1198.95,1198.95,1020.02,1173.49
11-06-2021,1098.99,1098.99,1098.99,1098.99
17-06-2021,1099.0,1099.0,1099.0,1099.0
18-06-2021,1099.0,1099.0,1098.0,1098.0
25-06-2021,1095.0,1095.0,1085.0,1085.0
07-07-2021,1060.0,1060.0,1060.0,1060.0
15-07-2021,1055.0,1055.0,1010.0,1017.56
16-08-2021,1198.99,1198.99,1025.0,1025.0
17-08-2021,1035.6,1035.6,1035.6,1035.6
30-08-2021,1190.0,1190.0,1190.0,1190.0
02-09-2021,1185.0,1185.0,1180.0,1180.0
03-09-2021,1175.0,1175.0,1160.0,1160.0
08-09-2021,1159.0,1190.0,1100.0,1100.0
09-09-2021,1100.0,1100.0,1090.0,1090.0
15-09-2021,1180.0,1180.0,1180.0,1180.0
16-09-2021,1175.0,1175.0,1165.0,1165.0
17-09-2021,1155.0,1155.0,1140.0,1140.0
20-09-2021,1042.0,1042.0,1042.0,1042.0
07-10-2021,1182.0,1182.0,1182.0,1182.0
11-10-2021,1109.0,1109.0,1109.0,1109.0
19-10-2021,1109.0,1109.0,1109.0,1109.0
21-10-2021,1299.99,1299.99,1225.0,1225.0
11-11-2021,1224.99,1224.99,1224.99,1224.99
30-11-2021,1220.0,1220.0,1220.0,1220.0
01-12-2021,1224.99,1224.99,1220.0,1220.0
06-12-2021,1224.96,1224.96,1224.96,1224.96
14-12-2021,1224.99,1224.99,1220.0,1220.0
16-12-2021,1210.0,1220.0,1210.0,1210.0
17-12-2021,1200.0,1200.0,1190.0,1190.0
23-12-2021,1180.0,1249.99,1007.0,1196.31
11-01-2022,1015.11,1249.99,1015.11,1249.99
20-01-2022,1012.0,1013.11,1012.0,1013.11
