date,open,high,low,close
05-07-2023,995.0,995.0,990.0,990.0
06-07-2023,830.0,950.0,830.0,950.0
07-07-2023,950.0,950.0,931.05,949.99
10-07-2023,951.0,951.0,940.0,940.0
11-07-2023,940.0,940.0,931.35,940.0
12-07-2023,941.0,941.0,940.0,940.0
13-07-2023,940.05,941.0,940.0,941.0
14-07-2023,941.0,942.0,940.0,940.0
17-07-2023,942.0,948.0,939.0,942.25
18-07-2023,951.0,951.0,940.0,951.0
19-07-2023,940.0,940.0,940.0,940.0
20-07-2023,940.2,945.0,933.0,942.5
21-07-2023,958.8,958.8,955.0,955.0
24-07-2023,955.0,958.2,936.2,954.99
25-07-2023,958.8,958.8,950.0,950.03
26-07-2023,950.1,950.1,950.0,950.05
27-07-2023,950.0,955.0,950.0,951.0
28-07-2023,952.0,952.0,952.0,952.0
31-07-2023,954.0,954.0,951.0,952.0
01-08-2023,952.0,960.0,952.0,960.0
02-08-2023,952.0,970.0,952.0,952.8
03-08-2023,961.0,961.0,950.0,952.1
04-08-2023,959.0,990.0,950.6,951.1
07-08-2023,951.8,974.5,951.8,955.21
08-08-2023,955.21,955.21,953.36,953.36
09-08-2023,953.8,953.84,953.8,953.84
11-08-2023,954.06,990.0,954.05,988.03
14-08-2023,979.9,979.9,953.16,979.0
16-08-2023,970.0,970.0,964.01,964.01
17-08-2023,964.01,964.01,956.27,956.27
18-08-2023,957.81,957.81,957.0,957.0
21-08-2023,957.0,957.0,957.0,957.0
22-08-2023,978.98,978.98,956.5,978.95
25-08-2023,960.0,960.0,952.01,952.2
28-08-2023,954.2,954.2,951.0,953.45
29-08-2023,954.01,954.01,954.01,954.01
31-08-2023,960.0,960.0,960.0,960.0
01-09-2023,979.8,979.8,979.8,979.8
05-09-2023,956.0,956.0,956.0,956.0
06-09-2023,957.01,959.8,954.8,958.63
07-09-2023,958.0,965.0,950.0,960.0
08-09-2023,960.2,960.2,950.0,952.14
11-09-2023,950.0,955.0,946.45,953.48
12-09-2023,958.8,958.8,946.0,947.21
13-09-2023,956.2,956.2,940.0,953.2
14-09-2023,945.03,953.2,940.0,947.1
18-09-2023,950.0,950.0,950.0,950.0
21-09-2023,951.01,962.75,951.01,962.75
22-09-2023,960.8,960.8,960.8,960.8
25-09-2023,960.8,960.8,951.01,951.55
26-09-2023,951.6,951.6,951.55,951.55
27-09-2023,964.0,964.8,960.0,960.0
28-09-2023,960.0,964.8,956.0,956.0
29-09-2023,956.0,961.0,956.0,961.0
03-10-2023,956.35,956.35,956.35,956.35
05-10-2023,957.2,960.25,957.2,960.25
06-10-2023,960.25,960.25,960.25,960.25
09-10-2023,960.2,984.0,958.0,974.0
10-10-2023,974.0,979.0,960.8,979.0
11-10-2023,962.0,965.0,962.0,965.0
12-10-2023,978.0,1002.37,978.0,991.62
13-10-2023,970.0,1002.62,967.1,1002.62
16-10-2023,970.2,970.2,970.2,970.2
18-10-2023,970.2,970.23,970.2,970.23
19-10-2023,1003.64,1003.64,1003.64,1003.64
27-10-2023,970.0,971.0,970.0,971.0
31-10-2023,966.2,999.9,966.2,970.31
01-11-2023,970.3,972.0,970.2,971.19
02-11-2023,970.2,980.0,970.2,975.2
03-11-2023,976.0,976.0,975.0,975.2
06-11-2023,977.0,985.4,975.4,978.0
08-11-2023,981.0,981.0,969.0,972.9
