date,open,high,low,close
11-09-2019,1500.0,1500.0,1500.0,1500.0
03-03-2020,1258.0,1258.0,1258.0,1258.0
03-06-2020,1350.0,1350.0,1350.0,1350.0
17-02-2021,1360.49,1360.49,1360.49,1360.49
05-04-2021,1352.0,1352.0,1352.0,1352.0
16-04-2021,1366.0,1366.0,1366.0,1366.0
28-07-2021,1601.01,1601.01,1601.01,1601.01
23-08-2021,1385.0,1386.0,1385.0,1385.5
30-08-2021,1662.0,1662.0,1662.0,1662.0
06-12-2021,1662.0,1662.0,1662.0,1662.0
28-02-2022,1994.0,1994.0,1994.0,1994.0
28-03-2022,1595.2,1595.2,1595.2,1595.2
28-04-2022,1595.0,1595.0,1595.0,1595.0
30-05-2022,1914.0,1914.0,1914.0,1914.0
28-06-2022,2296.0,2296.0,2296.0,2296.0
28-07-2022,2755.0,2755.0,2755.0,2755.0
29-08-2022,3306.0,3306.0,3306.0,3306.0
28-09-2022,3967.0,3967.0,3967.0,3967.0
24-10-2022,3967.0,3967.0,3967.0,3967.0
28-10-2022,4760.0,4760.0,4760.0,4760.0
31-10-2022,4760.0,4760.0,4760.0,4760.0
21-12-2022,4759.99,4759.99,4759.99,4759.99
05-04-2023,4759.99,4759.99,4759.99,4759.99
26-06-2023,4759.0,4759.0,4759.0,4759.0
07-09-2023,4759.0,4759.0,4759.0,4759.0
08-09-2023,4500.0,4759.0,4500.0,4759.0
11-09-2023,4758.0,4758.0,3870.0,4750.0
14-09-2023,4748.0,4748.0,4748.0,4748.0
20-09-2023,3799.0,3799.0,3798.4,3798.4
22-09-2023,3038.72,3038.72,3038.72,3038.72
25-09-2023,3037.0,3037.0,3037.0,3037.0
27-09-2023,3037.0,3037.0,3037.0,3037.0
29-09-2023,3036.0,3036.0,3036.0,3036.0
03-10-2023,3035.0,3035.0,3035.0,3035.0
23-10-2023,3032.0,3032.0,3032.0,3032.0
20-11-2023,3030.0,3030.0,3030.0,3030.0
06-12-2023,3030.0,3030.0,3030.0,3030.0
14-12-2023,3030.0,3030.0,3030.0,3030.0
27-12-2023,2425.0,3635.0,2425.0,3635.0
02-01-2024,3635.0,3635.0,3635.0,3635.0
10-01-2024,2910.0,4360.0,2910.0,4360.0
23-01-2024,4360.0,4360.0,4360.0,4360.0
22-02-2024,3490.0,5230.0,3490.0,5230.0
19-03-2024,6275.0,6275.0,6275.0,6275.0
05-04-2024,5918.0,5918.0,5918.0,5918.0
18-04-2024,4740.0,7100.0,4740.0,7100.0
13-05-2024,8515.0,8515.0,8515.0,8515.0
15-05-2024,8515.0,8515.0,8515.0,8515.0
28-05-2024,6820.0,10200.0,6820.0,10200.0
04-06-2024,10200.0,10200.0,10200.0,10200.0
12-06-2024,10001.0,10001.0,10001.0,10001.0
