date,open,high,low,close
18-10-2021,1000.0,1000.0,985.0,994.0
19-10-2021,991.0,996.0,987.1,995.99
20-10-2021,995.8,995.8,990.0,990.0
21-10-2021,993.0,999.0,990.0,994.0
22-10-2021,994.0,994.0,989.0,990.71
25-10-2021,993.9,994.0,984.01,988.28
26-10-2021,989.0,991.0,979.0,980.79
27-10-2021,991.0,991.0,985.0,986.0
28-10-2021,986.06,988.0,981.11,985.0
29-10-2021,989.9,989.9,981.0,985.0
01-11-2021,971.0,981.1,971.0,979.99
02-11-2021,980.03,980.03,977.0,977.96
03-11-2021,980.0,980.0,974.05,980.0
08-11-2021,985.0,989.0,981.0,986.0
09-11-2021,989.0,992.5,987.0,992.5
10-11-2021,992.5,994.5,987.54,987.88
11-11-2021,991.0,991.5,989.0,990.54
12-11-2021,988.0,990.45,987.0,990.45
15-11-2021,991.45,991.45,988.0,988.07
16-11-2021,989.99,989.99,985.0,985.88
17-11-2021,987.0,987.0,979.0,979.53
18-11-2021,980.12,980.12,975.0,979.99
22-11-2021,975.0,985.0,975.0,976.0
23-11-2021,976.0,980.0,973.0,974.0
24-11-2021,988.98,990.0,975.05,975.06
25-11-2021,975.06,977.99,972.21,976.02
26-11-2021,971.5,975.17,952.0,955.13
29-11-2021,960.0,970.0,959.99,969.0
30-11-2021,963.0,975.0,951.05,963.61
01-12-2021,970.0,970.0,957.0,957.0
02-12-2021,970.0,975.0,970.0,971.9
03-12-2021,974.99,975.0,968.11,969.25
06-12-2021,968.11,970.0,960.0,965.0
07-12-2021,966.0,980.0,965.0,965.87
08-12-2021,975.0,975.0,959.99,970.0
09-12-2021,963.25,969.99,963.25,965.0
10-12-2021,960.06,969.99,960.06,965.0
13-12-2021,963.0,967.0,826.8,965.0
14-12-2021,965.0,975.0,964.99,966.62
15-12-2021,969.99,969.99,955.1,959.9
16-12-2021,956.01,964.0,955.2,958.0
17-12-2021,963.0,964.98,963.0,964.9
20-12-2021,964.83,964.83,954.0,956.21
21-12-2021,957.0,964.9,937.0,951.38
22-12-2021,953.0,960.0,950.0,952.18
23-12-2021,940.0,960.0,940.0,960.0
24-12-2021,954.0,954.0,938.0,945.49
27-12-2021,959.0,959.0,915.0,927.04
28-12-2021,945.0,946.0,935.25,946.0
29-12-2021,950.0,950.0,935.17,944.19
30-12-2021,946.0,950.0,946.0,950.0
31-12-2021,950.0,951.0,948.5,948.5
03-01-2022,950.0,950.0,940.0,950.0
04-01-2022,946.0,957.0,946.0,954.0
05-01-2022,956.0,959.0,953.0,958.0
06-01-2022,954.0,954.25,950.5,954.25
07-01-2022,953.0,954.0,953.0,953.0
10-01-2022,950.0,965.0,950.0,964.75
11-01-2022,964.75,970.0,960.0,960.0
12-01-2022,964.99,965.0,963.0,965.0
14-01-2022,955.25,955.25,951.0,951.0
17-01-2022,953.0,954.0,946.5,947.69
18-01-2022,964.0,964.0,948.0,948.59
19-01-2022,949.0,950.0,949.0,950.0
20-01-2022,958.0,958.0,948.0,948.0
21-01-2022,950.0,950.0,948.0,950.0
24-01-2022,941.0,944.0,940.0,944.0
25-01-2022,945.0,945.0,940.0,940.0
27-01-2022,930.05,945.0,930.05,944.2
28-01-2022,940.0,957.0,940.0,950.1
31-01-2022,957.0,957.88,950.25,952.38
01-02-2022,988.0,988.0,943.0,943.0
02-02-2022,945.0,945.99,900.0,938.0
03-02-2022,938.0,953.99,938.0,953.0
04-02-2022,941.0,941.0,935.0,939.9
07-02-2022,947.0,951.0,935.0,941.7
08-02-2022,940.0,941.0,935.0,937.42
09-02-2022,943.0,943.1,936.0,936.5
10-02-2022,945.0,952.49,945.0,951.96
11-02-2022,950.0,958.0,949.86,951.99
14-02-2022,952.0,953.0,918.0,940.25
15-02-2022,940.0,950.01,931.25,950.01
17-02-2022,947.0,947.0,937.0,937.9
18-02-2022,940.0,945.0,934.05,935.55
21-02-2022,949.0,949.5,930.2,930.2
22-02-2022,939.99,940.0,931.0,931.0
23-02-2022,931.0,939.5,931.0,939.0
24-02-2022,930.0,934.5,915.0,919.15
25-02-2022,930.0,938.0,930.0,938.0
28-02-2022,925.5,930.0,923.0,930.0
02-03-2022,935.0,939.0,926.0,938.99
03-03-2022,939.0,939.0,938.99,938.99
04-03-2022,935.0,939.0,934.8,939.0
07-03-2022,936.0,938.99,924.0,924.0
08-03-2022,938.99,938.99,918.5,921.79
09-03-2022,945.0,945.0,930.0,934.0
10-03-2022,934.0,934.0,922.0,927.0
11-03-2022,927.0,933.8,927.0,933.8
14-03-2022,933.0,933.0,933.0,933.0
15-03-2022,932.8,932.8,923.05,928.9
16-03-2022,950.0,950.0,923.13,933.77
17-03-2022,933.0,945.0,922.0,932.28
21-03-2022,945.0,945.0,944.0,945.0
22-03-2022,940.0,940.0,930.0,930.0
23-03-2022,933.5,934.99,926.01,927.74
24-03-2022,940.0,940.0,930.0,930.0
25-03-2022,930.0,930.0,911.0,929.39
28-03-2022,935.0,940.0,935.0,939.08
29-03-2022,939.0,939.0,931.3,932.93
30-03-2022,943.5,943.5,932.4,940.0
31-03-2022,945.0,945.0,938.0,939.48
