date,open,high,low,close
22-07-2019,13.0,13.1,13.0,13.04
23-07-2019,13.0,13.09,13.0,13.05
24-07-2019,13.05,13.06,13.05,13.05
25-07-2019,13.05,13.12,13.05,13.1
26-07-2019,13.07,13.15,13.07,13.12
29-07-2019,13.09,13.13,13.09,13.09
30-07-2019,13.09,13.15,13.09,13.11
31-07-2019,13.06,13.13,13.06,13.1
01-08-2019,13.1,13.2,13.1,13.15
02-08-2019,13.1,13.22,13.1,13.19
05-08-2019,13.12,13.17,13.12,13.15
06-08-2019,13.14,13.16,13.14,13.14
07-08-2019,13.14,13.2,13.14,13.18
08-08-2019,13.1,13.35,13.1,13.21
09-08-2019,13.22,13.22,13.18,13.18
13-08-2019,13.18,13.25,13.18,13.18
14-08-2019,12.8,13.49,12.8,13.47
16-08-2019,13.35,13.35,13.16,13.24
19-08-2019,13.15,13.2,13.11,13.16
20-08-2019,13.1,13.2,13.1,13.16
21-08-2019,13.11,13.23,13.11,13.12
22-08-2019,13.11,13.19,13.08,13.12
23-08-2019,13.1,13.25,13.02,13.19
26-08-2019,13.1,13.3,13.01,13.12
27-08-2019,13.0,13.48,13.0,13.17
28-08-2019,13.11,13.16,13.1,13.11
29-08-2019,13.1,13.33,13.1,13.12
30-08-2019,13.12,13.15,13.1,13.12
03-09-2019,13.05,13.25,13.05,13.24
04-09-2019,13.0,13.25,13.0,13.19
05-09-2019,13.12,13.22,13.12,13.21
06-09-2019,13.11,13.3,13.11,13.21
09-09-2019,13.0,13.35,13.0,13.27
11-09-2019,13.5,13.5,13.21,13.23
12-09-2019,13.21,13.3,13.1,13.24
13-09-2019,13.21,13.33,13.12,13.26
16-09-2019,12.0,13.26,12.0,13.23
17-09-2019,13.2,13.34,13.2,13.32
18-09-2019,13.25,13.34,13.25,13.26
19-09-2019,13.25,13.37,13.24,13.28
20-09-2019,13.23,13.3,13.16,13.21
23-09-2019,13.01,13.21,13.01,13.18
24-09-2019,13.15,13.22,13.15,13.19
25-09-2019,13.16,13.22,13.16,13.21
26-09-2019,13.18,13.3,13.18,13.25
27-09-2019,13.0,13.3,13.0,13.26
30-09-2019,13.35,13.35,13.25,13.27
01-10-2019,13.28,13.4,13.26,13.29
03-10-2019,13.28,13.38,13.27,13.3
04-10-2019,13.45,13.45,13.0,13.33
07-10-2019,13.3,13.37,13.3,13.35
09-10-2019,13.4,13.45,13.33,13.4
10-10-2019,13.3,15.0,13.3,13.4
11-10-2019,13.31,13.46,13.31,13.44
14-10-2019,13.32,13.44,13.32,13.42
15-10-2019,13.41,13.44,13.37,13.4
16-10-2019,13.37,13.44,13.35,13.43
17-10-2019,13.47,13.47,13.39,13.41
18-10-2019,13.0,13.49,13.0,13.45
22-10-2019,13.3,13.48,13.3,13.46
23-10-2019,13.36,13.47,13.36,13.42
24-10-2019,13.45,13.46,13.42,13.45
25-10-2019,13.42,13.47,13.41,13.44
27-10-2019,13.5,13.5,13.35,13.42
29-10-2019,13.4,13.49,13.4,13.47
30-10-2019,13.41,13.47,13.41,13.43
31-10-2019,13.43,13.49,13.43,13.46
01-11-2019,13.45,13.49,13.45,13.48
04-11-2019,13.47,13.48,13.4,13.47
05-11-2019,13.46,13.48,13.46,13.46
06-11-2019,13.5,13.5,13.41,13.47
07-11-2019,13.47,13.54,13.44,13.5
08-11-2019,13.48,13.53,13.48,13.5
11-11-2019,13.5,13.54,13.48,13.51
13-11-2019,13.4,13.54,13.4,13.51
14-11-2019,13.48,13.54,13.48,13.52
15-11-2019,13.48,13.61,13.48,13.58
18-11-2019,13.52,13.57,13.52,13.56
19-11-2019,13.55,13.59,13.55,13.57
20-11-2019,13.58,13.65,13.58,13.61
21-11-2019,13.6,13.7,13.6,13.65
22-11-2019,13.55,13.69,13.55,13.63
25-11-2019,13.55,13.65,13.55,13.63
26-11-2019,13.55,13.7,13.55,13.64
27-11-2019,13.55,13.66,13.55,13.64
28-11-2019,13.57,13.75,13.57,13.69
29-11-2019,13.69,13.8,13.65,13.7
02-12-2019,13.6,13.72,13.6,13.7
03-12-2019,13.6,13.75,13.6,13.7
04-12-2019,13.7,13.75,13.7,13.73
05-12-2019,13.73,13.78,13.7,13.7
06-12-2019,13.7,13.75,13.7,13.71
09-12-2019,13.7,13.73,13.7,13.72
10-12-2019,13.72,13.75,13.72,13.73
11-12-2019,13.73,13.77,13.73,13.73
12-12-2019,13.73,13.8,13.73,13.79
13-12-2019,13.77,13.78,13.75,13.75
16-12-2019,13.75,13.77,13.7,13.74
17-12-2019,13.7,13.78,13.7,13.75
18-12-2019,13.7,13.78,13.7,13.75
19-12-2019,13.75,13.77,13.75,13.75
20-12-2019,13.75,13.79,13.75,13.76
23-12-2019,13.7,13.77,13.7,13.72
24-12-2019,13.7,13.78,13.7,13.71
26-12-2019,13.7,13.76,13.68,13.69
27-12-2019,13.65,13.75,13.65,13.7
30-12-2019,12.15,13.72,12.15,13.71
31-12-2019,13.7,13.76,13.7,13.72
01-01-2020,13.7,13.8,13.7,13.73
02-01-2020,13.72,13.79,13.72,13.73
03-01-2020,13.65,13.76,13.65,13.74
06-01-2020,13.72,13.77,13.66,13.68
07-01-2020,13.66,13.77,13.66,13.74
08-01-2020,13.6,13.78,13.6,13.73
09-01-2020,13.7,13.95,13.7,13.88
10-01-2020,13.85,13.9,13.82,13.87
13-01-2020,13.0,13.87,13.0,13.86
14-01-2020,13.85,13.93,13.85,13.88
15-01-2020,13.79,13.9,13.79,13.88
16-01-2020,13.83,13.9,13.83,13.85
17-01-2020,13.8,13.85,13.8,13.85
20-01-2020,13.75,13.91,13.75,13.88
21-01-2020,13.88,13.91,13.82,13.87
22-01-2020,13.85,13.92,13.85,13.89
