date,open,high,low,close
23-07-2019,1195.0,1195.0,1195.0,1195.0
16-08-2019,1215.75,1215.75,1215.75,1215.75
19-08-2019,1217.05,1217.05,1217.05,1217.05
23-08-2019,1232.0,1232.0,1232.0,1232.0
04-10-2019,1235.0,1238.0,1235.0,1238.0
23-10-2019,1245.0,1245.0,1245.0,1245.0
07-11-2019,1210.0,1210.0,1210.0,1210.0
23-04-2020,1215.0,1215.0,1215.0,1215.0
29-04-2020,1245.0,1245.0,1245.0,1245.0
04-12-2020,1491.9,1491.9,1491.9,1491.9
05-01-2021,1790.0,1790.0,1790.0,1790.0
02-02-2021,2145.0,2145.0,2145.0,2145.0
26-02-2021,2000.0,2000.0,1716.0,1716.0
01-03-2021,2058.95,2058.95,2053.8,2053.8
04-03-2021,1643.04,1718.0,1643.04,1647.13
19-03-2021,1317.71,1317.71,1317.71,1317.71
22-03-2021,1317.71,1317.71,1225.1,1238.0
05-04-2021,1485.0,1485.0,1484.0,1484.0
08-04-2021,1484.0,1484.0,1484.0,1484.0
13-04-2021,1240.0,1246.0,1240.0,1246.0
19-05-2021,1256.0,1270.0,1256.0,1270.0
21-05-2021,1270.0,1270.0,1270.0,1270.0
21-06-2021,1400.0,1400.0,1400.0,1400.0
05-07-2021,1400.0,1400.0,1400.0,1400.0
28-07-2021,1400.0,1400.0,1400.0,1400.0
04-08-2021,1470.0,1470.0,1470.0,1470.0
07-09-2021,1480.0,1480.0,1480.0,1480.0
20-09-2021,1480.0,1480.0,1480.0,1480.0
27-09-2021,1265.1,1480.0,1265.1,1480.0
08-11-2021,1524.0,1524.0,1524.0,1524.0
12-11-2021,1524.0,1524.0,1524.0,1524.0
18-11-2021,1274.0,1275.0,1274.0,1275.0
22-11-2021,1274.0,1274.0,1273.3,1273.3
02-12-2021,1400.0,1400.0,1400.0,1400.0
02-02-2022,1480.0,1480.0,1480.0,1480.0
04-02-2022,1283.6,1283.6,1283.5,1283.59
09-02-2022,1285.25,1290.0,1285.25,1288.56
23-02-2022,1325.0,1325.0,1325.0,1325.0
08-03-2022,1324.0,1324.0,1324.0,1324.0
01-04-2022,1204.5,1205.0,1204.5,1204.52
06-04-2022,1206.0,1206.0,1206.0,1206.0
07-04-2022,1203.5,1206.5,1203.5,1206.5
11-04-2022,1202.5,1202.5,1202.5,1202.5
13-04-2022,1205.0,1205.0,1205.0,1205.0
20-04-2022,1204.0,1204.0,1204.0,1204.0
04-05-2022,1329.0,1329.0,1329.0,1329.0
18-05-2022,1300.0,1300.0,1300.0,1300.0
07-06-2022,1249.0,1249.0,1231.0,1231.0
13-06-2022,1240.0,1240.0,1240.0,1240.0
20-06-2022,1240.0,1240.0,1240.0,1240.0
21-06-2022,1151.91,1152.0,1151.91,1152.0
05-07-2022,1269.0,1269.0,1209.6,1209.6
04-08-2022,1320.0,1320.0,1320.0,1320.0
06-09-2022,1388.0,1388.0,1388.0,1388.0
04-10-2022,1427.0,1427.0,1427.0,1427.0
06-10-2022,1430.0,1430.0,1430.0,1430.0
10-10-2022,1192.6,1192.6,1192.5,1192.5
31-10-2022,1194.0,1202.0,1194.0,1202.0
04-11-2022,1320.0,1320.0,1320.0,1320.0
09-11-2022,1224.0,1224.0,1224.0,1224.0
05-12-2022,1220.0,1220.0,1220.0,1220.0
08-12-2022,1233.0,1233.0,1233.0,1233.0
09-12-2022,1233.0,1233.0,1233.0,1233.0
29-12-2022,1233.0,1233.0,1233.0,1233.0
03-01-2023,1350.0,1350.0,1350.0,1350.0
01-02-2023,1460.0,1460.0,1460.0,1460.0
02-03-2023,1238.0,1238.0,1238.0,1238.0
06-03-2023,1245.0,1245.0,1245.0,1245.0
21-03-2023,1245.0,1245.0,1245.0,1245.0
05-04-2023,1300.0,1300.0,1300.0,1300.0
20-04-2023,1200.0,1200.0,1200.0,1200.0
15-06-2023,1155.1,1155.1,1155.0,1155.01
16-06-2023,1159.0,1162.0,1159.0,1159.05
11-08-2023,1150.0,1155.0,1150.0,1155.0
02-01-2024,1383.0,1383.99,1382.85,1382.86
03-01-2024,1382.86,1382.86,1380.45,1380.45
05-01-2024,1380.0,1380.0,1369.99,1369.99
10-01-2024,1368.99,1368.99,1367.99,1367.99
11-01-2024,1367.99,1367.99,1367.99,1367.99
15-01-2024,1367.99,1367.99,1354.99,1354.99
16-01-2024,1354.99,1354.99,1354.99,1354.99
18-01-2024,1354.99,1354.99,1342.05,1342.05
24-01-2024,1193.0,1195.0,1193.0,1194.0
29-01-2024,1193.0,1193.0,1193.0,1193.0
31-01-2024,1193.0,1197.0,1193.0,1197.0
05-02-2024,1200.0,1206.0,1200.0,1206.0
06-02-2024,1210.0,1210.0,1210.0,1210.0
12-02-2024,1432.0,1432.0,1211.01,1427.75
13-02-2024,1429.0,1429.0,1400.0,1400.0
15-02-2024,1400.0,1400.0,1201.1,1268.8
16-02-2024,1268.8,1268.8,1200.1,1200.1
19-02-2024,1201.1,1201.1,1201.1,1201.1
22-02-2024,1206.25,1214.0,1206.25,1206.7
04-03-2024,1288.8,1288.8,1207.0,1207.0
06-03-2024,1207.0,1207.0,1207.0,1207.0
18-03-2024,1207.0,1207.0,1207.0,1207.0
21-03-2024,1207.0,1207.0,1128.0,1128.0
22-03-2024,1128.0,1128.0,1128.0,1128.0
02-05-2024,1352.9,1352.9,1128.0,1128.0
03-05-2024,1075.6,1075.6,1075.6,1075.6
14-05-2024,1075.7,1075.7,1075.7,1075.7
07-06-2024,1135.0,1135.0,1135.0,1135.0
