date,open,high,low,close
23-07-2019,980.0,980.0,980.0,980.0
29-08-2019,1176.0,1176.0,1176.0,1176.0
12-09-2019,980.0,980.0,980.0,980.0
10-10-2019,950.0,950.0,950.0,950.0
10-07-2020,945.0,945.0,944.0,945.0
11-08-2020,940.0,940.0,940.0,940.0
24-08-2020,940.0,940.0,940.0,940.0
25-08-2020,939.95,939.95,939.95,939.95
11-11-2020,890.0,890.0,890.0,890.0
14-11-2020,900.0,900.0,900.0,900.0
02-12-2020,820.0,820.0,820.0,820.0
03-12-2020,701.0,701.0,701.0,701.0
10-12-2020,820.0,820.0,820.0,820.0
15-12-2020,820.0,820.0,820.0,820.0
21-12-2020,820.0,820.0,820.0,820.0
24-12-2020,890.0,890.0,890.0,890.0
31-12-2020,890.0,890.0,890.0,890.0
08-01-2021,890.0,890.0,890.0,890.0
18-01-2021,875.0,875.0,875.0,875.0
02-02-2021,875.0,875.0,875.0,875.0
08-02-2021,875.0,875.0,875.0,875.0
11-02-2021,875.0,875.0,875.0,875.0
22-02-2021,875.0,875.0,875.0,875.0
08-03-2021,875.0,875.0,875.0,875.0
16-03-2021,900.0,900.0,900.0,900.0
25-03-2021,722.0,722.0,722.0,722.0
13-08-2021,820.0,820.0,820.0,820.0
13-10-2021,920.0,920.0,920.0,920.0
18-10-2021,920.0,920.0,920.0,920.0
19-10-2021,910.0,910.0,910.0,910.0
01-11-2021,950.0,960.0,950.0,960.0
12-11-2021,960.0,960.0,960.0,960.0
15-11-2021,965.0,965.0,965.0,965.0
17-11-2021,960.0,975.0,960.0,975.0
24-11-2021,950.0,950.0,950.0,950.0
11-03-2022,820.2,820.2,820.2,820.2
05-04-2022,930.0,930.0,930.0,930.0
06-04-2022,930.0,930.0,925.0,925.0
10-05-2022,930.0,930.0,930.0,930.0
16-05-2022,930.0,930.0,930.0,930.0
10-06-2022,930.0,930.0,930.0,930.0
06-07-2022,903.0,903.0,903.0,903.0
07-07-2022,903.0,903.0,903.0,903.0
11-07-2022,901.0,901.0,901.0,901.0
13-07-2022,901.0,901.0,901.0,901.0
06-10-2022,920.0,920.0,920.0,920.0
07-10-2022,910.0,910.0,910.0,910.0
11-10-2022,925.0,925.0,925.0,925.0
12-10-2022,925.0,925.0,900.0,900.0
13-10-2022,925.0,925.0,925.0,925.0
17-10-2022,925.0,930.0,925.0,930.0
18-10-2022,930.0,930.0,930.0,930.0
19-10-2022,925.0,925.0,925.0,925.0
20-10-2022,925.0,925.0,925.0,925.0
31-10-2022,965.0,965.0,965.0,965.0
07-11-2022,965.0,965.0,965.0,965.0
15-11-2022,900.0,900.0,900.0,900.0
08-12-2022,964.9,964.9,964.9,964.9
12-12-2022,965.0,965.0,965.0,965.0
14-12-2022,950.0,950.0,950.0,950.0
15-12-2022,950.0,950.0,950.0,950.0
09-02-2023,950.0,950.0,950.0,950.0
21-02-2023,970.0,970.0,970.0,970.0
09-03-2023,966.25,967.0,966.25,967.0
13-03-2023,960.0,960.0,960.0,960.0
19-06-2023,810.0,810.0,810.0,810.0
28-07-2023,940.0,969.8,940.0,969.8
02-08-2023,969.8,969.8,969.8,969.8
09-08-2023,895.0,910.0,895.0,910.0
17-08-2023,970.0,979.8,970.0,979.8
18-08-2023,925.0,925.0,925.0,925.0
22-08-2023,940.0,940.0,940.0,940.0
28-08-2023,921.2,921.2,921.2,921.2
30-08-2023,921.2,921.2,921.2,921.2
09-10-2023,993.0,993.0,993.0,993.0
06-12-2023,993.0,993.0,993.0,993.0
05-02-2024,999.4,999.4,999.4,999.4
26-02-2024,825.2,935.2,825.2,935.2
27-02-2024,916.5,916.5,916.5,916.5
05-03-2024,979.8,979.8,979.8,979.8
15-03-2024,960.2,960.2,960.2,960.2
20-03-2024,970.0,970.0,970.0,970.0
22-03-2024,970.0,970.0,970.0,970.0
27-03-2024,970.0,970.0,970.0,970.0
28-03-2024,956.0,956.0,956.0,956.0
15-04-2024,970.0,970.0,970.0,970.0
16-04-2024,993.4,994.0,993.4,994.0
18-04-2024,994.0,994.0,994.0,994.0
25-04-2024,991.0,994.0,991.0,994.0
14-05-2024,994.0,994.0,994.0,994.0
18-06-2024,994.0,994.0,994.0,994.0
