date,open,high,low,close
22-07-2019,1280.21,1280.21,1275.2,1275.2
24-07-2019,1278.23,1278.23,1278.2,1278.2
25-07-2019,1282.1,1282.1,1282.1,1282.1
26-07-2019,1283.5,1283.5,1283.5,1283.5
29-07-2019,1313.0,1313.99,1295.01,1297.5
31-07-2019,1300.25,1324.0,1300.25,1324.0
02-08-2019,1329.9,1329.9,1328.0,1328.0
07-08-2019,1327.0,1327.0,1327.0,1327.0
14-08-2019,1327.01,1328.0,1326.0,1326.04
19-08-2019,1320.0,1320.0,1308.65,1308.65
21-08-2019,1309.0,1330.0,1309.0,1330.0
28-08-2019,1312.0,1312.0,1312.0,1312.0
03-09-2019,1312.0,1335.0,1311.0,1329.99
04-09-2019,1325.0,1325.0,1325.0,1325.0
05-09-2019,1335.0,1335.0,1335.0,1335.0
19-09-2019,1325.01,1325.01,1325.01,1325.01
20-09-2019,1325.0,1325.0,1325.0,1325.0
25-09-2019,1308.44,1308.44,1308.44,1308.44
03-10-2019,1346.9,1346.9,1346.9,1346.9
04-10-2019,1338.0,1340.09,1338.0,1340.09
10-10-2019,1321.02,1330.0,1315.0,1330.0
15-10-2019,1335.0,1335.0,1335.0,1335.0
16-10-2019,1335.0,1344.0,1335.0,1344.0
17-10-2019,1358.8,1358.8,1358.76,1358.76
31-10-2019,1369.0,1370.0,1365.0,1365.0
07-11-2019,1323.01,1323.01,1323.01,1323.01
15-11-2019,1335.03,1335.03,1335.03,1335.03
05-12-2019,1348.0,1348.0,1336.01,1336.01
10-12-2019,1345.0,1345.0,1325.5,1325.5
11-12-2019,1345.0,1345.0,1340.0,1340.0
13-12-2019,1345.0,1345.0,1339.0,1339.0
27-12-2019,1363.5,1363.5,1363.5,1363.5
08-01-2020,1365.0,1365.0,1365.0,1365.0
24-01-2020,1370.0,1370.0,1370.0,1370.0
28-01-2020,1375.0,1375.0,1375.0,1375.0
29-01-2020,1370.0,1370.0,1365.0,1365.0
30-01-2020,1366.0,1366.0,1366.0,1366.0
03-02-2020,1375.0,1375.0,1370.0,1370.0
18-02-2020,1375.01,1376.0,1375.0,1375.0
19-02-2020,1370.0,1370.0,1370.0,1370.0
24-02-2020,1366.0,1375.0,1366.0,1375.0
26-02-2020,1317.95,1317.95,1317.95,1317.95
27-02-2020,1299.99,1300.0,1299.99,1300.0
28-02-2020,1317.99,1317.99,1300.0,1300.0
03-03-2020,1300.0,1300.0,1300.0,1300.0
06-03-2020,1335.0,1335.0,1334.98,1334.99
12-03-2020,1300.0,1300.0,1300.0,1300.0
13-03-2020,1347.99,1347.99,1347.99,1347.99
16-03-2020,1347.99,1347.99,1253.0,1328.69
19-03-2020,1349.99,1349.99,1349.99,1349.99
23-03-2020,1251.6,1332.99,1241.1,1244.92
27-03-2020,1379.99,1379.99,1295.0,1295.0
31-03-2020,1330.0,1330.0,1330.0,1330.0
01-04-2020,1300.0,1352.0,1300.0,1351.0
03-04-2020,1389.0,1391.51,1389.0,1390.25
23-04-2020,1429.0,1429.0,1429.0,1429.0
19-05-2020,1399.0,1422.2,1399.0,1422.2
21-05-2020,1388.0,1430.0,1388.0,1389.51
26-05-2020,1389.0,1420.0,1389.0,1390.09
28-05-2020,1371.3,1393.99,1340.01,1393.99
29-05-2020,1415.0,1415.0,1415.0,1415.0
01-06-2020,1360.0,1399.87,1360.0,1399.87
02-06-2020,1400.0,1413.91,1400.0,1413.91
04-06-2020,1350.36,1416.99,1350.36,1416.99
05-06-2020,1396.0,1417.9,1395.5,1417.9
08-06-2020,1400.01,1414.75,1400.01,1414.75
09-06-2020,1390.0,1427.59,1390.0,1427.59
10-06-2020,1395.0,1427.48,1371.0,1427.48
11-06-2020,1393.2,1418.89,1393.0,1393.22
12-06-2020,1412.89,1412.89,1412.89,1412.89
15-06-2020,1414.6,1414.99,1414.6,1414.79
23-06-2020,1399.99,1420.0,1399.99,1401.17
25-06-2020,1410.0,1410.0,1403.0,1403.0
26-06-2020,1427.0,1449.0,1427.0,1438.16
06-07-2020,1438.5,1460.0,1410.01,1435.0
10-07-2020,1429.0,1430.0,1429.0,1429.6
15-07-2020,1430.0,1470.0,1430.0,1460.0
16-07-2020,1435.0,1494.99,1435.0,1437.91
17-07-2020,1450.0,1450.0,1440.05,1442.0
20-07-2020,1465.0,1465.0,1465.0,1465.0
21-07-2020,1464.9,1490.0,1464.9,1490.0
23-07-2020,1529.0,1529.0,1529.0,1529.0
31-07-2020,1529.0,1529.0,1529.0,1529.0
12-08-2020,1469.99,1469.99,1469.99,1469.99
14-08-2020,1529.0,1529.0,1430.4,1477.7
17-08-2020,1450.0,1524.0,1450.0,1456.72
20-08-2020,1425.1,1548.0,1425.1,1548.0
31-08-2020,1422.0,1547.4,1421.0,1423.58
01-09-2020,1545.0,1545.0,1545.0,1545.0
04-09-2020,1401.32,1490.0,1401.32,1490.0
08-09-2020,1548.0,1548.0,1548.0,1548.0
11-09-2020,1450.0,1494.99,1425.0,1494.99
14-09-2020,1528.99,1528.99,1528.99,1528.99
17-09-2020,1547.4,1547.4,1440.0,1440.0
18-09-2020,1547.2,1547.2,1430.0,1435.0
21-09-2020,1435.0,1480.0,1435.0,1436.0
23-09-2020,1451.0,1499.99,1430.0,1431.21
24-09-2020,1498.99,1498.99,1450.0,1450.0
25-09-2020,1430.0,1491.99,1430.0,1460.0
28-09-2020,1450.0,1499.0,1450.0,1450.0
29-09-2020,1430.1,1450.0,1430.0,1449.99
30-09-2020,1440.0,1460.0,1421.01,1428.37
05-10-2020,1480.99,1480.99,1421.12,1478.99
07-10-2020,1498.99,1498.99,1480.0,1480.0
09-10-2020,1499.0,1499.0,1450.0,1469.0
12-10-2020,1450.0,1499.0,1435.0,1439.39
14-10-2020,1422.0,1487.99,1422.0,1479.95
15-10-2020,1459.0,1469.83,1439.0,1449.09
16-10-2020,1445.0,1495.8,1445.0,1495.8
19-10-2020,1450.0,1455.8,1440.0,1454.33
20-10-2020,1472.0,1472.0,1457.0,1460.0
21-10-2020,1483.99,1483.99,1474.0,1474.0
22-10-2020,1474.0,1474.0,1474.0,1474.0
23-10-2020,1469.0,1469.0,1469.0,1469.0
26-10-2020,1477.0,1477.0,1435.0,1440.22
27-10-2020,1483.99,1483.99,1464.0,1464.0
28-10-2020,1459.0,1459.0,1454.9,1454.9
29-10-2020,1451.0,1477.0,1445.25,1477.0
04-11-2020,1459.0,1460.0,1459.0,1459.18
05-11-2020,1459.0,1497.0,1456.06,1466.23
09-11-2020,1445.25,1445.25,1445.25,1445.25
10-11-2020,1498.19,1498.19,1498.19,1498.19
13-11-2020,1499.0,1499.9,1499.0,1499.9
19-11-2020,1485.0,1489.24,1485.0,1489.24
20-11-2020,1465.0,1465.0,1465.0,1465.0
23-11-2020,1480.0,1480.0,1480.0,1480.0
24-11-2020,1480.0,1480.0,1480.0,1480.0
26-11-2020,1455.05,1455.05,1455.04,1455.04
27-11-2020,1479.49,1479.49,1479.4,1479.4
02-12-2020,1484.99,1489.0,1479.0,1485.0
03-12-2020,1485.0,1486.0,1485.0,1486.0
11-12-2020,1499.9,1499.9,1499.9,1499.9
14-12-2020,1539.9,1539.9,1535.0,1535.0
16-12-2020,1535.0,1535.0,1533.44,1533.44
18-12-2020,1533.44,1533.44,1500.01,1510.0
21-12-2020,1500.0,1500.0,1500.0,1500.0
23-12-2020,1519.0,1519.0,1470.0,1470.0
24-12-2020,1499.6,1500.0,1490.0,1490.0
29-12-2020,1481.0,1481.0,1481.0,1481.0
31-12-2020,1465.02,1486.1,1465.02,1486.06
08-01-2021,1485.2,1485.2,1485.2,1485.2
11-01-2021,1485.0,1510.0,1485.0,1510.0
13-01-2021,1510.0,1510.0,1507.99,1507.99
14-01-2021,1465.0,1510.0,1465.0,1510.0
15-01-2021,1505.0,1505.0,1505.0,1505.0
18-01-2021,1486.0,1502.0,1485.0,1502.0
25-01-2021,1520.0,1520.0,1500.0,1510.0
28-01-2021,1487.0,1487.01,1487.0,1487.0
29-01-2021,1487.0,1487.0,1487.0,1487.0
01-02-2021,1251.0,1514.98,1251.0,1514.98
02-02-2021,1500.0,1505.0,1500.0,1504.98
03-02-2021,1500.0,1500.0,1500.0,1500.0
08-02-2021,1502.99,1508.98,1500.0,1508.98
09-02-2021,1508.0,1509.2,1508.0,1509.2
11-02-2021,1510.0,1520.0,1500.0,1520.0
18-02-2021,1460.01,1500.0,1460.0,1500.0
22-02-2021,1500.0,1500.0,1500.0,1500.0
23-02-2021,1539.89,1539.89,1539.89,1539.89
26-02-2021,1457.5,1457.5,1457.5,1457.5
