date,open,high,low,close
03-09-2019,1000.0,1000.0,1000.0,1000.0
04-09-2019,1000.0,1000.0,1000.0,1000.0
05-09-2019,999.75,1000.0,999.75,999.99
06-09-2019,999.95,999.95,999.95,999.95
09-09-2019,1001.95,1099.0,1001.85,1013.0
11-09-2019,1020.0,1020.0,1019.0,1019.0
12-09-2019,1020.0,1020.0,1015.0,1015.0
16-09-2019,1016.0,1016.0,1016.0,1016.0
17-09-2019,1006.25,1006.25,1006.25,1006.25
18-09-2019,1010.0,1020.0,1010.0,1020.0
19-09-2019,1020.0,1030.0,1020.0,1030.0
20-09-2019,1030.0,1030.0,1027.0,1027.0
24-09-2019,1068.0,1068.0,1068.0,1068.0
25-09-2019,1020.0,1033.05,1020.0,1033.05
26-09-2019,1031.0,1036.0,1031.0,1035.0
30-09-2019,1035.05,1035.05,1035.05,1035.05
01-10-2019,1035.05,1035.05,1035.05,1035.05
03-10-2019,1035.05,1039.45,1022.0,1038.73
10-10-2019,1039.0,1039.0,1039.0,1039.0
11-10-2019,1025.0,1025.0,1025.0,1025.0
15-10-2019,1045.9,1095.0,1035.05,1046.0
16-10-2019,1050.0,1073.51,1050.0,1052.0
18-10-2019,1064.0,1069.0,1055.01,1055.5
22-10-2019,1034.02,1099.0,1034.02,1065.05
23-10-2019,1080.0,1080.0,1080.0,1080.0
24-10-2019,1040.0,1040.0,1040.0,1040.0
25-10-2019,1070.0,1070.0,1070.0,1070.0
27-10-2019,1065.0,1065.0,1065.0,1065.0
29-10-2019,1065.0,1065.0,1065.0,1065.0
30-10-2019,1073.1,1075.0,1065.0,1065.0
31-10-2019,1065.0,1065.0,1065.0,1065.0
05-11-2019,1062.0,1067.0,1060.0,1067.0
07-11-2019,1060.0,1100.0,1060.0,1100.0
08-11-2019,1070.0,1070.0,1070.0,1070.0
11-11-2019,1075.0,1075.0,1075.0,1075.0
13-11-2019,1065.0,1065.0,1065.0,1065.0
19-11-2019,1061.2,1066.0,1061.2,1063.34
02-12-2019,1045.0,1045.0,1045.0,1045.0
05-12-2019,1063.0,1063.0,1063.0,1063.0
06-12-2019,1063.0,1063.0,1063.0,1063.0
10-12-2019,1059.99,1059.99,1059.99,1059.99
12-12-2019,1055.0,1055.0,1055.0,1055.0
13-12-2019,1050.0,1050.0,1040.0,1040.0
17-12-2019,1040.0,1040.0,1040.0,1040.0
20-12-2019,1049.0,1051.0,1049.0,1051.0
26-12-2019,1070.0,1070.0,1070.0,1070.0
27-12-2019,1050.0,1052.0,1050.0,1052.0
06-01-2020,1042.9,1042.9,1042.9,1042.9
14-01-2020,1054.0,1054.0,1054.0,1054.0
16-01-2020,1035.6,1035.6,1035.6,1035.6
22-01-2020,1040.0,1040.0,1035.9,1035.9
23-01-2020,1060.0,1060.0,1060.0,1060.0
28-01-2020,1060.0,1060.0,1060.0,1060.0
29-01-2020,1050.0,1050.0,1050.0,1050.0
03-02-2020,1050.0,1050.0,1050.0,1050.0
14-02-2020,1050.0,1050.0,1050.0,1050.0
25-02-2020,1050.0,1051.0,1050.0,1051.0
27-02-2020,1055.0,1059.0,1055.0,1059.0
28-02-2020,1054.25,1054.25,1053.01,1053.01
06-03-2020,1050.0,1050.0,1050.0,1050.0
12-03-2020,1077.0,1080.0,1077.0,1080.0
20-03-2020,1015.0,1015.0,990.0,1000.0
23-03-2020,1000.0,1000.0,990.0,990.0
24-03-2020,990.0,990.0,987.0,987.0
03-04-2020,1020.0,1020.0,1020.0,1020.0
07-04-2020,1015.15,1015.15,1005.0,1005.62
08-04-2020,1040.0,1040.0,1040.0,1040.0
09-04-2020,1030.0,1030.0,1030.0,1030.0
15-04-2020,1040.0,1040.0,1040.0,1040.0
20-04-2020,1045.0,1045.0,1045.0,1045.0
23-04-2020,1070.0,1070.0,1070.0,1070.0
28-04-2020,1088.0,1100.0,1088.0,1100.0
30-04-2020,1072.0,1072.0,1072.0,1072.0
04-05-2020,1072.0,1072.0,1072.0,1072.0
07-05-2020,1080.7,1081.0,1080.7,1081.0
08-05-2020,1081.0,1081.0,1072.0,1072.0
11-05-2020,1073.0,1073.0,1072.0,1072.0
12-05-2020,1073.0,1073.0,1073.0,1073.0
13-05-2020,1083.0,1100.0,1083.0,1100.0
27-05-2020,1100.0,1100.0,1100.0,1100.0
29-05-2020,1080.0,1080.0,1080.0,1080.0
02-06-2020,1080.0,1110.0,1080.0,1108.0
05-06-2020,1090.0,1090.0,1090.0,1090.0
08-06-2020,1090.0,1118.0,1090.0,1118.0
10-06-2020,1125.0,1125.0,1125.0,1125.0
11-06-2020,1122.0,1122.0,1109.21,1120.0
16-06-2020,1100.0,1100.0,1100.0,1100.0
17-06-2020,1140.0,1140.0,1140.0,1140.0
19-06-2020,1095.0,1117.0,1095.0,1117.0
22-06-2020,1119.0,1119.0,1119.0,1119.0
06-07-2020,1125.0,1125.0,1125.0,1125.0
08-07-2020,1200.8,1200.8,1100.01,1100.01
14-07-2020,1125.0,1125.0,1125.0,1125.0
05-08-2020,1199.0,1200.0,1199.0,1200.0
07-08-2020,1100.01,1138.0,1098.99,1138.0
10-08-2020,1138.0,1138.0,1060.05,1082.57
11-08-2020,1100.0,1100.0,1100.0,1100.0
12-08-2020,1099.99,1099.99,1099.99,1099.99
14-08-2020,1098.0,1098.0,1098.0,1098.0
