date,open,high,low,close
11-10-2023,970.75,995.3,970.75,993.01
12-10-2023,1000.0,1000.0,1000.0,1000.0
13-10-2023,990.3,1000.0,990.3,1000.0
16-10-2023,975.0,995.0,975.0,991.08
17-10-2023,993.01,1005.0,993.01,1005.0
19-10-2023,979.88,1004.37,979.88,1004.37
20-10-2023,990.0,1005.0,990.0,1005.0
23-10-2023,990.05,990.05,990.0,990.0
25-10-2023,1000.0,1000.0,1000.0,1000.0
26-10-2023,1000.0,1000.0,975.0,975.0
31-10-2023,990.0,990.0,975.04,975.04
06-11-2023,1000.0,1000.0,1000.0,1000.0
07-11-2023,977.2,999.0,976.56,999.0
09-11-2023,1000.0,1000.0,977.01,977.01
22-11-2023,998.0,998.0,998.0,998.0
28-11-2023,998.0,998.0,998.0,998.0
29-11-2023,998.0,998.0,998.0,998.0
30-11-2023,973.05,973.05,973.05,973.05
04-12-2023,973.1,973.1,973.1,973.1
06-12-2023,1009.9,1009.9,980.0,984.46
07-12-2023,1009.0,1009.0,983.78,1000.01
08-12-2023,1005.0,1005.0,1001.0,1001.0
12-12-2023,992.0,992.0,991.01,991.01
18-12-2023,1000.0,1008.0,1000.0,1008.0
19-12-2023,1000.0,1000.0,1000.0,1000.0
20-12-2023,1005.0,1005.0,1000.01,1000.01
21-12-2023,990.0,990.0,990.0,990.0
22-12-2023,1003.0,1003.0,1001.0,1001.0
26-12-2023,1000.0,1000.0,963.05,963.05
28-12-2023,976.0,976.0,976.0,976.0
29-12-2023,980.0,980.0,980.0,980.0
01-01-2024,978.0,978.0,978.0,978.0
02-01-2024,982.0,982.0,982.0,982.0
03-01-2024,985.0,985.0,985.0,985.0
10-01-2024,987.01,987.01,987.01,987.01
11-01-2024,990.0,1184.4,990.0,1184.4
15-01-2024,980.0,980.0,980.0,980.0
16-01-2024,990.0,990.0,955.5,971.36
17-01-2024,974.0,1000.0,974.0,995.05
31-01-2024,976.1,976.1,976.1,976.1
02-02-2024,975.0,975.0,975.0,975.0
05-02-2024,983.0,999.0,950.63,999.0
06-02-2024,982.51,982.51,982.51,982.51
07-02-2024,980.0,1010.0,980.0,1005.0
12-02-2024,979.88,1015.0,979.88,1015.0
15-02-2024,1010.0,1010.0,1010.0,1010.0
16-02-2024,1010.0,1010.0,1010.0,1010.0
19-02-2024,1010.01,1010.01,1009.95,1009.95
22-02-2024,1011.1,1011.1,1011.06,1011.06
26-02-2024,1011.06,1011.06,1011.06,1011.06
01-03-2024,1011.06,1011.15,1011.06,1011.15
07-03-2024,1053.0,1053.0,1053.0,1053.0
27-03-2024,1015.5,1015.5,1015.5,1015.5
01-04-2024,990.12,1000.0,990.12,1000.0
02-04-2024,1085.0,1085.0,1002.01,1002.01
25-04-2024,1002.81,1002.81,1002.0,1002.0
26-04-2024,1002.01,1005.0,1002.01,1005.0
29-04-2024,902.0,1019.9,901.0,1019.9
30-04-2024,1080.0,1080.0,1040.0,1050.0
09-05-2024,1000.0,1000.0,1000.0,1000.0
10-05-2024,1019.57,1019.57,1008.0,1008.0
13-05-2024,1025.0,1025.0,1020.0,1025.0
17-05-2024,1035.0,1035.0,1026.01,1026.22
18-05-2024,1000.57,1026.0,1000.57,1026.0
21-05-2024,1025.01,1025.01,1025.01,1025.01
29-05-2024,1025.01,1025.01,1025.01,1025.01
30-05-2024,1028.03,1032.0,1028.02,1032.0
03-06-2024,1032.0,1032.0,1021.01,1021.01
05-06-2024,1021.01,1021.01,1021.01,1021.01
06-06-2024,1021.01,1021.01,1021.01,1021.01
07-06-2024,1021.01,1025.01,1011.0,1025.0
10-06-2024,1011.0,1025.0,1011.0,1025.0
12-06-2024,1025.0,1046.5,1025.0,1046.5
13-06-2024,1025.0,1025.0,1022.2,1024.06
14-06-2024,1024.0,1024.0,1024.0,1024.0
18-06-2024,1020.51,1020.51,1020.51,1020.51
20-06-2024,1035.0,1035.0,1035.0,1035.0
21-06-2024,1020.2,1028.01,1020.2,1028.01
