date,open,high,low,close
29-08-2022,880.1,925.0,811.5,925.0
05-09-2022,980.0,980.0,980.0,980.0
07-09-2022,980.0,980.0,980.0,980.0
12-09-2022,980.0,980.0,980.0,980.0
13-09-2022,901.0,901.0,901.0,901.0
14-09-2022,980.0,980.0,902.11,902.11
26-09-2022,980.0,980.0,980.0,980.0
27-09-2022,980.0,980.0,850.1,970.0
28-09-2022,965.0,965.0,960.0,960.0
29-09-2022,970.0,970.0,970.0,970.0
30-09-2022,960.0,960.0,960.0,960.0
06-10-2022,949.9,949.9,949.9,949.9
07-10-2022,945.0,945.0,944.99,944.99
10-10-2022,945.1,945.1,944.9,944.9
11-10-2022,942.7,964.99,942.0,942.0
12-10-2022,979.9,979.9,979.9,979.9
14-10-2022,965.0,965.0,965.0,965.0
18-10-2022,975.0,975.0,915.0,975.0
21-10-2022,969.7,969.7,969.7,969.7
24-10-2022,969.4,969.4,969.4,969.4
02-11-2022,969.35,969.35,910.0,969.3
14-11-2022,969.25,969.25,969.25,969.25
17-11-2022,969.25,969.25,969.25,969.25
22-11-2022,969.25,969.25,969.25,969.25
28-11-2022,969.25,969.25,969.25,969.25
29-11-2022,999.0,999.0,999.0,999.0
09-01-2023,1019.9,1019.9,1019.9,1019.9
18-01-2023,999.95,999.95,991.0,991.0
19-01-2023,1009.95,1009.95,1009.95,1009.95
20-01-2023,999.95,999.95,999.95,999.95
30-01-2023,1019.0,1019.0,1019.0,1019.0
01-02-2023,999.9,999.9,999.9,999.9
07-02-2023,1009.9,1009.9,1009.9,1009.9
16-02-2023,1008.9,1008.9,1008.9,1008.9
10-03-2023,1008.0,1008.0,1008.0,1008.0
17-03-2023,999.9,999.9,999.9,999.9
31-03-2023,1043.9,1043.9,1043.9,1043.9
10-04-2023,1015.0,1015.0,1015.0,1015.0
13-04-2023,959.9,959.9,930.9,930.9
17-04-2023,999.9,999.9,999.9,999.9
18-04-2023,979.9,979.9,979.9,979.9
27-04-2023,999.0,999.0,999.0,999.0
02-05-2023,999.0,999.0,990.0,990.0
03-05-2023,980.0,980.0,980.0,980.0
04-05-2023,975.0,975.0,975.0,975.0
05-05-2023,975.0,975.0,941.0,941.0
08-05-2023,940.0,940.0,940.0,940.0
09-05-2023,935.0,935.0,925.0,925.0
10-05-2023,970.0,970.0,919.9,919.9
11-05-2023,979.9,979.9,949.9,949.9
12-05-2023,979.9,979.9,979.9,979.9
16-05-2023,930.0,930.0,930.0,930.0
17-05-2023,930.0,930.02,920.0,920.0
19-05-2023,920.01,920.01,920.0,920.0
22-05-2023,910.0,910.0,910.0,910.0
23-05-2023,910.0,910.0,910.0,910.0
24-05-2023,940.0,940.0,910.0,910.0
26-05-2023,890.0,910.0,890.0,910.0
15-09-2023,910.2,910.2,910.0,910.0
17-10-2023,913.1,913.1,913.1,913.1
20-10-2023,913.1,913.1,913.1,913.1
02-11-2023,951.0,951.0,951.0,951.0
03-11-2023,950.0,950.0,943.82,950.0
07-11-2023,955.0,1080.0,955.0,1080.0
16-11-2023,940.0,940.0,940.0,940.0
17-11-2023,940.0,940.0,940.0,940.0
01-12-2023,940.0,940.0,940.0,940.0
06-12-2023,949.0,949.0,949.0,949.0
07-12-2023,911.1,911.1,911.1,911.1
11-12-2023,979.9,979.9,979.9,979.9
21-12-2023,955.41,959.1,955.41,959.1
09-01-2024,984.0,984.0,984.0,984.0
10-01-2024,984.0,984.0,984.0,984.0
11-01-2024,967.7,967.7,967.7,967.7
12-01-2024,967.43,987.43,967.43,987.43
15-01-2024,990.0,990.0,990.0,990.0
19-01-2024,990.0,990.0,990.0,990.0
30-01-2024,985.0,985.0,985.0,985.0
02-02-2024,985.0,985.0,985.0,985.0
08-02-2024,960.38,960.38,960.38,960.38
12-02-2024,961.74,967.16,961.74,967.16
19-02-2024,965.0,965.0,955.35,963.39
26-02-2024,963.39,963.39,963.39,963.39
28-02-2024,955.7,955.7,955.7,955.7
19-03-2024,955.7,955.7,955.7,955.7
22-03-2024,985.8,985.8,985.8,985.8
15-04-2024,990.55,990.55,990.55,990.55
23-05-2024,914.67,925.0,914.67,925.0
29-05-2024,927.0,927.0,927.0,927.0
14-06-2024,1005.0,1005.0,1005.0,1005.0
