date,open,high,low,close
13-11-2023,941.0,941.0,941.0,941.0
20-11-2023,941.2,1110.0,941.2,1021.72
21-11-2023,970.0,970.0,970.0,970.0
22-11-2023,970.0,970.0,970.0,970.0
24-11-2023,970.0,970.0,970.0,970.0
29-11-2023,965.01,965.01,965.0,965.0
30-11-2023,970.0,970.0,965.0,965.0
04-12-2023,970.0,970.0,950.0,950.0
05-12-2023,970.0,970.0,965.0,965.0
07-12-2023,965.0,970.0,965.0,970.0
08-12-2023,950.1,950.1,950.1,950.1
11-12-2023,965.0,965.0,965.0,965.0
12-12-2023,965.0,968.0,951.0,951.0
18-12-2023,951.0,951.0,951.0,951.0
22-12-2023,951.0,951.0,951.0,951.0
26-12-2023,1020.0,1020.0,1020.0,1020.0
27-12-2023,960.0,960.0,960.0,960.0
28-12-2023,960.1,960.1,960.0,960.0
03-01-2024,960.01,960.01,960.01,960.01
16-01-2024,960.01,960.01,960.01,960.01
17-01-2024,960.01,960.01,950.0,956.12
29-01-2024,950.0,950.0,950.0,950.0
01-02-2024,963.3,970.0,963.3,970.0
05-02-2024,970.0,970.0,970.0,970.0
06-02-2024,950.2,977.0,950.2,977.0
07-02-2024,974.9,974.9,974.9,974.9
09-02-2024,950.0,950.2,940.1,950.2
15-02-2024,974.92,974.92,974.92,974.92
22-02-2024,972.0,972.0,942.5,942.5
29-02-2024,973.6,973.6,973.6,973.6
13-03-2024,970.0,973.97,970.0,973.97
03-04-2024,973.97,973.97,973.97,973.97
05-04-2024,975.0,975.0,973.97,973.97
08-04-2024,989.99,989.99,960.55,960.55
09-04-2024,965.55,965.55,965.55,965.55
10-04-2024,975.55,975.55,975.55,975.55
07-05-2024,975.55,975.55,975.55,975.55
08-05-2024,945.0,945.0,933.99,933.99
17-05-2024,972.0,972.0,972.0,972.0
21-05-2024,960.56,960.56,960.56,960.56
23-05-2024,960.0,989.97,960.0,989.97
29-05-2024,1000.0,1000.0,1000.0,1000.0
05-06-2024,960.0,960.0,960.0,960.0
07-06-2024,960.0,960.0,950.0,950.0
10-06-2024,960.0,970.0,950.66,970.0
11-06-2024,994.99,994.99,994.99,994.99
21-06-2024,991.79,991.79,991.79,991.79
