date,open,high,low,close
07-11-2022,1000.0,1000.0,1000.0,1000.0
19-12-2022,1000.0,1000.0,1000.0,1000.0
20-12-2022,1000.0,1000.0,1000.0,1000.0
02-01-2023,1000.0,1000.0,1000.0,1000.0
03-01-2023,1000.0,1000.0,1000.0,1000.0
18-01-2023,1000.0,1000.0,1000.0,1000.0
08-05-2023,850.15,949.99,850.15,910.05
12-05-2023,949.9,949.9,949.9,949.9
15-05-2023,930.0,930.0,930.0,930.0
30-08-2023,930.0,930.0,930.0,930.0
11-09-2023,930.0,930.0,930.0,930.0
15-09-2023,900.1,900.1,900.0,900.0
18-09-2023,900.1,900.1,900.1,900.1
25-09-2023,920.0,920.0,920.0,920.0
26-09-2023,954.0,954.0,953.0,953.0
27-09-2023,918.0,950.0,918.0,950.0
04-10-2023,900.3,900.3,900.3,900.3
18-10-2023,950.0,950.0,950.0,950.0
02-11-2023,940.0,940.0,940.0,940.0
17-11-2023,959.0,959.0,959.0,959.0
13-12-2023,945.0,950.0,935.0,940.0
12-01-2024,940.0,940.0,940.0,940.0
24-01-2024,940.0,940.0,940.0,940.0
12-02-2024,900.5,949.5,900.5,949.5
13-02-2024,948.0,948.0,948.0,948.0
14-02-2024,945.0,945.0,940.0,940.0
15-02-2024,949.5,949.5,949.5,949.5
16-02-2024,943.0,943.0,943.0,943.0
21-02-2024,948.0,948.0,948.0,948.0
22-02-2024,945.0,945.0,945.0,945.0
23-02-2024,935.0,935.0,935.0,935.0
27-03-2024,901.0,901.0,901.0,901.0
28-03-2024,901.0,901.0,901.0,901.0
09-04-2024,948.55,948.55,925.0,925.0
16-04-2024,959.0,959.0,959.0,959.0
10-05-2024,902.1,920.0,902.1,920.0
14-05-2024,902.1,941.0,880.0,941.0
16-05-2024,903.6,903.6,903.6,903.6
17-05-2024,923.04,923.04,923.04,923.04
27-05-2024,945.0,945.0,945.0,945.0
29-05-2024,949.5,949.5,945.0,945.0
06-06-2024,944.8,944.8,944.8,944.8
12-06-2024,880.2,880.2,880.2,880.2
13-06-2024,900.0,900.0,900.0,900.0
19-06-2024,949.5,949.5,947.58,947.58
