date,open,high,low,close
17-02-2023,998.5,998.5,998.5,998.5
20-02-2023,998.6,999.0,998.5,998.5
21-02-2023,998.5,998.5,998.5,998.5
22-02-2023,996.0,998.0,990.25,990.7
23-02-2023,995.0,995.0,995.0,995.0
24-02-2023,995.0,998.0,991.0,995.15
27-02-2023,995.15,995.15,990.0,990.02
28-02-2023,998.0,998.0,998.0,998.0
01-03-2023,998.0,998.0,998.0,998.0
02-03-2023,998.0,998.0,996.01,997.0
03-03-2023,997.0,997.0,991.01,991.01
06-03-2023,998.0,998.0,990.01,991.23
08-03-2023,990.02,992.01,990.02,992.01
09-03-2023,993.0,1010.0,990.0,998.0
10-03-2023,998.0,1001.0,996.5,1001.0
13-03-2023,1001.0,1001.0,991.07,1000.0
14-03-2023,991.01,999.0,991.01,999.0
16-03-2023,990.0,1000.0,990.0,1000.0
17-03-2023,1000.0,1000.0,1000.0,1000.0
20-03-2023,1005.0,1005.0,1005.0,1005.0
23-03-2023,992.25,1000.03,992.0,992.03
24-03-2023,992.0,1000.0,992.0,999.0
27-03-2023,1000.0,1000.0,991.13,991.13
28-03-2023,991.13,993.15,991.13,993.15
29-03-2023,997.0,997.0,993.01,993.03
31-03-2023,994.06,994.06,994.05,994.05
03-04-2023,994.1,1005.0,994.1,1001.0
05-04-2023,996.0,996.0,992.02,996.0
11-04-2023,996.0,996.0,994.11,994.11
12-04-2023,994.2,1005.0,994.2,1002.0
17-04-2023,999.0,999.0,995.0,995.0
18-04-2023,995.0,995.0,995.0,995.0
19-04-2023,995.0,995.0,995.0,995.0
20-04-2023,995.0,995.0,993.0,993.0
26-04-2023,993.01,993.01,991.05,991.05
28-04-2023,991.2,991.2,991.2,991.2
02-05-2023,990.01,990.1,990.0,990.01
03-05-2023,990.11,991.0,990.11,990.51
04-05-2023,1014.0,1014.0,990.71,990.71
12-05-2023,990.0,992.1,990.0,992.1
16-05-2023,991.2,991.2,990.0,991.0
17-05-2023,990.0,995.0,990.0,995.0
19-05-2023,990.0,990.0,990.0,990.0
22-05-2023,990.01,995.0,990.0,990.0
24-05-2023,990.0,990.0,990.0,990.0
30-05-2023,990.01,990.01,990.01,990.01
31-05-2023,991.0,991.0,991.0,991.0
01-06-2023,991.0,991.0,990.0,990.0
07-06-2023,991.0,991.0,991.0,991.0
08-06-2023,991.0,991.0,991.0,991.0
09-06-2023,990.0,1014.0,990.0,1010.0
14-06-2023,1005.0,1005.0,997.0,997.0
15-06-2023,997.0,997.0,990.01,990.1
16-06-2023,990.0,1000.0,990.0,990.1
20-06-2023,991.0,991.0,991.0,991.0
21-06-2023,1009.95,1009.95,1009.95,1009.95
22-06-2023,990.0,1009.0,990.0,1009.0
26-06-2023,1001.0,1001.0,995.1,1001.0
28-06-2023,1001.0,1001.0,1001.0,1001.0
30-06-2023,999.0,999.0,998.0,998.0
04-07-2023,990.76,1010.0,990.0,1010.0
05-07-2023,1008.0,1014.0,1008.0,1012.0
06-07-2023,1010.0,1010.0,1010.0,1010.0
07-07-2023,1010.0,1010.0,1010.0,1010.0
10-07-2023,991.47,995.0,991.47,995.0
14-07-2023,995.0,1013.0,995.0,1013.0
17-07-2023,995.0,1000.0,995.0,1000.0
19-07-2023,1000.0,1000.0,1000.0,1000.0
