date,open,high,low,close
23-07-2019,955.0,955.0,951.0,951.5
24-07-2019,955.0,955.0,952.0,952.9
25-07-2019,952.0,960.0,952.0,955.0
26-07-2019,958.0,959.95,955.0,958.09
29-07-2019,952.0,955.0,952.0,953.87
30-07-2019,951.0,951.15,945.0,950.24
31-07-2019,974.0,974.0,945.0,949.15
01-08-2019,945.01,945.01,945.0,945.0
02-08-2019,950.0,950.0,948.0,949.17
05-08-2019,948.0,951.0,946.5,946.7
06-08-2019,956.0,956.6,955.0,956.08
07-08-2019,960.0,960.0,952.0,955.88
08-08-2019,956.0,956.0,952.0,952.14
14-08-2019,959.9,959.9,951.0,952.18
16-08-2019,953.0,957.0,953.0,957.0
19-08-2019,963.0,963.0,963.0,963.0
20-08-2019,957.0,963.0,957.0,963.0
21-08-2019,963.05,963.05,963.05,963.05
22-08-2019,964.0,964.0,964.0,964.0
23-08-2019,960.0,960.0,960.0,960.0
28-08-2019,960.55,960.55,950.0,959.47
05-09-2019,965.0,965.0,965.0,965.0
11-09-2019,967.5,967.5,967.5,967.5
13-09-2019,975.8,975.8,975.8,975.8
16-09-2019,979.35,980.0,970.0,971.0
18-09-2019,978.99,978.99,978.99,978.99
19-09-2019,978.95,979.0,975.0,975.0
20-09-2019,972.0,972.0,970.0,970.0
23-09-2019,971.0,971.0,970.0,970.0
24-09-2019,970.0,970.0,967.0,970.0
25-09-2019,970.0,970.0,970.0,970.0
26-09-2019,970.0,970.0,970.0,970.0
27-09-2019,965.0,965.01,962.0,962.23
01-10-2019,962.0,962.0,960.0,960.0
03-10-2019,979.99,979.99,960.0,960.9
04-10-2019,977.99,978.0,977.99,977.99
07-10-2019,969.9,976.95,969.9,976.95
10-10-2019,974.0,974.0,970.0,970.1
14-10-2019,970.0,970.0,965.01,970.0
15-10-2019,970.0,970.0,970.0,970.0
16-10-2019,970.0,970.0,970.0,970.0
18-10-2019,971.0,971.0,971.0,971.0
22-10-2019,979.9,982.0,975.25,975.25
29-10-2019,981.35,981.35,981.35,981.35
30-10-2019,982.0,982.0,982.0,982.0
31-10-2019,982.0,984.35,982.0,984.35
01-11-2019,982.0,982.0,980.0,980.0
04-11-2019,985.0,985.0,982.0,983.27
06-11-2019,975.5,975.5,975.5,975.5
07-11-2019,971.0,985.0,967.0,983.77
08-11-2019,986.0,986.0,986.0,986.0
11-11-2019,1006.0,1006.0,994.0,994.0
13-11-2019,971.0,978.05,971.0,978.01
14-11-2019,991.0,991.0,991.0,991.0
15-11-2019,991.0,992.5,991.0,992.5
18-11-2019,1001.0,1001.0,992.0,997.0
19-11-2019,1001.0,1008.0,999.0,1000.5
20-11-2019,995.2,998.5,995.2,995.5
21-11-2019,1002.0,1002.0,996.0,996.0
22-11-2019,1000.0,1000.0,999.0,999.2
25-11-2019,1000.0,1000.0,999.0,999.01
26-11-2019,1000.0,1000.0,1000.0,1000.0
27-11-2019,1009.8,1010.0,1009.8,1010.0
28-11-2019,1010.0,1010.0,1005.0,1005.0
29-11-2019,1006.0,1006.0,1005.0,1005.5
02-12-2019,1005.0,1017.0,1005.0,1016.29
03-12-2019,1017.0,1020.0,1017.0,1019.0
04-12-2019,1022.0,1028.0,1022.0,1026.0
06-12-2019,1020.0,1020.0,1015.01,1016.12
09-12-2019,1010.0,1020.0,1010.0,1020.0
10-12-2019,1020.0,1020.0,1010.72,1010.72
11-12-2019,1021.0,1021.0,1015.0,1015.0
13-12-2019,1015.0,1015.0,1015.0,1015.0
16-12-2019,1020.9,1020.9,1020.5,1020.5
17-12-2019,1020.75,1021.0,1020.75,1021.0
18-12-2019,1020.9,1021.45,1020.0,1021.45
20-12-2019,1022.0,1022.0,1021.02,1021.89
23-12-2019,1022.95,1025.0,1022.05,1023.45
24-12-2019,1024.0,1027.4,1024.0,1026.99
26-12-2019,1026.0,1026.0,1025.95,1025.98
27-12-2019,1025.98,1029.0,1025.98,1029.0
30-12-2019,1029.9,1029.95,1028.0,1028.0
31-12-2019,1028.25,1028.25,1028.0,1028.0
01-01-2020,1028.5,1030.78,1028.5,1030.5
02-01-2020,1030.0,1033.45,1030.0,1033.0
03-01-2020,1033.9,1033.95,1033.9,1033.95
06-01-2020,1035.99,1036.0,1035.95,1035.99
07-01-2020,1036.0,1036.0,1035.85,1035.85
08-01-2020,1035.9,1036.0,1035.0,1036.0
09-01-2020,1035.0,1039.0,1035.0,1039.0
10-01-2020,1039.95,1040.2,1039.95,1040.2
13-01-2020,1040.2,1043.0,1040.0,1042.17
14-01-2020,1044.95,1045.0,1044.95,1045.0
15-01-2020,1045.0,1045.0,1042.5,1042.5
17-01-2020,1041.95,1041.95,1040.99,1041.0
21-01-2020,1037.4,1039.8,1037.0,1037.0
22-01-2020,1036.93,1037.0,1036.93,1036.96
23-01-2020,1036.0,1037.0,1036.0,1037.0
24-01-2020,1037.0,1042.5,1037.0,1039.0
27-01-2020,950.0,956.0,946.01,947.28
28-01-2020,948.0,950.85,948.0,948.21
29-01-2020,945.0,945.09,944.0,945.0
30-01-2020,950.0,950.0,947.0,948.04
31-01-2020,948.0,955.0,943.95,946.89
01-02-2020,950.0,950.0,947.0,949.96
03-02-2020,945.0,945.0,943.0,943.84
04-02-2020,947.0,950.0,943.0,944.78
05-02-2020,943.1,943.1,943.0,943.0
06-02-2020,941.5,941.5,940.0,940.0
07-02-2020,937.0,940.0,937.0,939.95
10-02-2020,940.0,940.99,940.0,940.99
11-02-2020,940.0,940.0,934.0,934.26
12-02-2020,938.0,938.0,936.0,937.5
13-02-2020,936.01,947.97,935.5,941.68
14-02-2020,939.0,939.0,938.0,938.0
17-02-2020,949.86,949.86,941.0,948.64
18-02-2020,948.0,948.0,946.0,946.0
19-02-2020,947.99,949.0,947.99,948.73
20-02-2020,955.0,955.0,948.0,948.0
24-02-2020,948.0,950.0,940.11,948.24
25-02-2020,953.9,954.0,953.75,954.0
26-02-2020,954.0,954.0,951.0,951.88
27-02-2020,962.9,963.0,955.7,959.83
28-02-2020,950.27,950.27,950.27,950.27
03-03-2020,948.0,949.9,948.0,949.9
04-03-2020,947.05,947.05,945.1,945.3
06-03-2020,955.0,958.0,954.0,957.51
09-03-2020,950.0,950.0,943.0,944.0
11-03-2020,950.0,950.0,935.58,940.18
12-03-2020,941.0,955.0,930.02,930.02
13-03-2020,932.0,947.0,920.11,920.11
16-03-2020,939.0,939.89,920.01,939.89
17-03-2020,940.0,940.0,931.0,935.0
18-03-2020,935.0,935.0,920.01,920.01
19-03-2020,925.0,925.0,908.0,910.73
20-03-2020,910.0,919.87,900.0,901.34
23-03-2020,908.01,940.0,890.0,894.67
24-03-2020,900.0,904.0,893.16,894.09
25-03-2020,900.0,900.0,898.99,898.99
26-03-2020,900.05,900.05,890.0,894.45
27-03-2020,904.95,904.95,900.0,900.0
30-03-2020,903.0,903.0,895.0,895.7
31-03-2020,896.0,896.0,896.0,896.0
01-04-2020,901.05,908.95,900.0,905.0
03-04-2020,906.0,910.0,906.0,910.0
07-04-2020,915.0,918.0,914.0,916.0
08-04-2020,916.5,917.5,915.0,915.0
09-04-2020,921.0,931.0,911.0,930.94
13-04-2020,927.0,936.0,927.0,935.97
15-04-2020,932.0,932.0,928.0,928.0
16-04-2020,935.0,936.0,935.0,936.0
17-04-2020,935.0,945.0,930.0,942.91
20-04-2020,945.0,945.0,940.0,940.0
22-04-2020,944.5,952.0,944.5,951.3
24-04-2020,953.99,954.0,953.8,953.99
27-04-2020,950.0,951.6,950.0,951.54
28-04-2020,946.0,962.7,946.0,960.3
29-04-2020,956.0,956.0,931.06,950.0
30-04-2020,955.0,955.0,954.0,954.0
05-05-2020,950.0,954.0,950.0,952.0
06-05-2020,954.0,954.0,925.63,951.98
07-05-2020,954.49,955.0,954.49,955.0
08-05-2020,963.99,964.0,963.99,964.0
11-05-2020,962.99,962.99,962.89,962.89
12-05-2020,960.3,960.3,960.3,960.3
14-05-2020,960.0,960.0,956.0,960.0
15-05-2020,960.2,960.2,960.2,960.2
18-05-2020,960.2,964.49,960.2,964.49
20-05-2020,960.5,965.0,958.0,962.02
21-05-2020,965.0,965.0,965.0,965.0
22-05-2020,965.0,965.0,965.0,965.0
26-05-2020,972.95,972.95,960.0,971.95
28-05-2020,970.0,987.0,970.0,987.0
29-05-2020,987.0,987.0,986.7,986.7
01-06-2020,981.0,990.95,981.0,990.76
02-06-2020,999.0,999.0,995.0,996.68
03-06-2020,998.99,1004.9,998.0,1003.85
04-06-2020,1004.0,1004.25,1004.0,1004.0
05-06-2020,1004.5,1006.21,1004.5,1005.25
08-06-2020,1010.0,1010.0,1010.0,1010.0
09-06-2020,1014.0,1014.8,1014.0,1014.8
10-06-2020,1020.0,1021.99,1020.0,1021.99
11-06-2020,1024.99,1029.98,1018.0,1018.0
16-06-2020,1018.0,1018.0,1018.0,1018.0
17-06-2020,1024.85,1024.85,1022.35,1024.54
