date,open,high,low,close
28-12-2023,975.0,975.0,901.0,947.26
29-12-2023,950.0,980.0,950.0,950.1
01-01-2024,1002.0,1010.0,1002.0,1002.8
02-01-2024,965.0,965.0,960.01,960.01
03-01-2024,977.0,978.0,977.0,978.0
04-01-2024,953.55,985.0,953.55,985.0
05-01-2024,990.0,990.0,990.0,990.0
08-01-2024,995.0,995.0,995.0,995.0
09-01-2024,995.0,995.0,995.0,995.0
11-01-2024,995.0,1000.0,995.0,1000.0
12-01-2024,1000.0,1000.0,1000.0,1000.0
18-01-2024,1000.0,1000.0,1000.0,1000.0
24-01-2024,1001.0,1001.0,1001.0,1001.0
25-01-2024,1001.0,1001.0,1001.0,1001.0
29-01-2024,1001.0,1001.0,1001.0,1001.0
30-01-2024,1001.0,1020.0,1001.0,1020.0
01-02-2024,1001.0,1001.0,1001.0,1001.0
02-02-2024,1002.0,1002.0,1002.0,1002.0
06-02-2024,1002.0,1002.0,1002.0,1002.0
07-02-2024,1002.0,1002.0,1002.0,1002.0
09-02-2024,1002.0,1002.0,1002.0,1002.0
12-02-2024,1003.5,1003.5,1003.5,1003.5
14-02-2024,1003.5,1003.5,1003.5,1003.5
16-02-2024,1003.5,1003.5,1003.0,1003.0
19-02-2024,977.93,977.93,977.93,977.93
22-02-2024,977.93,977.93,977.93,977.93
26-02-2024,968.0,968.0,968.0,968.0
04-03-2024,1002.0,1002.0,1002.0,1002.0
05-03-2024,1000.0,1000.0,1000.0,1000.0
06-03-2024,1000.0,1000.0,1000.0,1000.0
11-03-2024,910.3,1000.0,910.3,1000.0
14-03-2024,999.0,999.0,999.0,999.0
15-03-2024,1000.0,1000.0,910.3,910.3
18-03-2024,998.0,998.0,998.0,998.0
20-03-2024,997.0,997.0,990.0,990.0
21-03-2024,990.0,990.0,990.0,990.0
22-03-2024,990.0,990.0,980.0,986.66
05-04-2024,990.0,990.0,990.0,990.0
08-04-2024,990.0,990.0,990.0,990.0
10-04-2024,995.05,995.05,995.0,995.0
23-04-2024,995.0,995.0,995.0,995.0
30-04-2024,995.0,995.0,995.0,995.0
03-05-2024,995.0,995.0,995.0,995.0
06-05-2024,995.0,995.0,995.0,995.0
09-05-2024,995.0,995.0,995.0,995.0
10-05-2024,995.0,995.0,995.0,995.0
31-05-2024,995.0,1032.0,995.0,1032.0
05-06-2024,990.0,997.1,990.0,997.1
07-06-2024,1010.0,1010.0,1010.0,1010.0
19-06-2024,1010.0,1010.0,1010.0,1010.0
