date,open,high,low,close
24-04-2023,902.0,902.0,902.0,902.0
25-04-2023,879.45,879.45,879.45,879.45
27-04-2023,960.0,960.0,959.0,959.0
28-04-2023,904.0,905.1,904.0,905.1
02-05-2023,907.1,907.1,907.1,907.1
10-05-2023,950.0,950.0,930.0,935.71
18-05-2023,955.0,955.0,955.0,955.0
22-05-2023,975.0,975.0,975.0,975.0
25-05-2023,975.0,975.0,975.0,975.0
05-06-2023,911.0,975.0,911.0,975.0
06-06-2023,925.0,925.0,925.0,925.0
12-06-2023,970.0,970.0,970.0,970.0
15-06-2023,965.0,965.0,965.0,965.0
16-06-2023,965.0,965.0,965.0,965.0
20-06-2023,965.0,965.0,965.0,965.0
22-06-2023,965.0,995.0,965.0,981.0
26-06-2023,962.0,962.0,962.0,962.0
18-07-2023,980.0,980.0,975.02,975.02
19-07-2023,980.0,980.0,980.0,980.0
28-07-2023,932.0,932.0,932.0,932.0
31-07-2023,942.0,989.0,942.0,985.0
03-08-2023,980.0,980.0,973.0,975.0
08-08-2023,1015.0,1015.0,1015.0,1015.0
11-08-2023,950.2,950.2,950.2,950.2
16-08-2023,1000.0,1000.0,975.0,975.0
17-08-2023,1020.0,1020.0,958.0,958.0
28-08-2023,1022.0,1022.0,1022.0,1022.0
05-09-2023,962.1,1021.8,962.1,1009.0
11-09-2023,1010.27,1010.27,1010.27,1010.27
13-09-2023,962.4,962.4,962.4,962.4
14-09-2023,1010.0,1040.0,999.0,999.0
15-09-2023,1023.97,1023.97,1023.97,1023.97
12-10-2023,998.38,1010.98,998.0,1005.0
17-10-2023,1010.0,1024.0,1010.0,1020.0
19-10-2023,1000.0,1000.0,1000.0,1000.0
23-10-2023,1000.0,1013.81,1000.0,1013.81
30-10-2023,988.47,988.47,988.47,988.47
31-10-2023,1016.89,1016.89,1016.89,1016.89
13-11-2023,1017.0,1017.0,960.1,1011.55
16-11-2023,1035.0,1035.0,1035.0,1035.0
07-12-2023,1044.9,1044.9,1044.9,1044.9
11-12-2023,1018.78,1044.15,1018.78,1044.15
13-12-2023,1049.0,1049.0,1049.0,1049.0
14-12-2023,1022.78,1022.78,1022.78,1022.78
19-12-2023,1045.0,1045.0,1045.0,1045.0
21-12-2023,1040.0,1040.0,1040.0,1040.0
28-12-2023,1040.0,1040.0,1020.0,1020.0
29-12-2023,1047.0,1047.0,1021.8,1021.8
01-01-2024,1001.4,1001.4,1001.4,1001.4
04-01-2024,1002.0,1002.0,1000.0,1000.78
15-01-2024,1002.2,1002.2,1002.2,1002.2
24-01-2024,1049.8,1049.8,1049.8,1049.8
30-01-2024,1062.0,1062.0,1030.2,1030.2
01-02-2024,1049.8,1062.0,1049.8,1062.0
07-02-2024,1052.8,1052.8,1051.7,1051.7
08-02-2024,1051.8,1051.8,1051.8,1051.8
13-02-2024,1030.2,1030.2,1030.2,1030.2
21-02-2024,1063.8,1063.8,1063.8,1063.8
26-02-2024,1063.8,1063.8,1063.8,1063.8
07-03-2024,941.2,1018.8,941.2,1018.8
11-03-2024,1019.0,1019.0,1019.0,1019.0
27-03-2024,1019.0,1019.0,1019.0,1019.0
05-04-2024,980.0,980.0,980.0,980.0
08-04-2024,980.0,980.0,980.0,980.0
10-04-2024,980.0,980.0,980.0,980.0
12-04-2024,980.0,980.0,980.0,980.0
15-04-2024,980.0,980.0,975.0,975.0
16-04-2024,970.0,970.0,970.0,970.0
19-04-2024,930.2,930.2,930.2,930.2
23-04-2024,935.2,935.2,935.2,935.2
25-04-2024,935.0,940.1,935.0,940.1
30-04-2024,940.1,940.1,940.1,940.1
02-05-2024,942.0,982.0,942.0,980.0
15-05-2024,980.0,980.0,980.0,980.0
16-05-2024,940.1,940.1,940.0,940.06
22-05-2024,1004.9,1004.9,1004.9,1004.9
24-05-2024,979.78,979.78,979.78,979.78
31-05-2024,979.78,979.78,979.78,979.78
11-06-2024,978.78,978.78,978.78,978.78
12-06-2024,961.17,961.17,961.17,961.17
