date,open,high,low,close
25-03-2021,992.0,997.0,985.0,989.8
26-03-2021,995.0,998.9,989.1,993.24
30-03-2021,991.2,995.0,991.0,993.0
31-03-2021,996.0,999.8,993.2,994.71
01-04-2021,991.1,1000.0,991.1,998.0
05-04-2021,999.55,1000.5,996.5,998.58
06-04-2021,998.5,1002.0,998.05,1001.84
07-04-2021,1000.0,1003.0,998.5,1000.31
08-04-2021,1003.98,1009.98,1000.0,1005.52
09-04-2021,1005.0,1008.0,1004.0,1007.93
12-04-2021,1004.0,1008.95,1004.0,1005.63
13-04-2021,1010.0,1010.0,1002.0,1003.0
15-04-2021,1003.1,1006.0,1001.1,1001.67
16-04-2021,1003.0,1003.0,1000.0,1001.06
19-04-2021,1001.0,1001.99,998.03,1001.99
20-04-2021,1002.0,1003.8,998.0,1001.83
22-04-2021,1001.0,1004.0,998.0,1001.0
23-04-2021,1000.0,1007.5,1000.0,1004.64
26-04-2021,1004.64,1004.64,1001.0,1002.0
27-04-2021,1001.95,1001.95,999.0,1001.44
28-04-2021,1002.0,1002.0,999.0,1000.93
29-04-2021,1000.98,1006.9,1000.0,1000.0
30-04-2021,1000.0,1000.0,994.0,998.0
03-05-2021,1001.0,1001.0,998.01,1001.0
04-05-2021,999.0,1005.0,999.0,1001.23
05-05-2021,1004.0,1004.0,1000.0,1000.0
06-05-2021,1003.98,1005.0,1000.2,1000.98
07-05-2021,1000.3,1002.5,1000.0,1001.65
10-05-2021,1001.5,1005.0,1001.5,1005.0
11-05-2021,1005.0,1005.0,1000.0,1004.95
12-05-2021,1005.0,1009.0,1000.0,1002.13
14-05-2021,1001.11,1005.0,1001.11,1004.0
17-05-2021,1003.0,1005.0,1003.0,1004.26
18-05-2021,1004.0,1004.01,1003.2,1003.47
19-05-2021,1004.0,1005.0,1003.0,1003.7
20-05-2021,1005.0,1005.0,1002.0,1003.25
21-05-2021,1008.0,1008.0,1002.0,1005.0
24-05-2021,1007.0,1009.01,1005.0,1005.54
25-05-2021,1005.0,1009.0,1005.0,1008.0
26-05-2021,1006.0,1009.0,1004.5,1006.12
27-05-2021,1005.0,1006.5,1002.0,1002.23
28-05-2021,1005.0,1006.95,1003.01,1006.0
31-05-2021,1006.0,1006.0,1003.56,1005.0
01-06-2021,1005.0,1006.94,1005.0,1005.4
02-06-2021,1005.1,1006.2,1005.0,1005.01
03-06-2021,1005.0,1006.8,1005.0,1006.17
04-06-2021,1006.0,1009.0,1004.0,1004.15
07-06-2021,1005.18,1008.93,1004.0,1004.07
08-06-2021,1003.31,1008.0,1002.02,1006.6
09-06-2021,1008.98,1008.98,1002.7,1003.22
10-06-2021,1005.0,1006.0,1003.0,1004.0
11-06-2021,1005.98,1006.0,1004.16,1005.45
14-06-2021,1004.15,1009.5,1004.15,1007.99
15-06-2021,1005.45,1007.59,1005.05,1005.31
16-06-2021,1006.0,1007.99,1005.1,1005.92
17-06-2021,1005.4,1006.0,1004.0,1004.56
18-06-2021,1004.0,1008.0,1004.0,1004.3
21-06-2021,1004.05,1008.41,1003.0,1005.8
22-06-2021,1005.0,1005.95,1003.0,1004.55
23-06-2021,1008.0,1008.0,1004.01,1005.89
24-06-2021,1004.0,1005.99,1003.6,1004.25
25-06-2021,1004.0,1006.0,1004.0,1004.8
28-06-2021,1004.0,1005.2,1003.31,1003.75
29-06-2021,1004.99,1004.99,996.01,997.54
30-06-2021,1002.0,1002.0,998.05,999.0
01-07-2021,1000.0,1000.0,995.05,997.35
02-07-2021,998.0,999.94,995.07,998.49
05-07-2021,998.0,999.45,994.0,996.18
06-07-2021,995.0,995.0,993.13,994.63
07-07-2021,994.02,997.0,994.01,995.42
08-07-2021,995.0,997.0,992.0,995.4
09-07-2021,995.4,997.0,993.0,996.0
12-07-2021,997.0,997.0,990.0,993.37
13-07-2021,995.0,995.0,993.01,993.55
14-07-2021,995.0,996.0,988.0,995.0
15-07-2021,995.0,999.99,993.7,995.4
16-07-2021,999.99,999.99,992.5,994.56
19-07-2021,994.0,995.0,990.0,991.51
20-07-2021,990.6,990.6,987.0,987.07
22-07-2021,995.0,995.0,988.25,989.75
23-07-2021,994.88,994.88,989.0,989.57
26-07-2021,992.2,992.2,979.99,985.23
27-07-2021,986.2,996.0,985.0,989.47
28-07-2021,994.99,994.99,985.0,986.48
29-07-2021,991.0,993.99,985.0,990.07
30-07-2021,986.1,998.0,985.0,997.84
02-08-2021,986.25,996.0,986.25,994.74
03-08-2021,989.03,994.5,989.02,990.44
04-08-2021,999.0,999.0,993.0,993.89
05-08-2021,998.0,998.0,992.0,992.45
06-08-2021,994.0,998.9,994.0,997.99
09-08-2021,997.25,998.0,995.0,995.0
10-08-2021,995.0,997.5,988.0,991.2
11-08-2021,994.0,994.0,989.0,990.5
12-08-2021,990.05,993.0,989.5,992.74
13-08-2021,992.74,996.89,990.21,992.08
16-08-2021,986.1,992.0,985.1,988.8
17-08-2021,988.0,990.0,986.2,988.9
18-08-2021,988.0,993.0,985.5,988.1
20-08-2021,986.1,994.95,986.1,991.03
23-08-2021,986.1,993.0,986.0,991.99
24-08-2021,990.0,992.0,988.0,991.0
25-08-2021,991.0,991.2,990.0,990.0
26-08-2021,990.0,995.0,990.0,990.86
27-08-2021,998.65,998.66,990.15,995.34
30-08-2021,993.6,993.89,990.5,992.66
31-08-2021,992.5,992.5,989.5,990.05
01-09-2021,990.5,992.89,990.05,992.0
02-09-2021,990.0,993.99,990.0,993.0
03-09-2021,991.25,995.0,991.25,992.9
06-09-2021,990.9,993.75,990.02,992.63
07-09-2021,995.0,996.0,992.01,996.0
08-09-2021,997.0,997.0,994.57,994.84
09-09-2021,996.0,997.5,994.51,996.43
13-09-2021,995.25,999.0,995.25,998.81
14-09-2021,995.3,998.99,995.25,997.24
15-09-2021,999.99,999.99,995.01,995.17
16-09-2021,995.0,997.89,992.5,993.65
17-09-2021,993.5,995.0,917.0,993.86
20-09-2021,993.86,993.86,990.0,991.45
21-09-2021,991.45,996.95,990.0,993.95
22-09-2021,993.0,998.95,992.16,995.99
23-09-2021,990.01,996.0,990.01,992.38
24-09-2021,992.38,994.89,990.0,993.0
27-09-2021,993.0,994.99,990.0,993.43
28-09-2021,991.4,994.0,980.01,988.64
29-09-2021,992.0,992.0,988.0,989.8
30-09-2021,991.0,991.86,988.51,989.69
01-10-2021,990.0,992.0,985.01,990.45
04-10-2021,991.9,991.9,990.0,990.5
05-10-2021,990.11,995.0,988.0,991.01
06-10-2021,994.0,994.9,990.16,991.61
07-10-2021,991.5,995.0,991.5,991.99
08-10-2021,992.0,995.99,984.0,989.55
11-10-2021,989.55,993.8,988.2,988.96
12-10-2021,990.0,990.0,986.51,989.99
13-10-2021,987.1,990.0,985.0,986.05
14-10-2021,990.0,990.0,980.5,985.62
18-10-2021,986.16,989.9,986.1,987.65
19-10-2021,986.52,987.89,980.0,983.43
20-10-2021,986.1,988.9,980.0,985.8
21-10-2021,988.95,991.0,983.0,989.59
22-10-2021,989.39,989.39,985.0,988.14
25-10-2021,989.82,989.82,980.05,983.3
26-10-2021,988.0,988.0,963.0,980.13
27-10-2021,820.2,984.1,820.2,983.24
28-10-2021,984.1,988.9,981.48,981.48
29-10-2021,984.1,987.92,978.0,987.91
01-11-2021,984.1,989.99,983.6,987.78
02-11-2021,989.99,989.99,980.05,986.79
03-11-2021,987.0,988.99,980.2,988.02
04-11-2021,988.0,989.0,981.01,985.26
08-11-2021,989.0,989.2,981.01,986.0
09-11-2021,989.0,989.99,985.0,989.97
10-11-2021,994.98,994.98,982.1,986.67
11-11-2021,986.0,990.97,982.0,983.97
12-11-2021,986.0,986.0,970.0,981.63
15-11-2021,981.0,981.01,967.3,980.48
16-11-2021,983.0,983.0,971.6,973.83
17-11-2021,980.5,983.98,979.0,983.62
18-11-2021,980.5,981.0,973.0,974.43
22-11-2021,981.0,984.0,975.01,977.12
23-11-2021,980.5,980.5,974.0,976.03
24-11-2021,980.5,984.99,974.0,979.0
25-11-2021,980.5,980.7,980.0,980.01
26-11-2021,980.5,984.0,979.99,980.0
29-11-2021,980.5,980.99,972.0,977.49
30-11-2021,979.0,987.0,979.0,985.0
01-12-2021,985.0,986.5,972.0,976.98
02-12-2021,982.0,982.0,972.0,977.72
03-12-2021,977.0,978.0,972.01,973.13
06-12-2021,976.5,979.0,957.6,972.5
07-12-2021,974.0,976.0,963.6,975.0
08-12-2021,972.1,974.0,961.01,968.34
09-12-2021,971.06,975.0,965.0,969.88
10-12-2021,971.3,973.4,962.0,966.04
13-12-2021,972.0,972.0,961.02,971.03
14-12-2021,971.01,974.73,925.5,971.0
15-12-2021,974.98,974.98,958.5,962.89
16-12-2021,970.0,970.0,956.0,958.72
17-12-2021,958.6,968.0,951.01,961.79
20-12-2021,959.0,959.0,928.5,958.42
21-12-2021,945.5,970.0,928.6,943.48
22-12-2021,945.0,954.0,933.2,940.1
23-12-2021,940.51,942.5,932.0,935.68
24-12-2021,945.0,945.0,928.5,941.91
27-12-2021,950.0,951.0,941.26,946.89
28-12-2021,942.0,954.0,942.0,952.27
29-12-2021,954.0,955.0,952.55,952.95
30-12-2021,956.0,956.0,950.0,955.89
31-12-2021,955.89,955.89,948.75,950.0
03-01-2022,959.94,965.0,957.02,961.84
04-01-2022,966.0,966.0,950.0,959.89
05-01-2022,960.0,964.0,959.0,963.36
06-01-2022,963.6,965.0,958.12,959.99
07-01-2022,962.0,962.0,961.0,962.0
10-01-2022,965.0,965.0,961.9,963.3
11-01-2022,965.0,965.0,959.0,959.72
12-01-2022,961.05,964.98,959.5,964.95
13-01-2022,963.99,975.0,963.01,970.06
14-01-2022,970.95,972.98,964.21,966.78
17-01-2022,965.0,965.0,960.0,960.06
18-01-2022,960.0,965.0,958.0,960.92
19-01-2022,960.15,962.5,960.15,962.25
20-01-2022,961.0,965.0,960.15,964.91
21-01-2022,934.5,966.94,901.6,960.0
24-01-2022,958.0,968.95,957.0,958.14
25-01-2022,965.0,965.0,956.0,961.15
27-01-2022,960.0,969.99,952.0,962.69
28-01-2022,965.0,965.0,958.02,964.04
31-01-2022,965.0,965.0,957.85,960.0
01-02-2022,960.0,969.95,957.5,959.68
02-02-2022,960.0,964.97,952.05,957.5
03-02-2022,964.0,964.0,959.0,961.03
04-02-2022,959.0,965.0,959.0,960.48
07-02-2022,964.0,964.0,961.1,963.33
08-02-2022,967.0,967.0,962.11,965.21
09-02-2022,964.5,969.0,964.5,968.07
10-02-2022,968.0,973.94,968.0,972.94
11-02-2022,967.0,972.0,967.0,971.83
14-02-2022,969.0,972.5,969.0,970.03
15-02-2022,969.0,973.5,963.1,970.22
16-02-2022,973.5,974.8,964.65,965.0
17-02-2022,973.99,973.99,959.9,961.61
18-02-2022,961.61,972.0,957.1,969.94
21-02-2022,971.0,972.0,964.0,970.96
22-02-2022,970.98,970.98,952.12,966.02
23-02-2022,967.0,968.0,962.0,963.68
24-02-2022,962.0,962.0,954.0,954.19
25-02-2022,958.05,967.99,955.0,956.17
28-02-2022,956.17,968.0,955.0,967.37
02-03-2022,970.0,970.0,960.0,963.98
