date,open,high,low,close
28-09-2021,1000.0,1000.0,1000.0,1000.0
29-09-2021,990.0,990.0,805.5,990.0
04-10-2021,997.0,997.0,996.0,996.0
05-10-2021,997.0,1005.0,997.0,1005.0
06-10-2021,995.0,1004.0,993.0,993.0
07-10-2021,992.6,992.6,992.6,992.6
08-10-2021,1000.0,1000.0,1000.0,1000.0
18-10-2021,1000.0,1001.0,1000.0,1001.0
20-10-2021,1002.0,1004.0,1002.0,1003.81
21-10-2021,999.0,1000.0,999.0,1000.0
22-10-2021,1000.05,1000.05,997.0,997.0
25-10-2021,998.0,998.0,998.0,998.0
26-10-2021,997.0,997.0,997.0,997.0
27-10-2021,996.0,996.0,996.0,996.0
28-10-2021,995.0,995.0,991.0,991.0
29-10-2021,995.0,995.0,991.0,991.0
01-11-2021,998.0,998.0,998.0,998.0
02-11-2021,994.0,997.0,991.0,991.0
03-11-2021,991.0,991.0,991.0,991.0
08-11-2021,995.0,995.0,995.0,995.0
11-11-2021,1049.95,1049.95,960.0,1049.9
12-11-2021,991.0,1030.0,902.01,1030.0
15-11-2021,1000.0,1000.0,1000.0,1000.0
16-11-2021,1000.0,1000.0,1000.0,1000.0
24-11-2021,1000.0,1000.0,1000.0,1000.0
26-11-2021,970.1,999.0,820.0,990.0
29-11-2021,992.0,992.0,992.0,992.0
02-12-2021,998.0,998.0,998.0,998.0
03-12-2021,998.0,998.0,995.0,995.0
06-12-2021,996.1,1000.0,996.1,1000.0
09-12-2021,990.0,990.0,990.0,990.0
16-12-2021,980.0,980.0,980.0,980.0
17-12-2021,980.0,980.0,980.0,980.0
22-12-2021,970.1,970.1,970.1,970.1
23-12-2021,972.1,972.1,972.05,972.05
24-12-2021,985.0,985.0,980.0,981.54
27-12-2021,985.0,985.0,985.0,985.0
29-12-2021,995.0,995.0,995.0,995.0
30-12-2021,998.0,998.0,998.0,998.0
03-01-2022,997.0,997.0,997.0,997.0
04-01-2022,998.0,998.0,993.0,993.0
05-01-2022,994.0,994.0,994.0,994.0
06-01-2022,1000.0,1000.0,995.0,995.0
13-01-2022,997.0,997.0,990.5,991.0
14-01-2022,999.0,999.0,999.0,999.0
18-01-2022,991.0,995.0,818.85,985.0
19-01-2022,990.0,990.0,990.0,990.0
21-01-2022,995.0,995.0,995.0,995.0
27-01-2022,985.0,985.0,984.0,984.0
28-01-2022,989.0,989.0,989.0,989.0
02-02-2022,991.0,991.0,991.0,991.0
03-02-2022,992.0,992.0,985.0,988.0
04-02-2022,985.0,985.0,985.0,985.0
07-02-2022,985.0,985.0,985.0,985.0
21-02-2022,985.0,985.0,985.0,985.0
24-02-2022,984.0,1020.0,828.85,980.0
28-02-2022,1049.9,1049.9,980.0,980.0
02-03-2022,980.0,980.0,980.0,980.0
04-03-2022,979.99,979.99,979.99,979.99
07-03-2022,829.0,992.0,828.85,992.0
08-03-2022,985.0,985.0,983.0,983.36
09-03-2022,983.36,983.36,983.36,983.36
10-03-2022,966.5,987.0,966.5,987.0
11-03-2022,975.0,975.0,975.0,975.0
17-03-2022,990.0,990.0,983.0,983.0
22-03-2022,975.0,980.0,971.45,980.0
23-03-2022,900.11,975.0,900.11,975.0
24-03-2022,975.0,975.0,975.0,975.0
28-03-2022,971.5,971.5,971.5,971.5
