date,open,high,low,close
22-07-2019,1005.0,1005.0,1005.0,1005.0
23-07-2019,1005.0,1005.0,1005.0,1005.0
24-07-2019,1005.0,1005.0,1005.0,1005.0
25-07-2019,1006.0,1020.0,1006.0,1009.0
26-07-2019,1000.0,1016.5,1000.0,1011.96
29-07-2019,1006.01,1006.01,1004.9,1005.0
30-07-2019,1010.0,1010.0,1005.0,1005.0
31-07-2019,1005.6,1005.6,1003.0,1005.0
01-08-2019,1010.0,1010.0,1003.0,1003.0
02-08-2019,1003.0,1005.0,1001.2,1001.61
05-08-2019,1009.9,1009.9,1005.5,1005.5
06-08-2019,1007.7,1008.0,1006.01,1006.77
07-08-2019,1002.0,1009.95,1002.0,1009.95
08-08-2019,1009.99,1009.99,1009.99,1009.99
13-08-2019,1010.0,1014.0,1010.0,1014.0
14-08-2019,1007.5,1007.5,936.4,1000.11
16-08-2019,1000.0,1008.95,1000.0,1005.7
19-08-2019,1005.0,1005.0,1000.0,1000.0
20-08-2019,1000.0,1000.0,996.0,996.0
21-08-2019,1005.0,1005.0,1005.0,1005.0
22-08-2019,1005.0,1005.0,1001.0,1002.56
23-08-2019,1001.0,1004.5,1001.0,1003.25
26-08-2019,1006.0,1006.0,1006.0,1006.0
27-08-2019,1007.99,1008.0,1005.0,1008.0
28-08-2019,1008.0,1008.0,1005.0,1006.5
29-08-2019,1005.0,1005.0,1005.0,1005.0
30-08-2019,1010.0,1010.0,1005.0,1009.0
05-09-2019,1010.5,1010.5,1010.0,1010.0
06-09-2019,1025.0,1025.0,1012.0,1014.0
09-09-2019,1020.0,1022.0,1020.0,1020.14
11-09-2019,1029.0,1029.0,1029.0,1029.0
12-09-2019,1034.65,1034.65,1025.0,1025.0
13-09-2019,1025.0,1029.95,1023.0,1029.33
17-09-2019,1030.0,1030.0,1026.0,1026.0
18-09-2019,1026.0,1031.0,1026.0,1030.73
19-09-2019,1030.5,1030.5,1030.0,1030.1
20-09-2019,1030.0,1039.9,1030.0,1037.0
23-09-2019,1035.0,1037.0,1034.5,1034.5
24-09-2019,1045.0,1045.0,1035.0,1035.0
26-09-2019,1035.0,1035.0,1032.0,1032.0
30-09-2019,1035.0,1035.0,1000.05,1024.95
01-10-2019,1035.0,1035.0,1025.0,1033.0
03-10-2019,1038.95,1038.95,1032.0,1038.0
04-10-2019,1040.0,1046.0,1035.0,1046.0
07-10-2019,1035.0,1036.0,1035.0,1035.0
09-10-2019,1035.0,1035.25,1035.0,1035.0
10-10-2019,1035.0,1035.0,1032.2,1032.78
11-10-2019,1040.0,1040.0,1030.0,1033.8
14-10-2019,1040.0,1040.0,1034.0,1039.0
15-10-2019,1035.0,1035.0,1035.0,1035.0
16-10-2019,1035.0,1035.0,1035.0,1035.0
17-10-2019,1035.0,1035.0,1031.0,1031.83
18-10-2019,1032.0,1032.0,1032.0,1032.0
22-10-2019,1032.0,1040.0,1032.0,1036.35
23-10-2019,1035.0,1036.5,1035.0,1036.5
24-10-2019,1035.0,1045.0,1034.99,1045.0
25-10-2019,1043.99,1043.99,1035.0,1042.0
27-10-2019,1038.0,1038.0,1037.0,1037.5
29-10-2019,1045.0,1045.0,1045.0,1045.0
30-10-2019,1050.0,1050.0,1042.01,1042.01
31-10-2019,1045.0,1045.0,1042.0,1042.0
01-11-2019,1042.0,1042.0,1042.0,1042.0
04-11-2019,1050.0,1050.0,1045.0,1049.95
05-11-2019,1043.01,1055.0,1043.01,1045.0
06-11-2019,1049.0,1050.0,1048.65,1050.0
07-11-2019,1059.0,1060.0,1059.0,1060.0
08-11-2019,1058.9,1066.8,1058.9,1060.0
11-11-2019,1068.0,1072.0,1023.0,1055.1
13-11-2019,1056.1,1063.5,1056.1,1060.58
14-11-2019,983.95,983.95,972.0,972.83
15-11-2019,975.0,975.0,971.0,971.0
18-11-2019,980.0,980.0,966.11,971.0
19-11-2019,975.0,975.0,962.01,962.8
20-11-2019,963.0,963.0,963.0,963.0
21-11-2019,964.0,972.85,963.0,963.0
22-11-2019,964.0,964.0,964.0,964.0
25-11-2019,969.0,969.0,962.05,966.05
26-11-2019,962.0,962.25,962.0,962.25
27-11-2019,975.0,975.0,965.0,971.13
28-11-2019,966.01,966.01,965.0,965.81
29-11-2019,965.0,979.0,965.0,974.97
02-12-2019,967.07,976.94,957.0,964.17
03-12-2019,972.99,973.0,951.61,958.84
04-12-2019,967.0,969.9,954.99,955.02
05-12-2019,990.0,990.0,954.99,957.16
06-12-2019,962.0,962.0,957.02,959.28
09-12-2019,965.45,965.45,960.0,961.0
10-12-2019,962.0,968.95,958.0,959.99
11-12-2019,964.0,964.0,958.26,961.8
12-12-2019,965.0,965.0,955.0,955.37
13-12-2019,955.5,960.0,954.0,954.0
16-12-2019,954.0,959.0,954.0,959.0
17-12-2019,964.39,964.39,958.51,958.87
18-12-2019,960.0,960.0,959.0,959.76
19-12-2019,962.0,962.0,959.2,959.23
20-12-2019,960.0,962.0,960.0,962.0
23-12-2019,960.0,960.5,959.0,959.94
24-12-2019,965.79,985.0,960.0,962.42
26-12-2019,970.0,970.0,967.0,968.42
27-12-2019,969.01,975.0,969.01,972.68
30-12-2019,973.0,979.0,973.0,978.63
31-12-2019,983.99,984.0,976.0,979.25
01-01-2020,979.95,979.95,973.0,975.07
02-01-2020,975.0,985.84,975.0,980.13
