date,open,high,low,close
06-08-2021,43.75,44.6,42.75,43.35
09-08-2021,44.1,44.1,41.0,41.35
10-08-2021,41.1,42.9,38.0,39.95
11-08-2021,42.3,42.7,36.3,39.55
12-08-2021,40.4,42.0,39.45,40.95
13-08-2021,41.75,43.2,39.5,41.85
16-08-2021,41.05,42.5,39.1,39.8
17-08-2021,41.0,41.0,38.25,38.8
18-08-2021,38.05,38.9,37.45,37.9
20-08-2021,37.9,37.9,36.55,37.15
23-08-2021,37.15,39.0,31.15,35.8
24-08-2021,35.8,39.7,35.8,38.9
25-08-2021,39.0,41.1,38.05,39.95
26-08-2021,40.75,40.75,38.25,38.75
27-08-2021,39.0,39.0,37.5,37.95
30-08-2021,37.8,38.8,37.05,37.75
31-08-2021,38.0,38.95,37.25,37.5
01-09-2021,38.25,38.25,36.95,37.2
02-09-2021,37.0,37.8,36.25,37.2
03-09-2021,37.2,37.9,36.7,37.3
06-09-2021,37.7,38.35,37.1,38.0
07-09-2021,38.4,38.9,37.55,37.7
08-09-2021,37.0,37.8,37.0,37.15
09-09-2021,37.0,38.05,37.0,37.3
13-09-2021,37.5,37.75,36.95,37.45
14-09-2021,37.3,41.0,36.95,37.85
15-09-2021,37.95,38.7,37.5,37.8
16-09-2021,37.55,38.15,37.5,37.65
17-09-2021,38.5,38.5,36.3,37.05
20-09-2021,36.8,37.65,36.1,36.25
21-09-2021,37.0,37.0,35.2,35.85
22-09-2021,36.8,36.8,35.3,36.25
23-09-2021,36.5,36.85,35.65,36.05
24-09-2021,36.6,36.6,35.55,36.4
27-09-2021,36.75,36.9,35.85,36.2
28-09-2021,36.0,36.85,35.5,35.8
29-09-2021,35.2,37.75,35.2,37.2
30-09-2021,37.4,37.5,36.0,36.2
01-10-2021,36.6,37.35,36.05,36.3
04-10-2021,37.0,38.5,36.1,37.4
05-10-2021,37.95,38.0,36.6,37.5
06-10-2021,37.5,37.9,36.5,36.7
07-10-2021,37.0,37.8,36.9,37.0
08-10-2021,37.5,37.6,36.5,36.85
11-10-2021,37.45,37.45,36.6,36.85
12-10-2021,37.3,37.3,36.5,36.6
13-10-2021,36.65,38.5,36.3,37.1
14-10-2021,37.1,39.6,37.0,37.2
18-10-2021,38.0,38.0,32.4,35.15
19-10-2021,36.35,36.7,35.0,35.35
20-10-2021,35.95,35.95,34.65,34.95
21-10-2021,34.2,35.85,32.7,33.85
22-10-2021,35.45,35.45,33.9,34.6
25-10-2021,34.6,34.95,33.35,33.8
26-10-2021,33.8,34.65,33.05,34.0
27-10-2021,33.4,34.35,33.4,33.85
