date,open,high,low,close
22-07-2019,22.2,22.5,21.65,21.65
23-07-2019,21.45,22.35,21.45,22.25
24-07-2019,21.9,23.15,21.9,23.15
25-07-2019,23.2,23.2,23.2,23.2
26-07-2019,23.45,23.45,21.9,22.4
29-07-2019,23.45,23.45,23.45,23.45
30-07-2019,23.55,23.55,22.1,22.55
31-07-2019,23.2,23.2,22.45,23.1
01-08-2019,22.85,23.9,22.8,23.6
02-08-2019,24.05,24.05,24.05,24.05
05-08-2019,24.35,24.35,24.35,24.35
06-08-2019,24.35,24.35,23.8,23.8
07-08-2019,24.2,24.2,24.2,24.2
08-08-2019,24.2,24.25,24.2,24.25
09-08-2019,24.35,24.35,24.35,24.35
13-08-2019,24.35,24.35,24.35,24.35
14-08-2019,24.4,24.4,24.4,24.4
16-08-2019,24.4,24.4,24.4,24.4
19-08-2019,24.25,25.45,23.5,25.4
20-08-2019,25.25,25.25,24.75,24.75
21-08-2019,25.35,25.35,25.35,25.35
23-08-2019,25.0,25.0,25.0,25.0
26-08-2019,24.2,24.2,23.7,23.7
27-08-2019,23.3,24.3,23.3,24.3
28-08-2019,24.25,24.25,24.25,24.25
29-08-2019,25.1,25.1,25.1,25.1
30-08-2019,23.55,24.85,23.55,24.85
03-09-2019,24.85,24.95,24.85,24.95
04-09-2019,24.75,24.75,24.75,24.75
05-09-2019,25.05,25.05,23.3,24.15
06-09-2019,24.85,24.85,24.85,24.85
09-09-2019,24.85,24.85,24.1,24.1
11-09-2019,24.0,24.0,24.0,24.0
12-09-2019,24.05,24.05,24.05,24.05
13-09-2019,24.1,24.1,24.1,24.1
16-09-2019,23.8,23.8,23.8,23.8
17-09-2019,23.55,23.55,23.55,23.55
18-09-2019,23.7,23.7,23.7,23.7
19-09-2019,24.5,24.5,24.5,24.5
20-09-2019,24.55,25.15,24.55,25.15
24-09-2019,25.15,25.15,25.15,25.15
25-09-2019,25.15,25.15,25.15,25.15
26-09-2019,25.65,25.65,25.65,25.65
27-09-2019,25.65,25.65,25.65,25.65
