date,open,high,low,close
10-07-2023,131.0,139.9,117.4,117.4
11-07-2023,120.0,129.1,111.0,129.1
12-07-2023,133.0,135.55,122.65,122.7
13-07-2023,121.0,123.45,116.6,116.6
14-07-2023,118.9,118.9,110.8,110.8
17-07-2023,107.0,112.8,105.3,105.3
18-07-2023,101.0,103.55,100.05,100.05
19-07-2023,100.05,105.05,95.05,103.4
20-07-2023,106.5,108.55,103.7,108.55
21-07-2023,112.5,113.95,110.6,113.95
24-07-2023,117.75,119.0,112.2,116.4
25-07-2023,112.95,122.2,110.7,122.2
26-07-2023,127.75,128.3,119.0,128.2
27-07-2023,130.95,134.6,123.0,129.1
28-07-2023,129.9,135.3,129.0,132.15
31-07-2023,132.2,135.2,129.0,131.15
01-08-2023,134.9,134.9,126.55,129.15
02-08-2023,129.0,132.45,122.75,123.45
03-08-2023,125.05,129.6,125.0,128.55
04-08-2023,134.95,134.95,122.15,122.15
07-08-2023,124.9,128.25,116.05,116.05
08-08-2023,110.4,121.85,110.25,121.05
09-08-2023,121.8,127.1,117.0,124.8
10-08-2023,124.1,124.1,119.0,119.95
11-08-2023,115.5,125.9,115.5,125.75
14-08-2023,125.95,132.0,122.75,131.95
16-08-2023,138.5,138.5,131.95,138.3
17-08-2023,139.0,145.2,139.0,145.1
18-08-2023,151.7,152.35,149.15,152.25
21-08-2023,159.85,159.85,146.6,159.85
22-08-2023,161.0,161.0,151.85,151.85
23-08-2023,151.8,151.8,144.25,144.25
24-08-2023,141.0,147.0,137.05,138.5
25-08-2023,138.5,145.4,133.2,144.1
28-08-2023,148.0,151.3,138.05,150.75
29-08-2023,151.0,158.25,146.0,157.65
30-08-2023,163.9,164.0,157.65,160.6
31-08-2023,161.5,162.8,153.7,158.75
01-09-2023,161.0,166.0,154.4,163.2
04-09-2023,165.0,165.0,156.55,159.85
05-09-2023,159.0,160.95,151.85,156.25
06-09-2023,156.25,164.05,150.0,164.05
07-09-2023,172.25,172.25,170.95,172.25
08-09-2023,180.1,180.85,178.0,180.85
11-09-2023,189.0,189.5,171.8,184.5
12-09-2023,185.6,187.0,175.3,175.3
13-09-2023,173.8,173.8,166.55,166.55
14-09-2023,159.0,173.8,159.0,169.8
15-09-2023,169.8,177.9,163.55,175.95
18-09-2023,177.85,177.85,169.3,170.9
20-09-2023,178.0,178.0,162.55,171.9
21-09-2023,171.65,172.85,164.25,171.25
22-09-2023,172.0,172.0,166.1,169.8
25-09-2023,171.0,173.95,164.5,164.95
26-09-2023,170.0,171.0,162.2,163.25
27-09-2023,169.2,171.4,162.05,170.4
28-09-2023,170.0,172.5,166.0,169.85
29-09-2023,169.85,177.8,165.35,173.3
03-10-2023,173.3,173.3,167.25,169.25
04-10-2023,165.0,171.85,165.0,166.3
05-10-2023,174.1,174.1,160.6,166.65
06-10-2023,166.45,173.0,162.3,171.3
09-10-2023,171.3,174.0,164.5,166.05
10-10-2023,171.8,173.95,163.0,168.95
11-10-2023,169.0,170.4,162.2,163.35
12-10-2023,166.95,167.4,163.55,165.3
13-10-2023,165.3,166.5,158.6,160.35
16-10-2023,163.9,167.0,159.0,166.75
17-10-2023,167.0,167.95,158.45,164.35
18-10-2023,162.95,162.95,158.0,159.2
19-10-2023,158.0,158.1,151.25,151.25
20-10-2023,151.0,153.65,146.0,151.9
23-10-2023,152.65,152.65,144.3,146.05
25-10-2023,141.6,149.7,141.6,143.7
26-10-2023,144.7,144.7,136.55,143.35
27-10-2023,138.1,146.2,138.1,144.05
30-10-2023,144.05,144.8,136.9,139.3
31-10-2023,138.05,146.25,138.05,145.95
01-11-2023,145.95,151.75,141.3,151.1
02-11-2023,154.95,154.95,144.25,146.15
03-11-2023,148.35,148.85,140.65,143.45
06-11-2023,143.0,149.9,140.2,146.55
07-11-2023,146.55,148.75,143.5,144.4
08-11-2023,144.5,146.9,141.65,144.8
09-11-2023,146.2,152.0,142.0,150.7
10-11-2023,153.7,157.95,145.0,154.05
12-11-2023,159.9,160.0,152.2,159.2
13-11-2023,160.0,160.0,157.3,159.4
15-11-2023,164.8,164.8,154.5,156.55
16-11-2023,156.0,159.75,153.25,155.4
17-11-2023,154.05,156.35,150.3,151.0
20-11-2023,147.65,151.0,147.65,150.55
21-11-2023,146.0,150.9,145.2,145.7
22-11-2023,145.65,147.95,144.5,144.95
23-11-2023,148.0,148.0,143.1,144.05
24-11-2023,144.1,147.5,138.6,143.4
28-11-2023,143.6,147.0,141.0,141.65
29-11-2023,139.0,143.6,137.2,139.5
30-11-2023,136.5,141.7,136.5,139.0
01-12-2023,139.1,141.95,138.05,139.8
04-12-2023,143.9,146.75,137.7,145.95
05-12-2023,147.9,151.9,145.55,151.35
06-12-2023,151.0,151.5,145.3,147.6
07-12-2023,148.75,148.75,144.5,146.65
08-12-2023,146.4,148.65,143.0,146.05
11-12-2023,147.0,147.0,142.2,144.5
12-12-2023,146.5,146.5,142.0,142.65
13-12-2023,145.0,148.2,142.0,145.65
14-12-2023,145.0,146.0,143.0,144.6
15-12-2023,144.5,145.0,140.0,142.3
18-12-2023,146.9,148.8,138.0,141.6
19-12-2023,142.1,143.85,134.55,137.0
20-12-2023,136.0,140.95,130.5,131.7
21-12-2023,132.05,132.9,127.25,130.2
22-12-2023,130.85,133.95,130.85,133.4
26-12-2023,131.5,140.05,131.5,139.5
27-12-2023,140.05,145.85,140.05,142.9
28-12-2023,148.8,148.8,138.3,139.45
29-12-2023,139.0,141.65,134.0,134.7
01-01-2024,136.0,141.4,135.0,141.4
02-01-2024,146.95,148.0,141.55,144.1
03-01-2024,149.7,149.7,144.15,147.9
04-01-2024,153.6,153.6,143.2,147.9
05-01-2024,154.0,154.0,145.2,147.1
08-01-2024,145.2,151.45,144.25,148.8
09-01-2024,145.15,149.6,145.15,146.95
10-01-2024,146.6,148.8,143.4,145.55
11-01-2024,151.95,151.95,141.35,146.65
12-01-2024,148.0,149.05,144.85,146.0
15-01-2024,144.25,147.0,141.8,143.7
16-01-2024,144.9,144.9,141.15,142.15
17-01-2024,140.4,144.55,139.0,140.45
18-01-2024,138.15,143.7,137.2,138.65
19-01-2024,140.7,142.25,138.0,139.5
20-01-2024,140.05,146.45,137.95,144.8
23-01-2024,145.7,145.95,140.0,141.0
24-01-2024,141.0,143.15,135.3,136.55
25-01-2024,136.8,140.0,134.3,137.75
29-01-2024,137.05,144.6,136.95,144.6
30-01-2024,147.95,149.65,141.2,142.7
31-01-2024,148.0,148.0,141.05,142.8
01-02-2024,144.95,145.65,140.3,141.45
02-02-2024,144.1,145.0,138.25,144.6
05-02-2024,151.8,151.8,150.15,151.8
06-02-2024,156.85,156.85,145.1,146.4
07-02-2024,147.95,156.9,147.45,153.45
08-02-2024,157.8,158.0,146.0,148.15
09-02-2024,150.0,150.0,142.95,146.45
12-02-2024,149.5,158.5,131.8,146.45
13-02-2024,134.05,149.0,131.8,138.15
14-02-2024,135.2,143.2,134.1,139.65
15-02-2024,144.95,144.95,141.0,141.85
16-02-2024,144.5,147.95,140.55,146.0
19-02-2024,144.6,160.6,144.6,160.6
20-02-2024,166.0,176.65,160.6,174.05
21-02-2024,178.0,182.75,167.15,182.0
22-02-2024,182.0,191.1,172.9,172.9
23-02-2024,167.9,169.85,164.25,164.25
26-02-2024,162.15,162.6,156.05,156.4
27-02-2024,158.9,164.2,149.0,155.5
28-02-2024,163.25,163.25,157.3,163.25
29-02-2024,159.7,163.25,155.8,156.2
01-03-2024,157.95,163.9,155.7,156.85
02-03-2024,155.15,157.7,153.65,155.65
04-03-2024,156.9,161.7,149.5,157.55
05-03-2024,157.15,165.4,153.3,165.25
06-03-2024,169.0,169.7,158.0,163.05
07-03-2024,160.0,171.2,160.0,170.8
11-03-2024,174.95,175.95,162.3,163.25
12-03-2024,157.95,159.1,155.1,155.5
13-03-2024,158.95,158.95,147.75,149.5
14-03-2024,149.6,154.95,145.0,149.95
15-03-2024,151.0,156.0,145.55,153.45
18-03-2024,154.05,159.9,151.05,154.05
19-03-2024,154.05,157.9,146.35,150.95
20-03-2024,155.8,155.8,149.65,151.25
21-03-2024,149.25,157.0,149.0,154.05
22-03-2024,153.0,154.7,149.75,151.15
26-03-2024,152.9,158.7,151.0,158.05
27-03-2024,160.0,163.0,150.6,152.95
28-03-2024,152.8,157.0,149.6,154.15
01-04-2024,158.2,161.85,155.15,161.0
02-04-2024,161.7,163.4,155.4,157.85
03-04-2024,158.1,164.9,155.95,162.9
04-04-2024,162.95,171.0,158.95,169.75
05-04-2024,174.8,174.8,163.6,166.75
08-04-2024,171.8,173.5,163.35,167.7
09-04-2024,173.0,174.5,162.05,169.3
10-04-2024,166.3,172.2,164.3,171.6
12-04-2024,171.6,180.15,168.05,179.1
15-04-2024,177.0,188.05,170.65,188.05
16-04-2024,190.0,197.45,186.15,196.75
18-04-2024,204.75,206.55,193.25,206.4
19-04-2024,208.4,216.7,203.0,215.75
22-04-2024,222.0,226.5,221.3,226.25
23-04-2024,230.0,230.0,214.95,214.95
24-04-2024,204.2,204.2,204.2,204.2
25-04-2024,200.0,214.4,194.0,213.3
26-04-2024,208.0,223.5,203.0,218.65
29-04-2024,223.5,229.55,216.0,229.55
30-04-2024,237.85,241.0,226.05,240.95
02-05-2024,245.9,252.95,242.5,251.9
03-05-2024,259.0,262.0,250.5,258.2
06-05-2024,253.05,253.05,253.05,253.05
07-05-2024,248.0,248.0,248.0,248.0
08-05-2024,243.05,243.05,243.05,243.05
09-05-2024,238.2,238.2,238.2,238.2
10-05-2024,233.45,233.45,233.45,233.45
13-05-2024,228.8,228.8,228.8,228.8
14-05-2024,224.25,224.25,224.25,224.25
15-05-2024,219.8,219.8,219.8,219.8
16-05-2024,215.4,215.4,215.4,215.4
17-05-2024,219.7,219.7,219.7,219.7
18-05-2024,224.05,224.05,224.05,224.05
21-05-2024,228.5,228.5,228.5,228.5
22-05-2024,223.95,223.95,223.95,223.95
23-05-2024,219.5,219.5,219.5,219.5
24-05-2024,215.15,215.15,215.15,215.15
27-05-2024,215.2,215.2,210.85,210.85
28-05-2024,206.65,206.65,206.65,206.65
29-05-2024,205.0,205.05,202.6,205.05
30-05-2024,202.0,202.0,201.0,201.0
31-05-2024,197.0,197.0,197.0,197.0
03-06-2024,193.1,193.1,193.1,193.1
04-06-2024,189.25,189.25,189.25,189.25
05-06-2024,185.5,185.5,185.5,185.5
06-06-2024,182.15,182.15,181.8,181.8
07-06-2024,178.25,185.4,178.25,185.4
10-06-2024,189.99,194.67,183.05,194.67
11-06-2024,203.0,204.4,202.0,204.4
12-06-2024,210.98,214.62,209.0,214.46
13-06-2024,224.98,225.18,208.0,225.17
14-06-2024,225.17,225.17,216.0,223.36
18-06-2024,225.0,230.0,220.0,225.6
19-06-2024,227.95,236.0,220.0,234.12
20-06-2024,229.43,229.43,229.43,229.43
21-06-2024,224.84,224.84,224.84,224.84
