date,open,high,low,close
22-07-2019,87.05,88.25,86.0,88.0
23-07-2019,88.15,88.4,86.2,86.4
24-07-2019,86.5,86.55,83.3,84.2
25-07-2019,84.2,86.35,83.65,85.9
26-07-2019,85.85,87.4,83.55,87.05
29-07-2019,87.0,88.9,82.05,83.3
30-07-2019,83.0,84.4,80.1,81.0
31-07-2019,80.25,82.35,80.0,82.05
01-08-2019,82.4,83.4,82.0,82.4
02-08-2019,82.0,83.0,80.1,81.7
05-08-2019,82.3,86.7,81.5,85.35
06-08-2019,85.7,89.75,85.1,86.95
07-08-2019,87.0,88.45,85.0,85.35
08-08-2019,85.6,88.75,85.55,88.05
09-08-2019,89.0,90.9,88.95,89.3
13-08-2019,90.0,90.3,85.7,86.35
14-08-2019,86.4,89.0,84.25,88.2
16-08-2019,87.5,88.85,86.5,87.85
19-08-2019,88.0,91.95,87.65,90.65
20-08-2019,90.6,90.9,88.0,89.5
21-08-2019,88.75,93.5,88.25,90.0
22-08-2019,89.75,90.3,86.6,88.0
23-08-2019,87.2,88.9,84.75,86.85
26-08-2019,88.0,89.4,85.2,88.55
27-08-2019,88.95,90.85,88.55,89.4
28-08-2019,89.4,90.3,87.5,87.75
29-08-2019,87.8,89.0,86.3,88.65
30-08-2019,89.05,90.0,88.0,89.3
03-09-2019,87.5,90.25,87.05,87.5
04-09-2019,89.85,91.45,88.3,90.4
05-09-2019,91.4,92.4,91.1,91.5
06-09-2019,92.4,93.0,92.0,92.6
09-09-2019,93.1,94.9,92.1,94.45
11-09-2019,95.1,97.5,95.1,96.65
12-09-2019,97.7,98.95,95.6,95.9
13-09-2019,96.0,96.8,94.05,94.55
16-09-2019,93.65,94.6,93.05,93.75
17-09-2019,93.9,94.1,91.1,91.5
18-09-2019,92.15,92.55,90.45,90.8
19-09-2019,90.95,91.15,88.1,89.4
20-09-2019,89.9,96.4,88.1,94.25
23-09-2019,96.0,97.1,92.75,93.2
24-09-2019,93.35,95.0,90.65,90.85
25-09-2019,90.45,93.4,88.9,92.55
26-09-2019,92.55,93.2,89.8,90.35
27-09-2019,90.5,91.45,89.15,89.7
30-09-2019,89.7,89.8,84.55,84.85
01-10-2019,85.0,86.0,76.7,81.4
03-10-2019,80.6,80.95,78.5,78.75
04-10-2019,79.15,80.25,77.25,78.5
07-10-2019,78.9,79.7,78.1,78.5
09-10-2019,78.7,81.45,78.1,79.4
10-10-2019,79.55,81.2,79.0,79.2
11-10-2019,79.8,80.5,78.2,78.6
14-10-2019,79.0,79.6,77.55,77.85
15-10-2019,78.4,78.5,77.0,77.25
16-10-2019,77.8,78.75,77.35,78.05
17-10-2019,78.25,78.4,75.5,76.4
18-10-2019,76.6,82.4,76.5,79.4
22-10-2019,79.05,83.7,79.05,82.95
23-10-2019,83.2,85.9,81.85,82.65
24-10-2019,83.0,84.0,79.65,80.9
25-10-2019,81.5,81.7,78.75,79.05
27-10-2019,79.8,80.5,79.05,80.3
29-10-2019,80.0,80.7,79.1,79.55
30-10-2019,80.0,81.6,79.5,79.9
31-10-2019,80.2,82.7,79.7,81.85
01-11-2019,82.2,84.7,82.2,83.0
04-11-2019,83.2,86.2,82.8,83.35
05-11-2019,83.65,85.95,83.0,85.45
06-11-2019,85.5,85.95,83.2,83.5
07-11-2019,83.6,85.5,83.6,84.7
08-11-2019,85.6,88.6,85.6,86.85
11-11-2019,87.35,88.4,85.15,86.9
13-11-2019,86.9,86.9,83.05,83.4
14-11-2019,83.0,83.85,79.0,80.25
15-11-2019,80.0,82.7,79.5,81.35
18-11-2019,81.35,82.35,80.3,81.8
19-11-2019,81.55,84.1,81.55,83.65
20-11-2019,84.2,85.9,84.0,85.6
21-11-2019,86.5,99.75,85.35,95.75
22-11-2019,95.1,101.3,92.5,100.15
25-11-2019,100.95,113.9,100.2,110.7
26-11-2019,111.4,114.25,106.3,108.35
27-11-2019,106.7,110.45,102.85,109.15
28-11-2019,109.0,112.5,107.1,110.15
29-11-2019,110.3,114.6,108.8,109.45
02-12-2019,109.8,111.0,105.75,107.15
03-12-2019,106.45,107.6,102.85,103.75
04-12-2019,102.95,108.2,102.35,107.05
05-12-2019,107.4,109.2,105.55,106.8
06-12-2019,107.3,108.0,102.1,103.2
09-12-2019,103.25,103.6,95.5,96.35
10-12-2019,96.45,97.4,91.6,91.95
11-12-2019,90.15,96.5,88.55,95.8
12-12-2019,100.0,101.7,98.0,99.4
13-12-2019,100.4,103.3,99.0,100.35
16-12-2019,100.5,102.55,99.4,100.0
17-12-2019,100.25,100.8,98.55,98.9
18-12-2019,98.95,99.9,96.8,97.55
19-12-2019,97.7,98.9,96.6,98.0
20-12-2019,98.25,99.85,96.75,97.35
23-12-2019,97.3,98.15,95.8,96.15
24-12-2019,96.5,96.9,95.05,95.2
26-12-2019,95.4,100.8,94.15,98.15
27-12-2019,98.8,101.15,98.25,99.5
30-12-2019,99.2,103.85,98.8,102.3
31-12-2019,101.75,104.8,101.5,102.7
01-01-2020,103.2,103.4,101.2,101.5
02-01-2020,101.4,108.5,101.4,106.35
03-01-2020,106.55,109.75,106.15,107.75
06-01-2020,105.6,105.8,100.6,101.2
07-01-2020,103.1,104.5,101.5,102.35
08-01-2020,100.15,101.9,99.55,100.7
09-01-2020,102.5,106.6,102.45,105.5
10-01-2020,106.0,112.35,105.05,109.05
13-01-2020,109.95,115.35,109.5,112.25
14-01-2020,112.85,113.65,110.3,110.85
15-01-2020,110.55,112.85,109.55,110.85
16-01-2020,111.5,111.9,109.0,109.55
17-01-2020,107.2,111.0,105.1,110.1
