date,open,high,low,close
22-07-2019,79.5,79.8,76.75,77.0
23-07-2019,77.0,77.8,73.6,75.95
24-07-2019,76.0,77.9,75.9,76.65
25-07-2019,76.05,81.05,75.1,79.15
26-07-2019,78.55,79.8,77.75,78.15
29-07-2019,77.5,78.85,77.1,78.15
30-07-2019,77.25,82.65,75.05,76.0
31-07-2019,75.0,79.4,74.45,77.6
01-08-2019,76.15,77.2,75.0,75.7
02-08-2019,75.0,75.7,73.6,74.5
05-08-2019,72.9,75.0,71.25,71.75
06-08-2019,70.25,72.95,67.6,68.8
07-08-2019,69.1,71.55,65.05,66.05
08-08-2019,66.0,68.9,65.5,68.15
09-08-2019,68.15,72.0,68.15,69.15
13-08-2019,71.95,71.95,67.0,67.75
14-08-2019,67.95,68.25,65.15,65.75
16-08-2019,65.95,66.5,63.1,63.95
19-08-2019,65.8,66.9,61.15,61.75
20-08-2019,62.2,62.2,57.6,58.2
21-08-2019,57.85,58.2,51.5,54.4
22-08-2019,54.2,55.05,49.8,50.6
23-08-2019,48.8,55.0,48.2,53.05
26-08-2019,56.0,58.85,55.05,56.4
27-08-2019,56.95,62.45,55.5,56.2
28-08-2019,56.5,57.75,54.15,54.5
29-08-2019,55.35,56.45,54.0,55.85
30-08-2019,57.0,58.5,55.5,57.55
03-09-2019,57.0,58.25,55.1,55.7
04-09-2019,55.5,58.0,55.2,57.45
05-09-2019,58.0,60.35,58.0,59.85
06-09-2019,60.5,66.3,60.2,65.3
09-09-2019,65.0,75.25,64.6,74.6
11-09-2019,74.8,75.75,70.6,73.95
12-09-2019,74.9,76.75,71.2,71.65
13-09-2019,72.15,72.8,70.2,70.7
16-09-2019,68.7,72.3,67.5,68.65
17-09-2019,68.95,70.9,65.05,66.2
18-09-2019,66.6,68.4,66.35,66.65
19-09-2019,67.15,67.45,64.5,64.7
20-09-2019,64.9,70.65,64.1,66.9
23-09-2019,68.9,74.2,68.55,70.95
24-09-2019,73.0,74.5,69.85,72.05
25-09-2019,72.0,79.3,71.2,75.25
26-09-2019,75.65,77.3,74.1,75.2
27-09-2019,75.1,78.95,73.6,76.2
30-09-2019,76.3,76.5,74.2,74.55
01-10-2019,75.1,77.0,72.35,74.6
03-10-2019,74.6,76.85,72.85,75.05
04-10-2019,75.7,77.0,74.2,74.7
07-10-2019,74.05,75.4,73.75,74.7
