date,open,high,low,close
16-09-2019,18.0,18.0,18.0,18.0
17-09-2019,17.15,17.15,17.15,17.15
18-09-2019,16.35,16.35,16.35,16.35
23-09-2019,15.55,15.55,15.55,15.55
25-09-2019,14.85,14.85,14.85,14.85
26-09-2019,14.15,14.15,14.15,14.15
30-09-2019,13.45,13.45,13.45,13.45
03-10-2019,12.8,12.85,12.8,12.85
04-10-2019,12.25,12.25,12.25,12.25
07-10-2019,11.65,11.65,11.65,11.65
09-10-2019,11.05,11.05,11.05,11.05
10-10-2019,10.55,10.55,10.55,10.55
11-10-2019,10.05,10.05,10.05,10.05
14-10-2019,9.55,9.55,9.55,9.55
15-10-2019,9.15,9.15,9.15,9.15
16-10-2019,8.75,8.75,8.75,8.75
17-10-2019,8.3,8.3,8.3,8.3
31-10-2019,8.7,8.7,8.7,8.7
07-11-2019,8.25,8.25,8.25,8.25
11-11-2019,8.65,8.65,8.65,8.65
18-12-2019,9.1,9.1,9.1,9.1
23-12-2019,9.55,9.55,9.55,9.55
31-12-2019,9.05,9.05,9.05,9.05
04-02-2020,9.5,9.5,9.5,9.5
10-02-2020,9.65,9.65,9.65,9.65
12-02-2020,10.15,10.15,10.15,10.15
06-03-2020,10.65,10.65,10.65,10.65
13-03-2020,10.15,10.15,10.15,10.15
19-03-2020,9.65,9.65,9.65,9.65
10-03-2021,9.65,9.65,9.65,9.65
07-06-2021,9.65,9.65,9.65,9.65
07-07-2021,9.65,9.65,9.65,9.65
13-07-2021,10.1,10.1,10.1,10.1
22-07-2021,10.6,10.6,10.6,10.6
26-07-2021,11.1,11.1,11.1,11.1
27-07-2021,11.65,11.65,11.65,11.65
28-07-2021,12.2,12.2,12.2,12.2
05-08-2021,12.8,12.8,12.8,12.8
14-09-2021,13.45,13.45,13.45,13.45
20-09-2021,14.1,14.1,14.1,14.1
05-10-2021,14.8,14.8,14.8,14.8
06-10-2021,15.55,15.55,15.55,15.55
07-10-2021,16.3,16.3,16.3,16.3
08-10-2021,17.1,17.1,17.1,17.1
12-10-2021,17.95,17.95,17.95,17.95
