date,open,high,low,close
22-07-2019,64.25,64.25,59.1,60.0
23-07-2019,60.2,61.7,57.0,57.75
24-07-2019,57.5,59.25,56.75,58.15
25-07-2019,58.15,59.3,52.9,54.65
26-07-2019,55.0,56.95,54.15,56.15
29-07-2019,56.25,57.2,54.5,55.7
30-07-2019,56.2,57.15,53.3,54.05
31-07-2019,54.3,54.8,52.05,54.0
01-08-2019,53.5,54.75,52.2,52.85
02-08-2019,52.45,53.15,50.5,51.05
05-08-2019,47.1,47.35,40.85,40.85
06-08-2019,37.85,44.9,36.8,44.9
07-08-2019,46.9,48.5,40.45,40.45
08-08-2019,37.6,41.4,37.6,40.75
09-08-2019,40.7,41.6,40.0,40.5
13-08-2019,40.85,41.15,39.7,40.45
14-08-2019,41.3,41.3,39.3,40.7
16-08-2019,40.95,42.9,39.9,42.5
19-08-2019,42.2,42.8,41.05,42.0
20-08-2019,42.0,42.8,40.5,41.4
21-08-2019,41.35,41.4,39.4,40.05
22-08-2019,40.05,40.4,36.8,37.5
23-08-2019,37.4,40.35,35.15,39.4
26-08-2019,41.2,41.55,37.0,38.55
27-08-2019,39.45,42.0,39.1,41.4
28-08-2019,40.55,42.3,40.25,41.2
29-08-2019,40.9,40.9,39.0,39.85
30-08-2019,40.1,42.3,38.9,41.55
03-09-2019,41.45,41.45,39.5,40.3
04-09-2019,41.35,41.35,39.0,39.6
05-09-2019,39.7,41.7,39.7,40.8
06-09-2019,41.0,41.95,40.0,41.25
09-09-2019,41.3,45.35,40.7,45.35
11-09-2019,46.75,49.85,46.1,49.85
12-09-2019,51.0,54.8,50.15,53.3
13-09-2019,54.0,55.95,53.5,55.95
16-09-2019,55.0,55.4,53.2,53.2
17-09-2019,52.45,52.45,49.8,50.0
18-09-2019,50.75,51.8,50.3,50.5
19-09-2019,50.8,53.0,50.8,52.55
20-09-2019,53.6,55.15,51.5,52.35
23-09-2019,53.9,54.45,51.9,52.75
24-09-2019,54.5,55.35,53.25,53.55
25-09-2019,52.55,56.2,52.0,55.6
26-09-2019,57.85,58.35,55.0,56.8
27-09-2019,58.0,59.25,55.1,56.45
30-09-2019,56.95,56.95,53.65,53.65
01-10-2019,53.0,55.4,51.0,53.65
03-10-2019,53.75,55.9,51.5,55.1
04-10-2019,56.0,57.85,54.5,57.85
07-10-2019,59.0,59.0,55.1,55.9
09-10-2019,56.9,56.9,53.55,54.35
10-10-2019,54.9,55.0,52.7,53.9
11-10-2019,53.7,55.65,52.55,54.85
14-10-2019,55.05,56.4,54.8,55.2
15-10-2019,55.7,57.95,55.15,57.8
16-10-2019,58.0,60.65,57.1,57.55
17-10-2019,57.3,57.45,55.9,56.8
18-10-2019,56.0,59.4,56.0,58.05
22-10-2019,57.05,60.25,56.6,57.45
23-10-2019,58.0,58.8,56.95,58.25
24-10-2019,58.45,58.95,56.0,57.15
25-10-2019,57.15,57.25,54.8,55.75
27-10-2019,56.85,57.25,55.5,56.5
29-10-2019,55.6,59.3,55.6,59.15
30-10-2019,59.95,62.0,59.3,60.95
31-10-2019,61.35,62.7,59.1,60.4
01-11-2019,60.05,60.9,59.5,59.8
04-11-2019,60.15,62.75,59.55,62.75
05-11-2019,65.0,65.0,60.6,61.4
06-11-2019,60.2,63.25,59.6,61.25
07-11-2019,60.95,64.3,60.3,63.95
08-11-2019,62.15,65.8,62.0,63.65
11-11-2019,63.0,64.25,60.5,60.5
13-11-2019,58.0,59.45,57.5,58.75
14-11-2019,58.4,60.75,58.35,58.7
15-11-2019,59.25,60.5,56.5,57.5
18-11-2019,57.0,58.85,56.05,56.9
19-11-2019,56.9,58.3,56.6,56.95
20-11-2019,57.7,58.2,56.45,57.2
21-11-2019,57.0,57.9,56.75,57.55
22-11-2019,58.3,58.8,57.4,58.1
25-11-2019,58.95,61.0,58.95,61.0
26-11-2019,64.05,64.05,62.9,64.05
27-11-2019,65.0,65.0,60.85,61.6
28-11-2019,60.25,64.5,60.25,63.15
29-11-2019,64.0,64.25,61.65,62.25
02-12-2019,62.1,63.5,61.55,62.3
03-12-2019,64.0,64.5,61.75,62.2
04-12-2019,65.3,65.3,63.15,65.3
05-12-2019,66.75,68.5,65.5,66.05
06-12-2019,66.8,66.8,62.4,62.9
09-12-2019,63.3,64.4,61.4,61.5
10-12-2019,61.05,61.95,59.5,59.95
11-12-2019,60.65,60.65,57.1,57.8
12-12-2019,57.25,57.7,56.6,57.2
13-12-2019,56.95,57.75,56.7,57.0
16-12-2019,57.05,57.4,56.45,56.6
17-12-2019,56.8,57.6,56.4,56.65
18-12-2019,56.9,57.05,56.3,56.45
19-12-2019,56.7,56.9,56.1,56.45
20-12-2019,56.4,56.85,55.4,55.75
23-12-2019,55.8,55.85,55.2,55.4
24-12-2019,55.1,57.9,55.1,56.6
26-12-2019,56.9,57.55,56.5,57.05
27-12-2019,57.05,57.75,56.55,57.4
30-12-2019,57.7,58.4,57.35,57.65
31-12-2019,57.6,59.65,57.35,57.85
01-01-2020,58.15,59.3,57.7,58.55
02-01-2020,58.8,59.25,58.1,58.2
03-01-2020,58.4,58.9,57.7,58.1
06-01-2020,57.7,58.5,57.3,57.45
07-01-2020,57.9,58.4,57.45,57.75
08-01-2020,57.35,59.9,57.2,58.9
09-01-2020,59.95,61.5,58.5,60.65
10-01-2020,61.0,62.2,59.95,60.55
13-01-2020,60.9,65.4,60.9,64.85
14-01-2020,64.9,65.45,64.1,64.65
15-01-2020,64.5,69.4,64.5,68.5
16-01-2020,68.0,71.7,67.9,69.8
17-01-2020,69.8,70.8,66.0,66.35
20-01-2020,65.25,67.9,64.25,64.85
21-01-2020,64.75,66.9,64.25,66.35
22-01-2020,67.0,67.45,65.8,66.8
23-01-2020,66.8,66.8,64.9,65.6
24-01-2020,66.2,67.45,65.4,66.8
27-01-2020,66.45,69.0,65.8,68.75
28-01-2020,70.0,71.9,68.1,69.4
29-01-2020,70.0,70.4,68.25,69.5
30-01-2020,69.5,69.5,68.5,68.85
31-01-2020,69.45,69.5,68.5,68.75
01-02-2020,68.25,69.15,68.25,68.3
03-02-2020,67.55,68.25,67.55,67.7
04-02-2020,67.6,68.85,67.6,68.1
05-02-2020,66.8,68.25,66.55,68.1
06-02-2020,67.8,69.85,67.8,68.55
07-02-2020,69.0,69.0,68.0,68.15
10-02-2020,67.65,68.5,67.5,67.85
11-02-2020,67.85,68.2,67.3,67.75
12-02-2020,67.75,67.9,67.45,67.55
13-02-2020,67.65,67.9,66.7,67.2
14-02-2020,67.55,67.6,67.0,67.3
17-02-2020,67.4,67.65,66.7,67.2
18-02-2020,66.85,67.0,65.75,66.35
19-02-2020,66.3,66.95,66.0,66.8
20-02-2020,67.0,68.5,66.3,67.15
24-02-2020,66.85,67.0,65.75,66.4
25-02-2020,66.4,66.55,65.5,66.15
26-02-2020,66.0,67.25,65.45,67.0
27-02-2020,67.0,68.9,66.0,68.05
28-02-2020,66.5,67.0,66.05,66.7
02-03-2020,66.7,67.0,66.0,66.2
03-03-2020,66.25,67.55,66.25,66.95
04-03-2020,66.15,67.25,65.15,66.55
05-03-2020,67.2,68.65,66.6,67.3
