date,open,high,low,close
23-07-2019,409.0,409.0,398.0,399.75
24-07-2019,400.0,400.55,378.0,380.8
25-07-2019,380.8,385.55,377.0,380.35
26-07-2019,380.65,384.4,377.2,381.65
29-07-2019,381.55,382.8,372.0,373.85
30-07-2019,376.6,379.9,371.1,373.45
31-07-2019,373.0,381.8,368.65,377.55
01-08-2019,376.0,377.85,366.3,371.1
02-08-2019,368.5,379.75,363.65,375.45
05-08-2019,372.0,372.0,359.15,367.85
06-08-2019,365.6,378.6,365.25,376.95
07-08-2019,379.55,379.55,365.65,372.25
08-08-2019,378.0,379.5,367.45,373.95
09-08-2019,377.7,380.5,374.25,376.6
13-08-2019,376.4,379.55,359.1,360.55
14-08-2019,361.55,363.0,356.6,358.85
16-08-2019,356.05,358.55,350.0,357.35
19-08-2019,357.6,363.4,356.5,357.4
20-08-2019,357.4,359.75,352.0,354.95
21-08-2019,355.0,355.0,348.4,350.7
22-08-2019,348.8,348.8,340.8,345.05
23-08-2019,346.4,354.15,339.65,349.35
26-08-2019,366.0,375.0,349.35,368.2
27-08-2019,370.3,374.25,367.3,372.05
28-08-2019,373.1,374.25,364.05,365.95
29-08-2019,367.0,370.3,361.3,366.2
30-08-2019,368.45,368.85,359.4,365.7
03-09-2019,362.7,367.15,359.55,361.3
04-09-2019,361.3,365.75,356.65,364.35
05-09-2019,365.7,367.75,361.25,366.55
06-09-2019,368.0,368.7,363.8,365.75
09-09-2019,365.8,371.8,363.65,369.55
11-09-2019,371.2,374.95,366.5,373.35
12-09-2019,375.0,376.2,370.5,372.45
13-09-2019,376.5,377.0,370.4,374.2
16-09-2019,373.0,373.8,368.1,370.6
17-09-2019,370.6,373.25,362.8,365.3
18-09-2019,365.0,368.3,364.2,366.35
19-09-2019,366.3,366.5,357.85,361.9
20-09-2019,362.45,384.8,361.0,380.7
23-09-2019,394.0,417.5,386.1,410.95
24-09-2019,409.95,417.5,403.95,413.85
25-09-2019,409.3,417.95,409.1,414.8
26-09-2019,412.2,420.6,412.0,419.15
27-09-2019,418.0,420.5,406.1,408.6
30-09-2019,403.0,415.55,401.45,413.95
01-10-2019,415.2,417.9,401.6,404.05
03-10-2019,403.5,406.2,398.6,403.9
04-10-2019,405.5,407.25,392.95,394.6
07-10-2019,396.0,400.75,390.65,395.25
09-10-2019,396.35,402.85,391.55,400.45
10-10-2019,397.8,401.6,395.6,399.9
11-10-2019,401.25,410.25,395.9,409.05
14-10-2019,410.9,413.0,404.8,407.45
15-10-2019,408.85,414.5,407.45,413.75
16-10-2019,413.0,413.75,403.6,410.0
17-10-2019,409.1,411.2,404.6,409.15
18-10-2019,410.0,423.8,408.0,421.7
22-10-2019,421.5,428.85,417.1,420.75
23-10-2019,418.0,419.0,395.0,396.1
24-10-2019,399.0,401.45,393.35,399.15
25-10-2019,402.95,402.95,396.85,398.95
27-10-2019,402.25,402.25,398.55,399.8
29-10-2019,401.0,401.0,398.15,398.95
30-10-2019,399.2,405.0,395.5,398.1
31-10-2019,399.25,400.0,393.65,395.8
01-11-2019,396.0,397.25,387.85,389.75
04-11-2019,390.0,394.95,389.75,391.0
05-11-2019,391.7,392.9,386.5,390.0
06-11-2019,390.0,394.4,388.5,391.0
07-11-2019,390.5,392.0,388.05,390.45
08-11-2019,391.2,391.2,385.5,386.15
11-11-2019,386.15,389.15,382.5,387.9
13-11-2019,391.0,391.8,369.4,370.8
14-11-2019,371.9,374.1,365.85,369.1
15-11-2019,369.1,370.9,365.5,366.3
18-11-2019,366.3,367.45,364.1,365.65
19-11-2019,367.5,368.15,361.55,364.05
20-11-2019,364.5,377.1,364.0,366.7
21-11-2019,368.0,376.25,368.0,372.1
22-11-2019,372.25,375.55,370.45,371.45
25-11-2019,372.0,379.2,371.5,374.7
26-11-2019,377.05,378.0,368.45,370.4
27-11-2019,372.0,374.35,367.25,372.95
28-11-2019,376.0,377.7,370.5,372.6
29-11-2019,372.0,384.95,370.8,382.05
02-12-2019,381.1,383.35,375.85,377.75
03-12-2019,380.0,380.0,359.55,361.95
04-12-2019,361.5,370.35,357.35,367.85
05-12-2019,368.0,373.6,365.15,368.4
06-12-2019,370.65,371.3,363.4,366.15
09-12-2019,368.25,377.5,364.95,373.6
10-12-2019,373.9,375.85,366.05,366.9
11-12-2019,368.95,370.85,365.0,369.7
12-12-2019,371.45,376.5,370.9,372.5
13-12-2019,372.55,380.9,372.55,376.95
16-12-2019,377.25,380.45,366.95,368.35
17-12-2019,369.2,373.0,367.55,371.25
18-12-2019,372.1,375.8,369.1,374.5
19-12-2019,374.0,374.25,367.6,369.65
20-12-2019,370.2,378.0,370.2,372.3
23-12-2019,372.05,374.2,364.25,366.9
24-12-2019,368.0,372.0,366.0,368.6
26-12-2019,368.8,370.6,362.1,363.65
27-12-2019,366.75,367.9,362.8,363.7
30-12-2019,371.0,371.0,363.75,365.95
31-12-2019,366.0,368.65,364.9,366.0
01-01-2020,368.0,379.25,366.0,377.65
02-01-2020,377.95,384.7,376.5,383.15
03-01-2020,382.7,384.35,379.2,382.5
06-01-2020,388.0,388.0,374.75,380.2
07-01-2020,384.05,389.75,382.4,384.8
08-01-2020,379.0,387.6,378.25,385.65
09-01-2020,389.15,394.0,386.05,391.8
10-01-2020,391.8,394.3,390.0,392.05
13-01-2020,391.9,393.9,389.3,390.35
14-01-2020,391.0,392.6,386.0,389.2
15-01-2020,389.3,391.4,386.0,390.8
16-01-2020,392.0,394.6,389.8,390.95
17-01-2020,390.9,392.4,386.0,387.6
20-01-2020,387.65,389.2,378.8,380.05
21-01-2020,378.8,382.0,375.3,379.95
22-01-2020,379.95,385.0,379.0,383.6
23-01-2020,384.45,386.75,380.75,385.85
24-01-2020,383.0,387.4,380.3,384.75
27-01-2020,383.7,386.25,379.8,381.25
28-01-2020,380.7,381.5,370.2,372.95
29-01-2020,377.5,387.75,373.75,383.35
30-01-2020,381.0,383.7,376.85,378.0
31-01-2020,380.05,381.55,368.25,369.4
01-02-2020,369.8,371.4,360.65,362.3
03-02-2020,364.0,370.0,355.5,367.35
04-02-2020,370.1,376.0,366.35,372.5
05-02-2020,372.0,372.5,361.1,366.6
06-02-2020,370.0,373.2,367.65,370.2
07-02-2020,370.2,373.7,367.2,369.55
10-02-2020,370.05,373.45,366.15,368.25
11-02-2020,370.5,378.4,369.05,374.2
12-02-2020,376.95,378.9,371.6,374.1
13-02-2020,374.0,374.7,367.0,369.1
14-02-2020,370.3,372.0,366.0,366.85
17-02-2020,366.85,366.85,359.4,362.8
18-02-2020,362.5,368.45,358.35,366.6
19-02-2020,371.0,374.45,367.35,371.3
