date,open,high,low,close
22-07-2019,311.9,311.9,302.55,306.55
23-07-2019,307.0,313.0,303.25,304.2
24-07-2019,310.0,310.0,302.5,302.85
25-07-2019,302.45,307.95,301.5,302.2
26-07-2019,306.95,356.6,304.95,312.85
29-07-2019,317.9,317.9,305.3,308.55
30-07-2019,309.45,309.45,296.1,297.5
31-07-2019,294.0,299.85,286.55,294.9
01-08-2019,299.8,299.8,293.05,296.45
02-08-2019,295.05,301.9,290.0,297.0
05-08-2019,296.7,296.75,287.1,292.2
06-08-2019,300.0,300.05,293.5,298.9
07-08-2019,300.0,302.0,287.5,292.4
08-08-2019,290.15,293.95,288.3,291.65
09-08-2019,297.1,302.0,295.65,298.55
13-08-2019,298.0,299.95,290.0,291.45
14-08-2019,299.85,299.85,282.5,285.05
16-08-2019,288.0,291.7,283.1,287.15
19-08-2019,290.05,294.75,283.05,288.85
20-08-2019,285.7,290.05,280.2,282.85
21-08-2019,281.0,294.0,281.0,287.55
22-08-2019,285.3,286.35,281.1,283.3
23-08-2019,281.0,285.55,281.0,284.9
26-08-2019,295.9,295.95,282.0,287.45
27-08-2019,291.5,294.45,286.15,291.4
28-08-2019,291.35,295.0,285.05,286.4
29-08-2019,289.95,289.95,285.0,285.4
30-08-2019,287.0,289.8,280.7,285.1
03-09-2019,285.5,285.5,279.0,279.9
04-09-2019,280.15,285.8,280.1,284.65
05-09-2019,284.7,290.0,284.0,287.55
06-09-2019,283.4,289.95,283.1,285.55
09-09-2019,285.55,297.45,285.55,291.05
11-09-2019,292.0,303.9,292.0,298.5
12-09-2019,299.95,314.8,297.2,298.1
13-09-2019,300.0,315.0,300.0,310.8
16-09-2019,313.0,341.0,306.35,328.3
17-09-2019,328.0,333.0,310.0,311.0
18-09-2019,312.0,315.5,305.0,306.85
19-09-2019,306.15,312.0,297.25,301.3
20-09-2019,301.3,320.0,296.35,313.85
23-09-2019,310.25,339.0,310.25,326.1
24-09-2019,328.0,334.7,318.6,321.25
25-09-2019,321.25,321.5,308.65,312.2
26-09-2019,311.0,323.1,311.0,319.05
27-09-2019,318.25,318.5,311.2,314.25
30-09-2019,310.65,313.9,306.1,308.25
01-10-2019,314.45,320.35,306.15,307.25
03-10-2019,305.25,307.85,302.0,304.45
04-10-2019,303.55,306.75,303.5,303.85
07-10-2019,303.5,307.0,301.0,302.35
09-10-2019,302.35,306.75,299.5,304.9
10-10-2019,300.0,307.85,295.65,299.35
11-10-2019,304.0,304.7,295.15,297.5
14-10-2019,297.5,324.3,292.0,300.95
15-10-2019,309.0,309.0,295.25,296.05
16-10-2019,301.95,303.5,292.5,296.15
17-10-2019,306.0,306.0,296.8,299.3
18-10-2019,304.8,304.8,292.0,300.85
22-10-2019,309.0,316.95,296.05,305.45
23-10-2019,313.85,332.2,298.8,323.35
24-10-2019,325.0,325.05,309.1,311.15
25-10-2019,306.05,313.85,306.0,307.25
27-10-2019,323.75,323.8,305.95,311.3
29-10-2019,311.35,316.0,310.8,311.15
30-10-2019,312.0,315.0,307.0,314.25
31-10-2019,308.4,322.5,308.35,319.1
01-11-2019,316.0,326.8,316.0,319.45
04-11-2019,323.0,324.8,315.0,315.4
05-11-2019,316.0,322.55,310.0,316.65
06-11-2019,310.3,318.95,310.0,315.0
07-11-2019,315.05,319.6,310.2,315.5
08-11-2019,319.4,321.0,311.1,312.8
11-11-2019,312.4,319.2,312.0,316.05
13-11-2019,347.95,360.0,333.25,339.35
14-11-2019,342.85,342.85,319.0,322.05
15-11-2019,326.95,327.0,307.0,309.6
18-11-2019,315.0,322.0,310.25,315.3
19-11-2019,317.15,317.3,309.2,311.1
20-11-2019,315.75,317.0,310.25,313.75
21-11-2019,309.2,314.9,305.2,306.1
22-11-2019,306.5,323.4,306.5,310.55
25-11-2019,315.5,316.0,310.4,311.9
26-11-2019,314.45,314.5,303.35,305.05
27-11-2019,307.0,312.9,305.25,310.55
28-11-2019,309.1,318.0,309.1,312.8
29-11-2019,315.0,316.55,310.0,312.6
02-12-2019,314.05,314.85,307.1,312.0
03-12-2019,316.0,316.0,303.0,305.15
04-12-2019,305.0,306.9,301.85,305.8
05-12-2019,307.95,309.5,291.9,295.8
06-12-2019,294.6,304.75,294.05,296.0
09-12-2019,296.55,300.05,293.0,295.1
10-12-2019,295.05,296.05,286.0,287.45
11-12-2019,290.0,292.3,286.1,287.6
12-12-2019,293.1,293.1,285.7,287.65
13-12-2019,292.85,296.5,287.0,289.55
16-12-2019,292.95,293.0,288.85,289.4
17-12-2019,291.85,293.15,286.1,289.9
18-12-2019,290.15,291.9,288.5,290.45
19-12-2019,290.05,294.9,288.55,291.25
20-12-2019,293.5,296.45,292.15,293.3
23-12-2019,296.7,296.7,287.0,288.75
24-12-2019,295.95,295.95,284.9,285.35
26-12-2019,292.0,292.0,286.1,287.4
27-12-2019,290.05,297.0,288.35,295.95
30-12-2019,296.75,297.0,290.05,292.65
31-12-2019,292.7,295.75,291.7,294.75
01-01-2020,295.5,299.0,293.65,295.65
02-01-2020,293.7,315.0,292.05,313.95
03-01-2020,314.0,319.75,302.15,306.1
06-01-2020,303.0,305.95,293.25,297.75
07-01-2020,307.9,307.9,297.5,300.25
08-01-2020,296.15,301.4,295.7,299.95
09-01-2020,306.45,317.0,306.25,309.45
10-01-2020,307.25,317.0,307.0,310.35
13-01-2020,315.5,319.75,311.1,315.95
14-01-2020,317.8,334.5,317.8,326.4
15-01-2020,326.4,333.0,324.0,331.5
16-01-2020,331.5,349.0,330.0,345.5
17-01-2020,347.8,353.0,341.55,343.5
20-01-2020,348.7,348.7,337.95,339.0
21-01-2020,337.0,339.45,326.0,332.6
22-01-2020,331.95,354.0,331.95,343.55
23-01-2020,343.55,344.95,337.0,339.7
24-01-2020,339.7,340.9,333.4,334.45
27-01-2020,337.5,337.5,325.15,326.6
28-01-2020,326.0,331.7,322.25,324.0
29-01-2020,329.8,334.0,324.0,326.0
30-01-2020,326.0,328.9,318.2,320.1
31-01-2020,318.3,318.3,311.9,312.95
01-02-2020,312.05,318.65,300.0,302.2
03-02-2020,304.7,306.35,296.1,298.8
04-02-2020,308.0,315.0,305.3,309.2
05-02-2020,313.2,315.95,303.0,305.4
06-02-2020,304.0,314.9,304.0,313.35
07-02-2020,314.85,329.9,314.85,319.95
10-02-2020,322.55,358.65,322.4,338.85
11-02-2020,329.05,343.8,325.1,327.1
12-02-2020,332.0,342.85,331.0,334.9
13-02-2020,341.95,342.0,321.8,323.65
14-02-2020,328.9,339.0,320.9,330.45
17-02-2020,335.0,335.0,306.15,308.8
18-02-2020,310.0,315.0,299.55,309.65
19-02-2020,312.45,322.5,309.8,317.35
20-02-2020,329.45,329.65,315.0,321.05
24-02-2020,320.0,320.0,302.0,317.25
25-02-2020,316.65,321.0,313.05,314.85
26-02-2020,314.1,316.05,309.2,312.35
27-02-2020,309.0,309.0,295.3,301.95
28-02-2020,300.0,300.0,281.55,296.0
02-03-2020,291.0,311.9,288.1,293.45
03-03-2020,297.05,301.95,294.7,295.75
04-03-2020,295.0,297.0,291.25,296.25
05-03-2020,298.05,298.05,292.95,295.45
06-03-2020,282.1,292.35,282.05,288.2
09-03-2020,288.2,288.2,270.8,275.65
11-03-2020,288.15,288.15,265.45,277.95
12-03-2020,276.95,276.95,248.1,252.15
13-03-2020,243.0,264.7,205.0,258.75
16-03-2020,258.75,258.75,241.9,245.1
17-03-2020,241.45,249.95,239.0,241.45
18-03-2020,227.0,244.9,219.05,219.95
19-03-2020,195.9,203.0,185.2,189.1
20-03-2020,189.1,203.9,180.05,197.9
23-03-2020,175.0,191.9,160.0,161.65
24-03-2020,170.05,176.35,163.0,166.05
25-03-2020,160.0,175.0,158.5,173.2
26-03-2020,175.0,190.4,165.2,190.2
27-03-2020,190.4,204.4,190.4,192.25
30-03-2020,197.95,197.95,178.0,179.95
31-03-2020,184.8,189.75,181.2,185.4
01-04-2020,190.85,190.85,176.1,183.1
03-04-2020,182.95,194.6,182.15,188.6
07-04-2020,193.0,201.0,190.0,196.75
08-04-2020,195.7,201.9,193.95,195.1
09-04-2020,201.0,208.8,198.0,207.45
13-04-2020,211.95,217.2,203.55,213.25
15-04-2020,214.9,219.95,211.0,214.3
16-04-2020,217.0,222.75,215.0,221.75
17-04-2020,248.7,259.5,245.25,251.5
20-04-2020,276.0,284.0,272.55,275.6
21-04-2020,269.95,269.95,251.6,257.75
22-04-2020,273.0,273.0,241.7,244.65
23-04-2020,249.8,249.8,244.9,246.65
24-04-2020,245.0,249.9,234.1,237.15
27-04-2020,240.0,240.0,230.1,232.15
28-04-2020,241.0,241.0,232.15,234.15
29-04-2020,240.8,243.45,235.2,238.05
30-04-2020,240.5,246.45,235.55,238.25
04-05-2020,221.0,236.6,221.0,229.4
05-05-2020,229.95,236.95,221.05,224.05
06-05-2020,221.55,233.8,219.15,222.35
07-05-2020,220.35,265.9,220.2,257.75
08-05-2020,259.85,285.85,243.6,268.95
11-05-2020,262.6,265.0,251.0,252.15
12-05-2020,245.15,247.7,241.1,243.05
13-05-2020,252.0,252.0,244.0,246.35
14-05-2020,245.0,245.0,238.05,239.35
15-05-2020,236.8,242.45,232.85,233.45
18-05-2020,230.0,237.95,223.1,225.1
19-05-2020,230.05,238.9,214.05,221.95
20-05-2020,221.95,229.9,216.55,227.3
21-05-2020,226.95,235.6,226.55,234.4
22-05-2020,234.7,239.7,225.0,226.95
26-05-2020,225.05,238.8,225.0,233.35
27-05-2020,226.4,234.75,226.35,230.05
28-05-2020,237.05,248.0,228.55,240.7
29-05-2020,240.95,288.8,240.95,272.8
01-06-2020,277.0,277.0,258.1,263.8
02-06-2020,263.8,268.0,254.05,258.1
03-06-2020,260.0,262.95,252.1,254.4
04-06-2020,253.0,256.65,246.2,248.55
05-06-2020,245.2,259.7,245.2,255.8
08-06-2020,252.1,268.0,252.1,253.85
09-06-2020,260.95,260.95,251.3,254.05
10-06-2020,255.0,263.5,252.0,260.15
11-06-2020,264.4,264.45,251.6,252.2
12-06-2020,245.0,251.95,235.0,250.2
15-06-2020,250.35,252.95,245.0,248.7
16-06-2020,252.95,259.0,241.2,246.0
17-06-2020,242.65,249.0,242.65,246.1
18-06-2020,245.25,249.35,244.15,246.05
19-06-2020,246.65,255.0,246.1,252.45
22-06-2020,256.9,264.9,250.0,255.15
23-06-2020,256.2,268.95,255.0,262.2
24-06-2020,262.2,304.0,259.0,268.75
25-06-2020,264.95,266.9,254.0,263.5
26-06-2020,262.0,270.0,262.0,266.75
29-06-2020,264.0,266.35,260.25,262.35
30-06-2020,260.1,265.45,256.45,258.25
01-07-2020,258.25,262.45,256.1,259.5
02-07-2020,259.45,279.0,257.1,272.65
03-07-2020,277.0,297.0,276.0,283.25
06-07-2020,279.0,293.4,271.65,282.15
07-07-2020,286.5,286.5,265.2,273.35
08-07-2020,273.35,275.5,264.0,265.55
09-07-2020,266.5,275.15,263.65,265.9
10-07-2020,266.5,266.9,257.95,260.3
13-07-2020,260.1,262.1,253.3,255.55
14-07-2020,255.45,268.9,251.0,256.45
15-07-2020,262.9,262.9,251.0,252.75
16-07-2020,255.05,256.4,248.15,253.4
17-07-2020,252.2,261.05,252.2,256.9
20-07-2020,259.4,262.0,255.5,260.2
21-07-2020,264.0,264.85,260.0,261.55
