date,open,high,low,close
22-07-2019,28.9,28.9,27.5,28.3
23-07-2019,27.85,28.35,27.85,28.05
24-07-2019,28.05,28.05,26.0,27.4
25-07-2019,27.4,28.5,27.0,27.9
26-07-2019,28.5,28.5,27.5,27.7
29-07-2019,27.5,28.5,27.5,27.85
30-07-2019,28.5,28.5,28.05,28.3
31-07-2019,27.9,28.0,27.0,27.6
01-08-2019,27.7,27.7,26.8,27.1
02-08-2019,27.05,27.3,26.15,27.1
05-08-2019,27.05,27.5,26.3,27.0
06-08-2019,26.9,26.9,25.0,26.5
07-08-2019,26.85,27.4,26.5,27.3
08-08-2019,27.45,28.0,27.1,27.3
09-08-2019,27.5,27.85,27.05,27.3
13-08-2019,27.5,28.9,27.25,27.5
14-08-2019,27.9,27.9,26.5,27.0
16-08-2019,27.0,27.25,26.0,26.7
19-08-2019,29.85,29.85,26.7,26.8
20-08-2019,26.8,27.6,26.55,26.9
21-08-2019,26.6,27.25,26.55,27.0
22-08-2019,26.5,28.8,25.4,25.5
23-08-2019,24.5,26.5,24.5,25.75
26-08-2019,26.55,26.55,25.6,26.4
27-08-2019,26.3,27.0,26.1,26.9
28-08-2019,26.9,26.9,26.25,26.7
29-08-2019,26.35,26.9,25.6,25.8
30-08-2019,26.2,27.5,25.6,26.1
03-09-2019,26.1,26.45,25.85,26.3
04-09-2019,26.25,26.45,25.5,25.6
05-09-2019,25.9,26.2,25.0,25.45
06-09-2019,25.85,25.9,25.25,25.75
09-09-2019,25.75,26.05,25.5,26.0
11-09-2019,25.1,26.5,25.1,26.25
12-09-2019,26.5,27.0,26.05,26.05
13-09-2019,26.5,26.8,26.05,26.2
16-09-2019,26.5,27.0,25.8,27.0
17-09-2019,29.5,29.5,26.1,27.05
18-09-2019,31.75,32.2,28.5,30.1
19-09-2019,30.4,30.95,28.65,29.35
20-09-2019,30.75,31.0,27.4,27.65
23-09-2019,29.85,32.2,28.2,29.9
24-09-2019,29.9,30.4,28.95,29.2
25-09-2019,29.2,29.2,28.25,28.9
26-09-2019,28.8,29.5,27.65,28.3
27-09-2019,28.3,28.7,28.15,28.5
30-09-2019,28.5,28.5,27.5,27.6
01-10-2019,27.6,28.0,26.25,27.4
03-10-2019,27.05,27.3,26.1,26.3
04-10-2019,26.3,27.0,26.0,26.5
07-10-2019,26.5,26.6,25.8,26.0
09-10-2019,26.3,26.5,25.8,26.05
10-10-2019,26.5,26.95,26.0,26.2
11-10-2019,26.65,27.2,26.2,26.9
14-10-2019,26.5,27.05,26.15,26.65
15-10-2019,26.9,27.25,26.4,26.9
16-10-2019,26.9,27.4,26.0,26.75
17-10-2019,26.95,27.0,26.0,26.2
18-10-2019,26.4,27.2,26.4,26.7
22-10-2019,26.5,27.55,26.05,26.95
23-10-2019,27.55,27.6,26.5,27.6
24-10-2019,27.0,28.55,26.55,27.0
25-10-2019,27.05,27.9,27.05,27.4
27-10-2019,28.9,28.95,27.1,27.6
29-10-2019,27.6,29.75,27.6,28.7
30-10-2019,28.6,29.1,28.1,28.5
31-10-2019,29.9,29.9,28.6,28.9
01-11-2019,28.6,29.5,28.2,28.8
04-11-2019,29.0,30.0,28.55,29.2
05-11-2019,28.9,29.5,28.9,29.1
06-11-2019,28.6,28.65,28.15,28.4
07-11-2019,28.5,29.4,28.5,29.1
08-11-2019,28.7,29.45,28.5,28.9
11-11-2019,28.55,28.9,28.05,28.6
13-11-2019,28.65,29.0,28.5,28.6
14-11-2019,28.95,29.0,28.0,28.25
15-11-2019,28.0,28.25,27.5,27.6
18-11-2019,27.5,28.5,27.5,27.9
19-11-2019,28.75,30.0,28.1,28.4
20-11-2019,28.05,28.55,27.5,28.2
21-11-2019,27.75,28.1,27.5,27.7
22-11-2019,27.6,29.95,27.25,27.55
25-11-2019,27.6,28.0,27.0,27.6
26-11-2019,27.55,27.7,27.3,27.4
27-11-2019,27.1,28.05,27.05,27.9
28-11-2019,27.5,27.9,27.2,27.7
29-11-2019,27.6,28.0,27.3,27.3
02-12-2019,27.3,27.7,27.3,27.35
03-12-2019,27.3,27.75,27.0,27.55
04-12-2019,27.75,27.85,27.05,27.25
05-12-2019,28.05,28.05,27.2,27.3
06-12-2019,27.9,28.95,27.2,27.4
09-12-2019,27.2,27.7,27.1,27.2
10-12-2019,27.5,27.5,27.0,27.1
11-12-2019,27.4,30.0,26.8,26.9
12-12-2019,27.0,27.45,26.75,26.8
13-12-2019,27.5,27.5,26.15,26.6
16-12-2019,27.5,27.55,26.65,26.9
17-12-2019,27.45,27.5,26.75,27.2
18-12-2019,27.2,27.5,26.3,26.4
19-12-2019,26.65,26.95,26.5,26.7
20-12-2019,26.8,27.5,26.05,27.4
23-12-2019,29.0,29.2,27.5,27.8
24-12-2019,28.0,28.4,26.4,26.9
26-12-2019,27.15,27.35,26.65,27.1
27-12-2019,26.7,27.95,26.5,27.2
30-12-2019,27.0,27.15,26.0,26.7
31-12-2019,26.6,27.5,26.0,26.6
01-01-2020,26.9,26.9,25.65,26.7
02-01-2020,26.75,27.1,26.15,26.7
03-01-2020,26.3,26.85,26.3,26.7
06-01-2020,26.0,26.9,25.8,26.1
07-01-2020,26.2,27.0,26.1,26.25
08-01-2020,26.3,26.4,25.6,25.9
09-01-2020,26.4,26.55,26.0,26.1
10-01-2020,27.0,27.0,26.0,26.1
13-01-2020,27.25,27.9,26.8,27.45
14-01-2020,27.5,27.5,26.6,27.05
15-01-2020,26.8,27.4,26.55,27.0
16-01-2020,27.4,27.45,26.6,26.8
17-01-2020,27.0,27.25,26.5,26.75
20-01-2020,26.75,27.1,26.3,26.45
21-01-2020,26.05,26.9,26.05,26.8
22-01-2020,26.5,27.2,26.5,26.65
23-01-2020,26.95,27.6,26.65,27.35
24-01-2020,28.5,28.5,27.25,27.4
27-01-2020,27.7,27.7,26.25,26.55
28-01-2020,27.0,28.0,26.25,27.4
29-01-2020,27.5,28.85,26.8,28.6
30-01-2020,29.9,29.9,27.3,28.7
31-01-2020,29.95,29.95,26.55,26.9
01-02-2020,27.05,27.9,26.1,26.5
03-02-2020,26.6,26.6,25.8,26.1
04-02-2020,27.6,29.9,27.1,27.85
05-02-2020,27.9,29.0,27.5,27.9
06-02-2020,28.0,28.9,28.0,28.75
07-02-2020,27.75,29.5,27.75,28.2
10-02-2020,29.0,29.0,28.0,28.6
11-02-2020,30.05,30.5,29.0,29.4
12-02-2020,29.7,29.75,27.65,28.1
13-02-2020,27.6,29.1,27.55,29.05
14-02-2020,28.1,30.3,28.1,29.1
17-02-2020,29.1,29.8,28.4,28.6
18-02-2020,28.3,29.0,27.9,28.2
19-02-2020,28.2,28.5,28.1,28.3
20-02-2020,28.1,28.85,28.05,28.55
24-02-2020,28.5,28.55,27.0,27.2
25-02-2020,27.4,27.8,26.8,27.05
26-02-2020,26.6,27.7,26.55,26.9
27-02-2020,26.5,27.4,26.05,26.6
28-02-2020,26.3,26.3,25.0,25.5
02-03-2020,27.05,27.05,25.55,25.7
03-03-2020,26.05,26.3,25.7,25.8
