date,open,high,low,close
22-07-2019,119.05,119.05,115.15,117.65
23-07-2019,118.65,119.15,117.55,118.55
24-07-2019,117.05,117.05,114.3,116.85
25-07-2019,116.05,116.05,114.0,115.75
26-07-2019,114.15,114.5,112.4,114.35
29-07-2019,115.9,116.8,112.15,115.65
30-07-2019,113.05,118.0,111.2,116.95
31-07-2019,114.0,115.85,112.4,114.0
01-08-2019,114.0,115.6,111.75,114.05
02-08-2019,114.35,115.6,112.6,114.0
05-08-2019,110.25,115.9,110.2,114.8
06-08-2019,115.95,116.8,114.25,115.6
07-08-2019,115.15,116.95,113.05,114.45
08-08-2019,114.35,117.9,114.3,116.75
09-08-2019,114.0,128.0,112.65,117.75
13-08-2019,123.0,123.0,115.05,116.85
14-08-2019,114.45,119.0,114.4,117.8
16-08-2019,120.0,129.55,119.75,128.7
19-08-2019,133.6,139.85,131.45,136.05
20-08-2019,140.0,140.0,132.05,133.95
21-08-2019,132.0,135.0,126.0,128.8
22-08-2019,127.05,132.0,122.0,127.05
23-08-2019,123.05,130.0,122.1,124.9
26-08-2019,133.0,133.0,117.95,122.55
27-08-2019,120.1,124.8,117.25,121.7
28-08-2019,123.95,128.0,121.6,127.15
29-08-2019,126.0,126.05,120.85,124.8
30-08-2019,122.15,127.0,121.0,124.85
03-09-2019,125.05,126.75,120.2,124.4
04-09-2019,126.95,135.0,125.0,130.1
05-09-2019,132.0,133.25,125.35,127.45
06-09-2019,129.85,132.05,128.1,130.1
09-09-2019,131.0,134.0,123.05,125.15
11-09-2019,126.9,130.0,122.05,124.55
12-09-2019,126.0,128.75,118.1,125.1
13-09-2019,128.0,128.0,122.4,123.95
16-09-2019,124.9,127.4,123.0,125.6
17-09-2019,124.7,126.2,123.95,125.65
18-09-2019,125.15,126.0,122.65,124.1
19-09-2019,124.7,129.0,123.95,125.7
20-09-2019,128.3,128.3,113.0,114.95
23-09-2019,119.9,119.95,112.1,114.8
24-09-2019,115.8,116.05,109.0,114.15
25-09-2019,116.05,116.05,108.1,111.05
26-09-2019,119.0,119.0,112.45,114.85
27-09-2019,113.3,119.0,112.0,117.5
30-09-2019,116.05,118.9,112.0,114.2
01-10-2019,117.25,117.25,113.25,115.9
03-10-2019,113.0,116.0,113.0,114.7
04-10-2019,111.45,116.65,111.4,115.2
07-10-2019,114.5,114.5,112.0,112.05
09-10-2019,118.35,130.3,116.4,118.15
10-10-2019,124.3,124.95,117.45,119.95
11-10-2019,123.4,123.4,114.0,115.15
14-10-2019,119.9,119.9,113.4,113.75
15-10-2019,113.0,119.3,113.0,116.65
16-10-2019,122.0,122.0,113.05,113.25
17-10-2019,113.55,116.1,113.05,114.95
18-10-2019,114.7,116.0,111.2,114.2
22-10-2019,114.05,119.0,113.25,117.1
23-10-2019,110.1,118.0,108.0,116.8
24-10-2019,110.4,120.15,110.4,115.25
25-10-2019,117.0,119.25,117.0,118.25
27-10-2019,118.65,119.95,118.25,118.4
29-10-2019,120.95,120.95,115.0,117.6
30-10-2019,120.85,124.9,119.05,119.65
31-10-2019,118.0,120.75,115.1,116.45
01-11-2019,118.8,119.0,112.15,114.95
04-11-2019,112.4,116.0,112.4,115.5
05-11-2019,119.8,119.8,113.05,116.05
06-11-2019,118.9,119.0,115.95,117.1
07-11-2019,122.9,122.9,115.1,116.9
08-11-2019,119.9,119.9,113.1,114.95
11-11-2019,124.0,124.9,115.05,116.15
13-11-2019,117.0,117.0,113.25,113.4
14-11-2019,113.45,117.5,111.95,114.2
15-11-2019,119.0,119.55,112.0,112.6
18-11-2019,112.6,112.9,108.55,109.1
19-11-2019,110.05,110.05,105.65,107.85
20-11-2019,106.65,107.9,105.0,106.1
21-11-2019,109.85,109.9,104.95,105.2
22-11-2019,107.0,111.95,105.9,108.45
25-11-2019,105.1,113.4,105.1,108.8
26-11-2019,112.0,112.0,106.3,106.35
27-11-2019,106.25,107.85,100.25,102.0
28-11-2019,101.4,106.95,98.45,100.95
29-11-2019,103.9,104.9,100.4,101.0
02-12-2019,105.0,105.0,99.9,102.05
03-12-2019,103.4,103.4,99.15,99.65
04-12-2019,103.5,103.5,93.95,97.7
05-12-2019,98.0,99.8,95.25,98.4
06-12-2019,102.85,103.85,97.2,98.1
09-12-2019,99.9,99.9,88.6,92.75
10-12-2019,92.5,93.85,91.0,91.0
11-12-2019,93.35,93.4,88.0,89.6
12-12-2019,90.0,90.2,83.35,84.4
13-12-2019,81.3,85.8,68.15,82.7
16-12-2019,83.1,84.05,75.35,76.5
17-12-2019,84.0,84.0,78.8,79.8
18-12-2019,78.0,80.9,78.0,79.65
19-12-2019,79.3,84.0,79.05,83.05
20-12-2019,81.15,84.5,75.0,77.9
23-12-2019,77.05,79.65,75.4,78.45
24-12-2019,78.05,81.5,74.55,76.65
26-12-2019,78.3,82.0,77.15,78.7
27-12-2019,79.95,80.5,77.95,79.75
30-12-2019,79.0,81.9,79.0,81.35
31-12-2019,81.85,84.6,79.5,81.25
01-01-2020,81.55,90.0,81.5,87.9
02-01-2020,91.45,105.45,88.0,105.45
03-01-2020,111.0,123.9,108.1,117.2
06-01-2020,117.2,121.7,112.2,115.2
07-01-2020,115.2,121.0,108.7,110.8
08-01-2020,104.0,109.9,99.75,99.8
09-01-2020,97.1,109.75,97.1,105.75
10-01-2020,104.0,107.0,103.0,105.3
13-01-2020,101.6,108.3,101.6,104.85
14-01-2020,106.95,107.0,103.75,104.55
15-01-2020,104.85,104.85,101.3,103.0
16-01-2020,104.9,105.4,101.95,104.2
17-01-2020,102.55,104.9,101.0,102.5
20-01-2020,102.0,107.5,92.25,92.25
21-01-2020,91.0,101.45,85.0,93.1
22-01-2020,97.0,97.0,88.35,91.65
23-01-2020,92.45,94.9,92.0,92.8
24-01-2020,94.8,96.5,92.5,95.35
27-01-2020,99.8,99.8,85.85,86.45
28-01-2020,88.9,89.8,81.0,82.35
29-01-2020,83.75,87.75,83.75,85.45
30-01-2020,85.1,86.8,80.5,85.6
31-01-2020,87.95,88.5,85.0,87.1
01-02-2020,86.65,89.95,84.05,84.7
03-02-2020,80.15,86.95,80.15,82.75
04-02-2020,82.75,84.9,74.5,76.75
05-02-2020,79.95,79.95,75.2,77.75
06-02-2020,77.75,82.7,76.6,80.85
07-02-2020,81.75,82.05,79.0,79.45
10-02-2020,80.05,83.0,78.6,80.5
11-02-2020,80.55,83.95,80.5,82.6
12-02-2020,82.75,84.0,79.0,81.05
13-02-2020,84.9,84.9,77.0,80.5
14-02-2020,80.0,83.0,76.5,81.7
17-02-2020,88.8,88.8,82.0,82.8
18-02-2020,84.95,84.95,74.0,76.4
19-02-2020,78.1,84.9,77.5,81.3
20-02-2020,83.9,83.9,79.0,80.3
24-02-2020,82.35,82.4,76.55,79.4
25-02-2020,79.4,81.0,78.05,78.85
26-02-2020,77.05,79.05,76.0,77.1
27-02-2020,78.0,78.0,73.05,75.4
28-02-2020,74.8,74.8,68.0,71.55
02-03-2020,74.95,74.95,70.0,70.8
03-03-2020,70.85,75.75,70.2,74.35
04-03-2020,72.0,75.0,70.1,71.6
05-03-2020,71.95,73.95,62.0,66.65
06-03-2020,66.0,69.9,61.0,62.45
09-03-2020,60.95,64.8,56.95,62.7
11-03-2020,65.6,67.0,62.0,64.05
12-03-2020,57.25,63.9,57.25,61.15
13-03-2020,57.0,67.95,51.2,56.7
16-03-2020,60.5,60.5,53.8,54.7
17-03-2020,56.95,57.0,54.0,54.65
18-03-2020,53.3,56.9,52.2,54.8
19-03-2020,51.0,58.0,50.4,54.9
20-03-2020,58.85,59.95,52.15,59.2
23-03-2020,57.0,57.0,49.0,52.45
24-03-2020,51.85,55.35,46.0,49.8
25-03-2020,49.95,55.35,45.1,52.9
26-03-2020,49.95,52.9,48.15,49.3
27-03-2020,49.4,52.4,48.0,49.2
30-03-2020,49.5,53.0,47.2,48.85
31-03-2020,52.75,53.0,43.95,44.45
01-04-2020,45.75,46.7,45.0,45.6
03-04-2020,48.65,50.0,45.2,48.65
07-04-2020,50.0,53.95,47.65,49.95
08-04-2020,49.8,52.85,49.05,52.25
09-04-2020,52.25,62.7,52.25,61.8
13-04-2020,65.8,69.4,62.8,66.25
15-04-2020,68.9,71.65,66.25,66.9
16-04-2020,71.35,71.35,66.0,68.65
17-04-2020,73.4,73.4,62.6,65.5
20-04-2020,70.85,70.85,60.1,63.9
21-04-2020,64.5,66.65,59.2,59.6
22-04-2020,60.7,60.8,57.65,60.05
23-04-2020,64.75,64.75,57.55,59.35
24-04-2020,59.35,59.85,56.95,58.6
27-04-2020,59.95,60.9,57.25,59.25
28-04-2020,60.25,62.9,57.95,61.55
29-04-2020,58.2,62.55,58.2,60.3
30-04-2020,60.55,63.5,55.1,61.1
04-05-2020,61.0,63.65,57.1,59.55
