date,open,high,low,close
22-07-2019,21.5,21.5,20.55,20.9
23-07-2019,19.8,21.7,19.8,21.3
24-07-2019,20.6,23.4,20.5,20.8
25-07-2019,21.25,21.85,18.3,20.6
26-07-2019,22.45,22.45,17.95,21.55
29-07-2019,21.55,21.55,21.0,21.25
30-07-2019,20.65,21.5,20.65,21.35
31-07-2019,21.25,21.45,21.0,21.05
01-08-2019,21.5,21.5,20.8,21.25
02-08-2019,20.2,21.1,18.7,20.75
05-08-2019,18.25,20.75,18.25,20.2
06-08-2019,20.0,20.25,19.5,19.9
07-08-2019,22.1,22.1,18.0,19.8
08-08-2019,20.9,20.9,19.8,20.0
09-08-2019,20.0,20.25,19.0,19.7
13-08-2019,19.75,20.25,19.0,20.25
14-08-2019,20.2,20.2,18.05,19.75
16-08-2019,20.2,20.2,18.5,19.45
19-08-2019,19.9,20.0,19.7,19.8
20-08-2019,19.5,19.5,18.25,18.35
21-08-2019,20.4,22.0,17.9,18.05
22-08-2019,17.55,19.25,17.5,17.7
23-08-2019,17.1,18.9,16.05,17.55
26-08-2019,17.9,18.8,16.25,16.4
27-08-2019,15.85,19.4,15.2,16.75
28-08-2019,16.2,17.7,16.0,17.3
29-08-2019,16.7,17.65,16.2,16.45
30-08-2019,16.05,16.95,15.5,15.6
03-09-2019,15.6,16.45,13.7,13.75
04-09-2019,13.7,15.1,11.5,12.9
05-09-2019,14.3,14.3,10.35,11.25
06-09-2019,12.3,12.3,11.0,11.1
09-09-2019,12.1,12.1,10.5,11.05
11-09-2019,11.2,11.85,10.75,11.25
12-09-2019,10.8,11.35,10.8,11.15
13-09-2019,11.0,12.25,11.0,12.25
16-09-2019,13.45,13.45,12.3,13.35
17-09-2019,14.65,14.65,13.6,14.15
18-09-2019,14.8,14.8,14.0,14.25
19-09-2019,14.35,14.65,14.0,14.15
20-09-2019,14.15,14.6,14.0,14.0
23-09-2019,14.4,14.5,14.25,14.5
24-09-2019,15.1,15.1,14.4,14.5
25-09-2019,14.5,14.5,14.25,14.45
26-09-2019,14.45,14.45,14.25,14.35
27-09-2019,14.25,14.5,14.25,14.25
30-09-2019,14.25,14.25,13.75,13.85
01-10-2019,13.75,14.0,13.25,13.45
03-10-2019,13.4,13.4,13.0,13.0
04-10-2019,13.25,13.3,13.0,13.25
07-10-2019,13.05,13.05,12.8,13.0
09-10-2019,13.0,13.0,12.75,13.0
10-10-2019,13.0,13.0,12.5,12.5
11-10-2019,12.5,12.75,12.25,12.35
14-10-2019,12.45,12.75,12.4,12.55
15-10-2019,12.5,12.75,12.5,12.75
16-10-2019,12.75,12.75,12.5,12.75
17-10-2019,12.75,13.25,12.5,13.0
18-10-2019,13.25,13.5,13.0,13.0
22-10-2019,13.0,13.25,12.75,13.25
23-10-2019,13.8,13.8,12.75,12.75
24-10-2019,12.95,13.1,12.75,13.0
25-10-2019,13.6,13.6,12.75,13.0
27-10-2019,13.6,13.6,13.0,13.0
29-10-2019,13.0,13.0,12.75,12.75
30-10-2019,12.75,13.0,12.75,12.95
31-10-2019,12.95,12.95,12.75,12.8
01-11-2019,13.0,13.25,12.5,12.95
04-11-2019,13.0,13.0,12.6,12.75
05-11-2019,13.0,13.0,12.55,12.55
06-11-2019,13.1,13.1,11.95,12.0
07-11-2019,12.0,12.25,11.4,11.55
08-11-2019,11.8,12.1,11.0,11.25
11-11-2019,11.65,11.65,10.8,11.1
13-11-2019,10.65,11.65,10.6,10.7
14-11-2019,10.2,11.1,10.2,10.9
15-11-2019,11.4,11.4,10.75,11.0
18-11-2019,11.5,11.5,10.8,11.0
19-11-2019,11.0,11.35,10.5,11.0
20-11-2019,11.25,11.25,11.0,11.25
21-11-2019,11.8,11.8,10.75,10.95
22-11-2019,11.3,11.45,10.75,11.05
25-11-2019,11.05,11.25,11.0,11.15
26-11-2019,10.7,11.4,10.65,11.05
27-11-2019,10.8,11.2,10.8,10.95
28-11-2019,11.2,11.25,10.5,10.9
29-11-2019,11.0,11.0,10.8,10.95
02-12-2019,10.9,11.0,10.75,10.75
03-12-2019,10.75,11.25,10.35,10.7
04-12-2019,11.1,11.1,10.3,10.5
05-12-2019,10.75,10.8,10.15,10.65
06-12-2019,10.5,11.15,9.6,9.7
09-12-2019,8.8,10.65,8.8,10.35
10-12-2019,11.3,11.35,10.05,11.35
11-12-2019,11.9,12.45,11.1,12.4
12-12-2019,13.45,13.6,11.3,13.5
13-12-2019,13.5,14.15,13.0,13.95
16-12-2019,14.6,14.6,13.4,14.05
17-12-2019,14.5,14.7,13.45,14.2
18-12-2019,14.9,14.9,13.55,14.7
19-12-2019,14.05,15.2,14.05,15.0
20-12-2019,14.8,15.55,14.25,14.9
23-12-2019,14.5,15.5,14.25,14.75
24-12-2019,14.5,14.9,14.5,14.6
26-12-2019,14.25,14.95,13.9,14.3
27-12-2019,14.75,14.75,13.6,13.6
30-12-2019,14.0,14.0,12.95,12.95
31-12-2019,12.4,13.15,12.35,12.35
01-01-2020,12.2,12.9,12.0,12.75
02-01-2020,12.75,13.35,12.3,13.25
03-01-2020,13.4,13.6,13.0,13.45
06-01-2020,13.5,14.0,12.95,13.05
07-01-2020,13.55,13.65,12.8,13.25
08-01-2020,13.05,13.7,13.0,13.45
09-01-2020,13.55,13.7,13.15,13.5
10-01-2020,13.65,14.0,13.1,13.7
13-01-2020,13.65,13.95,13.05,13.55
14-01-2020,13.85,13.85,13.15,13.65
15-01-2020,13.6,13.6,13.0,13.45
16-01-2020,13.55,13.55,12.8,12.85
17-01-2020,12.8,12.8,12.25,12.25
20-01-2020,11.65,12.75,11.65,11.7
21-01-2020,11.7,12.2,11.35,12.1
22-01-2020,12.15,12.7,11.5,12.7
23-01-2020,13.3,13.3,12.5,13.25
24-01-2020,12.95,13.9,12.95,13.85
27-01-2020,13.45,14.5,13.2,13.6
28-01-2020,14.05,14.25,13.55,13.9
29-01-2020,14.45,14.45,13.25,14.1
30-01-2020,13.4,14.0,13.4,13.4
31-01-2020,13.7,13.9,12.75,13.5
01-02-2020,13.5,13.85,13.5,13.5
03-02-2020,13.55,13.7,13.35,13.7
04-02-2020,13.8,14.0,13.05,13.1
05-02-2020,13.0,13.4,12.45,13.05
06-02-2020,12.65,14.0,12.55,13.25
07-02-2020,13.65,14.0,13.05,13.75
10-02-2020,13.5,13.85,12.4,12.95
11-02-2020,12.95,13.95,12.8,13.5
12-02-2020,13.0,13.0,12.15,12.6
13-02-2020,11.5,13.15,11.5,12.8
14-02-2020,13.0,13.0,12.35,12.55
17-02-2020,13.35,13.6,11.75,12.45
18-02-2020,12.35,13.0,11.65,12.25
19-02-2020,12.7,12.8,11.2,12.3
20-02-2020,13.25,13.25,11.85,12.15
24-02-2020,12.6,12.6,11.3,11.45
25-02-2020,11.5,12.1,10.95,11.85
26-02-2020,11.9,12.7,11.8,12.5
27-02-2020,12.0,12.5,11.75,12.0
28-02-2020,11.65,12.95,11.5,11.6
02-03-2020,11.6,11.95,11.6,11.8
03-03-2020,12.15,12.5,11.85,12.0
04-03-2020,12.0,12.0,11.35,11.8
05-03-2020,11.4,11.95,11.25,11.45
06-03-2020,11.25,11.3,10.7,11.1
09-03-2020,10.75,10.95,10.0,10.9
11-03-2020,10.8,11.45,10.6,11.4
12-03-2020,10.5,11.6,10.5,11.2
13-03-2020,10.1,12.1,10.1,11.15
16-03-2020,11.95,11.95,10.1,10.5
17-03-2020,10.8,11.0,10.1,10.25
18-03-2020,10.25,10.5,9.55,10.15
19-03-2020,10.6,10.6,9.2,9.85
20-03-2020,9.2,10.8,9.2,10.7
23-03-2020,11.25,11.25,9.65,9.65
24-03-2020,9.65,10.6,9.5,10.05
25-03-2020,10.7,10.7,9.05,9.95
26-03-2020,9.9,10.6,9.6,9.8
27-03-2020,10.7,10.7,9.0,9.55
30-03-2020,9.0,10.1,8.95,9.8
31-03-2020,9.9,10.35,9.45,9.45
01-04-2020,10.1,10.1,9.5,9.5
03-04-2020,9.5,10.25,9.4,9.95
07-04-2020,9.95,9.95,9.6,9.85
08-04-2020,9.8,10.3,9.75,9.8
09-04-2020,9.8,10.65,9.75,10.1
13-04-2020,9.7,11.15,9.5,10.0
15-04-2020,12.0,12.0,10.05,10.65
16-04-2020,11.75,12.75,10.1,11.8
17-04-2020,12.75,12.75,11.5,11.8
20-04-2020,12.7,12.7,11.0,11.9
21-04-2020,11.8,11.95,11.15,11.2
22-04-2020,11.2,11.2,10.2,10.55
23-04-2020,11.15,11.2,10.05,10.9
24-04-2020,10.9,10.9,10.0,10.4
27-04-2020,11.0,11.0,10.15,10.45
28-04-2020,10.3,10.9,8.55,10.4
29-04-2020,10.3,12.05,10.15,10.55
30-04-2020,11.0,11.35,10.5,10.85
04-05-2020,10.25,13.0,8.85,10.85
05-05-2020,11.45,11.45,9.7,10.1
06-05-2020,10.05,10.7,9.55,9.95
07-05-2020,10.4,10.4,9.55,9.8
08-05-2020,10.35,10.35,9.15,9.7
11-05-2020,9.6,10.15,9.6,9.75
12-05-2020,9.9,9.95,9.55,9.7
13-05-2020,10.5,10.5,9.65,9.85
14-05-2020,9.9,9.9,9.3,9.4
15-05-2020,9.35,9.65,9.0,9.3
18-05-2020,9.7,9.7,8.2,9.25
19-05-2020,9.25,9.5,9.25,9.45
20-05-2020,9.5,9.65,9.2,9.45
21-05-2020,9.25,9.4,8.7,9.25
22-05-2020,9.1,9.35,8.7,8.9
26-05-2020,9.0,9.05,8.7,8.85
27-05-2020,8.9,9.0,8.7,8.95
28-05-2020,8.35,9.3,8.35,9.05
29-05-2020,9.25,9.8,8.8,9.5
01-06-2020,9.9,9.9,9.3,9.65
02-06-2020,9.85,9.85,9.4,9.55
03-06-2020,9.6,9.95,8.2,9.15
04-06-2020,9.35,9.75,9.15,9.4
05-06-2020,10.3,11.25,9.55,11.25
08-06-2020,13.5,13.5,13.5,13.5
09-06-2020,16.2,16.2,16.2,16.2
10-06-2020,17.8,17.8,14.6,17.8
11-06-2020,19.55,19.55,18.2,19.55
12-06-2020,19.5,19.55,17.6,17.7
15-06-2020,16.5,17.8,15.95,16.7
16-06-2020,16.55,17.8,15.05,15.35
17-06-2020,14.55,15.25,13.85,13.9
18-06-2020,13.25,14.05,13.25,13.25
19-06-2020,12.65,13.9,12.6,13.9
22-06-2020,14.55,14.55,13.25,13.6
23-06-2020,14.1,14.2,13.35,13.95
24-06-2020,13.95,13.95,13.4,13.7
25-06-2020,13.35,13.6,13.05,13.15
