date,open,high,low,close
23-07-2019,60.0,62.0,60.0,62.0
31-07-2019,59.5,59.5,58.9,58.9
19-08-2019,60.05,60.1,56.0,56.0
20-08-2019,58.75,58.75,58.75,58.75
21-08-2019,58.0,60.95,58.0,60.95
22-08-2019,59.0,63.3,58.0,63.3
23-08-2019,60.15,60.15,60.15,60.15
26-08-2019,58.0,58.0,58.0,58.0
27-08-2019,58.0,58.0,58.0,58.0
28-08-2019,57.0,57.0,57.0,57.0
05-09-2019,58.0,59.5,58.0,59.5
06-09-2019,62.4,62.4,62.4,62.4
09-09-2019,63.5,63.5,63.5,63.5
12-09-2019,62.3,62.3,62.3,62.3
17-09-2019,60.0,60.0,59.2,59.2
30-09-2019,59.05,59.1,59.05,59.1
07-10-2019,58.0,58.0,58.0,58.0
11-10-2019,60.5,60.5,60.5,60.5
14-10-2019,63.5,63.5,59.1,59.15
15-10-2019,59.0,59.0,59.0,59.0
17-10-2019,58.0,61.9,58.0,58.0
22-10-2019,60.0,60.5,58.1,58.6
23-10-2019,59.5,60.05,57.0,57.0
24-10-2019,58.0,58.2,58.0,58.15
25-10-2019,58.25,61.05,58.25,61.05
27-10-2019,61.5,64.1,61.5,61.6
29-10-2019,64.0,64.0,60.0,63.9
30-10-2019,66.5,66.5,62.05,62.1
31-10-2019,62.25,64.9,62.25,64.85
01-11-2019,65.0,65.2,63.0,63.0
04-11-2019,63.0,64.2,62.15,62.15
05-11-2019,65.2,65.2,61.1,61.1
06-11-2019,64.0,64.15,61.0,62.45
07-11-2019,62.5,64.0,61.0,62.5
08-11-2019,62.55,63.25,62.0,63.2
11-11-2019,63.2,64.0,61.5,64.0
13-11-2019,64.05,64.2,62.05,62.05
14-11-2019,63.0,65.1,60.0,60.15
15-11-2019,61.1,62.5,59.0,62.45
18-11-2019,63.5,64.95,60.1,62.05
19-11-2019,62.25,63.0,62.25,62.45
20-11-2019,62.5,64.5,61.0,64.5
21-11-2019,64.55,65.0,61.5,61.5
22-11-2019,61.55,61.75,61.55,61.7
25-11-2019,62.5,64.0,59.0,63.6
26-11-2019,64.0,64.15,64.0,64.0
27-11-2019,63.5,63.65,61.25,63.65
28-11-2019,64.0,65.0,63.65,64.0
29-11-2019,63.0,63.1,62.0,62.4
03-12-2019,62.0,62.0,62.0,62.0
04-12-2019,62.0,62.5,62.0,62.5
05-12-2019,62.0,62.0,62.0,62.0
06-12-2019,68.2,68.2,57.2,64.95
09-12-2019,64.95,67.0,62.0,62.0
10-12-2019,62.5,62.5,62.5,62.5
11-12-2019,65.0,65.0,62.0,62.0
12-12-2019,63.15,65.0,62.0,62.6
13-12-2019,62.05,68.7,62.0,63.5
16-12-2019,62.0,62.0,62.0,62.0
17-12-2019,62.0,65.9,62.0,65.15
18-12-2019,64.9,64.9,62.1,62.1
19-12-2019,63.9,63.9,63.9,63.9
20-12-2019,65.0,65.0,64.0,64.0
23-12-2019,62.1,70.25,62.0,65.5
24-12-2019,62.2,65.4,62.2,65.4
26-12-2019,62.25,65.0,62.25,64.9
27-12-2019,62.1,65.0,62.0,62.0
30-12-2019,65.9,65.9,61.05,61.05
31-12-2019,58.05,65.4,58.05,65.0
01-01-2020,64.0,71.5,62.0,66.2
02-01-2020,62.1,72.8,62.0,70.75
03-01-2020,70.75,73.5,69.5,70.2
06-01-2020,65.3,70.05,65.3,70.05
07-01-2020,73.0,73.35,72.0,73.0
08-01-2020,73.0,79.7,66.55,71.95
09-01-2020,77.35,77.35,74.8,76.7
10-01-2020,78.7,84.1,75.55,79.5
13-01-2020,85.25,86.9,78.55,84.35
14-01-2020,84.0,91.0,80.65,90.05
15-01-2020,95.9,99.05,90.1,94.95
16-01-2020,94.0,94.95,90.25,91.75
17-01-2020,94.95,94.95,88.0,88.0
20-01-2020,84.0,84.25,84.0,84.1
21-01-2020,82.0,86.95,82.0,84.8
22-01-2020,84.0,84.0,83.0,83.0
23-01-2020,83.0,83.0,82.0,82.0
24-01-2020,78.5,86.0,78.5,81.5
27-01-2020,85.5,85.55,80.0,82.15
28-01-2020,82.0,86.0,82.0,85.9
29-01-2020,85.9,89.5,83.0,85.6
30-01-2020,81.5,87.5,81.5,86.35
31-01-2020,82.15,90.0,82.15,88.3
01-02-2020,86.0,91.0,86.0,88.9
03-02-2020,91.0,91.5,91.0,91.5
04-02-2020,94.9,96.0,89.0,94.5
05-02-2020,98.0,98.5,94.0,98.2
06-02-2020,94.5,99.5,93.5,98.0
07-02-2020,93.75,99.4,93.75,99.4
10-02-2020,99.4,99.4,95.0,95.5
11-02-2020,96.0,96.0,91.0,94.9
12-02-2020,98.0,98.0,96.5,96.5
18-02-2020,96.0,96.0,96.0,96.0
02-03-2020,96.0,100.0,96.0,96.0
03-03-2020,96.0,100.0,95.9,95.9
17-03-2020,91.15,91.15,91.15,91.15
26-03-2020,90.95,90.95,90.95,90.95
08-04-2020,90.0,90.0,90.0,90.0
09-04-2020,90.0,90.0,85.5,85.5
13-04-2020,85.5,85.5,81.25,81.25
15-04-2020,81.2,81.25,81.2,81.25
22-04-2020,80.5,80.5,80.5,80.5
23-04-2020,80.5,80.5,80.5,80.5
27-04-2020,84.0,84.0,84.0,84.0
29-04-2020,79.8,85.0,79.8,85.0
30-04-2020,80.75,85.0,80.75,85.0
11-05-2020,85.0,89.0,85.0,89.0
12-05-2020,89.0,89.0,84.55,84.55
13-05-2020,84.55,88.75,84.55,85.15
14-05-2020,85.0,85.0,80.9,80.9
15-05-2020,81.0,81.0,81.0,81.0
18-05-2020,81.0,81.0,81.0,81.0
19-05-2020,81.0,85.0,81.0,84.65
21-05-2020,83.0,83.0,83.0,83.0
26-05-2020,87.0,87.0,85.0,85.0
27-05-2020,85.0,87.0,82.5,85.75
28-05-2020,85.0,89.5,84.0,86.8
29-05-2020,86.0,87.5,84.5,84.5
01-06-2020,86.25,86.25,85.0,85.0
02-06-2020,84.0,89.25,82.0,86.7
03-06-2020,91.0,91.0,87.0,87.0
04-06-2020,87.0,87.0,87.0,87.0
05-06-2020,87.0,87.0,87.0,87.0
08-06-2020,91.0,91.0,89.5,91.0
09-06-2020,87.0,87.0,86.45,86.45
10-06-2020,86.0,90.75,85.0,88.0
11-06-2020,85.0,91.0,85.0,89.4
12-06-2020,91.0,92.0,91.0,92.0
15-06-2020,92.0,93.0,87.4,89.6
16-06-2020,93.0,93.0,93.0,93.0
17-06-2020,90.0,96.0,88.35,90.0
18-06-2020,94.0,94.0,93.0,93.0
19-06-2020,97.65,97.65,89.0,91.05
22-06-2020,92.0,95.0,86.5,92.4
23-06-2020,92.4,92.4,87.8,88.0
24-06-2020,90.0,92.4,90.0,91.5
26-06-2020,91.0,91.0,91.0,91.0
29-06-2020,90.0,90.0,90.0,90.0
30-06-2020,88.0,88.0,85.5,87.0
01-07-2020,87.0,91.0,85.0,89.65
02-07-2020,88.0,94.1,88.0,94.1
03-07-2020,94.1,98.75,93.1,98.25
06-07-2020,103.15,103.15,97.0,100.95
07-07-2020,102.0,104.25,100.95,104.25
08-07-2020,108.9,109.0,99.5,108.4
09-07-2020,108.0,113.8,108.0,113.8
10-07-2020,119.0,119.45,114.0,118.15
13-07-2020,121.75,121.95,118.0,119.4
14-07-2020,120.0,121.0,120.0,121.0
15-07-2020,120.0,127.05,120.0,126.5
16-07-2020,130.75,132.25,126.75,131.8
17-07-2020,128.0,138.35,128.0,136.0
20-07-2020,142.0,142.75,137.5,142.75
21-07-2020,142.0,148.75,140.0,147.15
22-07-2020,153.0,153.0,145.0,149.1
23-07-2020,149.1,154.0,146.25,151.1
24-07-2020,152.0,154.0,150.0,153.6
27-07-2020,153.5,157.0,149.0,154.3
28-07-2020,156.95,156.95,155.0,156.7
29-07-2020,160.0,161.0,153.0,157.65
30-07-2020,159.45,162.0,159.15,160.25
31-07-2020,162.5,163.25,158.0,162.75
03-08-2020,165.0,165.0,158.0,161.15
04-08-2020,163.0,166.0,158.0,166.0
05-08-2020,167.5,174.25,165.0,172.8
06-08-2020,180.0,180.0,170.0,177.45
07-08-2020,177.95,178.95,170.0,175.1
10-08-2020,180.0,180.0,173.0,178.35
11-08-2020,181.0,182.0,175.0,181.25
12-08-2020,177.4,181.0,176.0,181.0
13-08-2020,181.0,185.0,176.25,181.35
14-08-2020,181.35,188.0,177.25,184.55
17-08-2020,190.0,193.0,184.0,192.15
18-08-2020,198.0,198.0,182.55,195.0
19-08-2020,195.0,199.9,188.0,198.65
20-08-2020,194.0,205.9,191.5,203.6
21-08-2020,205.8,211.0,205.8,209.1
24-08-2020,215.0,215.0,205.0,207.75
25-08-2020,213.0,213.0,206.0,210.3
26-08-2020,215.0,215.0,204.0,204.0
27-08-2020,206.0,211.9,205.0,211.45
28-08-2020,220.0,220.0,213.0,215.95
31-08-2020,220.0,224.0,214.0,215.0
01-09-2020,224.0,224.0,214.0,220.25
02-09-2020,226.0,227.5,218.0,227.0
03-09-2020,233.0,233.0,222.0,228.15
04-09-2020,225.0,236.5,223.0,234.15
07-09-2020,241.0,242.5,234.25,237.0
08-09-2020,245.0,245.0,235.0,242.9
09-09-2020,241.0,248.9,237.0,243.85
10-09-2020,250.0,250.0,238.0,242.4
11-09-2020,240.0,247.0,237.0,244.95
14-09-2020,252.0,252.0,238.0,240.5
15-09-2020,240.5,247.0,232.0,244.05
16-09-2020,246.0,249.5,231.85,245.5
17-09-2020,238.0,249.0,238.0,247.05
18-09-2020,247.05,250.0,240.0,247.25
21-09-2020,247.25,247.25,234.9,240.55
22-09-2020,238.0,245.0,230.0,240.0
23-09-2020,243.9,243.9,238.0,242.45
24-09-2020,250.0,250.0,231.0,235.15
25-09-2020,243.0,243.0,224.0,240.1
28-09-2020,240.0,243.0,235.0,238.4
29-09-2020,238.0,243.0,236.0,242.5
30-09-2020,242.5,245.0,230.4,233.2
01-10-2020,242.5,242.5,232.0,235.0
05-10-2020,235.0,242.0,230.0,239.6
06-10-2020,237.0,245.0,237.0,241.35
07-10-2020,244.0,248.0,240.0,246.4
08-10-2020,249.5,255.0,240.0,250.0
09-10-2020,255.0,255.0,245.0,248.35
12-10-2020,255.0,255.0,245.0,250.05
13-10-2020,255.0,255.0,249.0,252.95
14-10-2020,252.95,255.0,249.0,250.6
15-10-2020,250.0,255.0,248.0,252.0
16-10-2020,260.0,264.0,241.0,249.5
19-10-2020,260.0,260.0,248.0,248.05
20-10-2020,251.0,255.0,247.0,249.25
