date,open,high,low,close
22-07-2019,10.25,10.25,8.95,9.25
23-07-2019,9.35,9.45,9.05,9.15
24-07-2019,9.6,9.6,9.05,9.1
25-07-2019,9.4,9.45,9.0,9.1
26-07-2019,9.0,9.6,8.95,9.45
29-07-2019,9.2,9.7,9.05,9.35
30-07-2019,9.35,9.45,8.65,8.9
31-07-2019,8.85,9.45,8.5,9.35
01-08-2019,9.25,9.4,9.0,9.15
02-08-2019,9.0,9.3,8.9,9.1
05-08-2019,8.95,9.1,8.7,8.95
06-08-2019,8.95,9.2,8.95,9.05
07-08-2019,9.2,9.35,8.7,8.85
08-08-2019,9.05,9.05,8.7,8.8
09-08-2019,8.6,9.0,8.5,8.85
13-08-2019,8.85,8.85,8.25,8.3
14-08-2019,8.55,8.55,8.0,8.2
16-08-2019,8.0,8.15,7.7,7.8
19-08-2019,7.9,8.15,7.8,7.95
20-08-2019,7.85,8.1,7.2,7.35
21-08-2019,7.35,7.35,6.4,6.6
22-08-2019,6.55,6.55,5.3,5.6
23-08-2019,5.6,6.15,5.3,6.15
26-08-2019,6.7,6.75,6.4,6.75
27-08-2019,7.0,7.4,7.0,7.4
28-08-2019,7.75,7.75,7.75,7.75
29-08-2019,7.9,8.1,7.8,8.1
30-08-2019,8.35,8.5,8.15,8.5
03-09-2019,8.7,8.9,8.65,8.9
04-09-2019,9.2,9.3,8.5,9.1
05-09-2019,9.15,9.15,8.65,8.65
06-09-2019,8.75,8.75,8.25,8.25
09-09-2019,7.9,8.05,7.85,7.85
11-09-2019,7.65,8.2,7.5,8.2
12-09-2019,8.6,8.6,8.55,8.6
13-09-2019,8.85,9.0,8.35,8.9
16-09-2019,8.9,9.0,8.65,8.95
17-09-2019,8.95,9.2,8.8,9.0
18-09-2019,9.15,9.3,8.6,8.95
19-09-2019,8.95,8.95,8.55,8.55
20-09-2019,8.55,8.95,8.15,8.95
23-09-2019,9.35,9.35,8.95,9.1
24-09-2019,9.2,9.2,8.75,9.0
25-09-2019,9.1,9.1,8.65,8.7
26-09-2019,8.55,8.95,8.55,8.6
27-09-2019,8.55,8.8,8.2,8.2
30-09-2019,8.0,8.15,7.8,7.8
01-10-2019,7.6,7.7,7.45,7.45
03-10-2019,7.15,7.8,7.1,7.1
