date,open,high,low,close
22-07-2019,42.85,43.2,41.95,42.95
23-07-2019,42.95,43.15,42.35,42.8
24-07-2019,42.8,43.2,42.2,43.15
25-07-2019,42.55,43.2,42.55,42.7
26-07-2019,43.0,43.7,42.4,43.4
29-07-2019,43.75,44.0,42.8,43.05
30-07-2019,43.05,43.25,42.3,42.85
31-07-2019,42.6,43.2,42.4,42.75
01-08-2019,42.9,43.0,42.15,42.8
02-08-2019,42.9,43.0,42.3,42.85
05-08-2019,42.95,43.2,41.8,42.5
06-08-2019,42.4,43.25,42.3,43.05
07-08-2019,43.15,43.15,42.6,42.6
08-08-2019,42.45,42.65,41.85,42.05
09-08-2019,42.5,44.9,42.0,44.55
13-08-2019,45.0,47.0,44.1,46.05
14-08-2019,46.4,48.2,44.5,47.95
16-08-2019,47.9,50.55,46.6,50.25
19-08-2019,50.3,51.9,49.1,49.45
20-08-2019,49.2,50.35,48.7,50.1
21-08-2019,50.45,52.4,50.0,51.7
22-08-2019,51.95,52.1,46.0,48.5
23-08-2019,48.9,51.5,47.0,50.35
26-08-2019,41.0,42.0,38.95,38.95
27-08-2019,38.8,39.0,37.05,37.05
28-08-2019,35.2,35.9,35.2,35.2
29-08-2019,33.45,34.95,33.45,33.55
30-08-2019,34.95,35.2,33.55,35.2
03-09-2019,36.8,36.95,36.2,36.95
04-09-2019,37.05,38.75,37.05,38.75
05-09-2019,38.9,40.65,38.4,39.6
06-09-2019,40.25,40.25,38.6,39.7
09-09-2019,38.65,40.85,38.65,39.8
11-09-2019,41.0,43.95,40.0,43.6
12-09-2019,43.95,46.0,43.65,45.0
13-09-2019,45.9,46.9,44.5,44.85
16-09-2019,43.6,46.85,43.6,46.25
17-09-2019,46.25,47.3,45.2,47.0
18-09-2019,47.05,48.6,46.45,48.3
19-09-2019,48.1,52.2,47.9,50.65
20-09-2019,52.35,52.4,50.1,51.35
23-09-2019,52.3,52.3,47.4,51.05
24-09-2019,51.0,53.0,49.6,51.25
25-09-2019,50.55,53.1,49.0,51.75
26-09-2019,51.2,52.5,50.5,51.7
27-09-2019,52.0,56.0,51.3,55.0
30-09-2019,55.15,55.9,50.05,50.65
01-10-2019,51.95,51.95,47.1,47.5
03-10-2019,47.0,47.2,45.5,46.6
04-10-2019,47.45,47.45,45.1,45.6
07-10-2019,45.2,46.0,43.0,43.75
09-10-2019,43.95,45.85,43.2,44.4
10-10-2019,44.45,46.3,44.0,45.75
11-10-2019,46.5,47.2,45.0,46.1
14-10-2019,47.15,47.15,45.1,46.2
15-10-2019,46.25,47.8,46.2,47.1
16-10-2019,46.35,47.85,45.25,46.05
17-10-2019,46.1,47.5,45.3,46.9
18-10-2019,47.65,48.35,46.15,47.65
22-10-2019,47.65,52.0,47.05,49.2
23-10-2019,48.55,50.25,47.8,49.0
24-10-2019,51.1,52.7,50.25,50.8
25-10-2019,51.7,52.4,50.0,50.8
27-10-2019,52.3,52.75,51.0,51.85
29-10-2019,52.0,52.8,49.9,50.2
30-10-2019,50.3,51.3,49.6,50.45
31-10-2019,51.45,52.8,50.4,52.15
01-11-2019,52.15,54.75,51.35,53.8
04-11-2019,54.4,54.4,48.55,49.25
05-11-2019,49.95,51.7,49.25,50.2
06-11-2019,50.45,51.0,49.55,49.8
07-11-2019,50.05,50.5,48.6,48.75
08-11-2019,49.0,50.4,48.2,49.95
11-11-2019,50.2,52.75,48.75,51.5
13-11-2019,50.05,59.4,49.1,58.0
14-11-2019,58.0,59.15,54.2,54.8
15-11-2019,55.5,55.55,51.6,52.1
18-11-2019,52.55,53.75,51.2,51.75
19-11-2019,51.75,53.9,51.3,51.95
20-11-2019,51.5,55.0,51.05,52.85
