date,open,high,low,close
22-07-2019,530.0,530.0,500.5,506.95
23-07-2019,501.05,518.95,501.05,508.9
24-07-2019,501.1,506.75,501.1,503.75
25-07-2019,500.5,516.2,490.05,492.0
26-07-2019,491.05,509.7,481.15,486.25
29-07-2019,479.0,479.0,432.0,436.0
30-07-2019,449.1,449.1,392.0,401.9
31-07-2019,385.1,417.2,382.7,392.5
01-08-2019,396.3,396.3,363.95,382.25
02-08-2019,372.0,375.0,351.95,369.25
05-08-2019,353.1,374.7,345.0,363.0
06-08-2019,349.8,394.7,349.05,390.35
07-08-2019,399.95,418.7,390.0,400.4
08-08-2019,400.4,414.0,396.0,399.2
09-08-2019,400.0,413.5,400.0,410.9
13-08-2019,408.95,413.0,391.7,392.85
14-08-2019,393.0,400.0,391.05,394.0
16-08-2019,393.0,409.45,385.0,402.9
19-08-2019,401.0,413.0,390.0,390.95
20-08-2019,389.0,399.75,387.2,387.7
21-08-2019,379.0,398.0,379.0,383.05
22-08-2019,382.3,388.05,360.3,361.55
23-08-2019,358.0,388.0,356.25,379.3
26-08-2019,385.15,395.0,382.55,394.85
27-08-2019,390.05,404.0,386.35,393.9
28-08-2019,390.0,417.0,390.0,405.0
29-08-2019,404.0,404.0,396.2,400.9
30-08-2019,397.0,410.05,389.0,399.35
03-09-2019,408.95,408.95,375.4,382.0
04-09-2019,376.05,396.0,372.2,394.15
05-09-2019,392.0,394.0,391.95,392.6
06-09-2019,394.0,400.0,378.25,398.6
09-09-2019,419.9,419.9,385.0,386.65
11-09-2019,399.95,404.9,372.05,399.15
12-09-2019,390.0,398.8,380.0,388.15
13-09-2019,391.3,399.0,387.3,395.35
16-09-2019,389.1,389.1,362.2,373.8
17-09-2019,365.0,384.0,364.0,365.85
18-09-2019,382.8,382.8,360.0,367.95
19-09-2019,370.0,373.7,362.0,362.15
20-09-2019,365.05,378.0,365.05,370.55
23-09-2019,372.0,405.0,372.0,397.75
24-09-2019,392.0,405.0,390.0,395.4
25-09-2019,391.0,402.9,372.2,393.95
26-09-2019,394.05,400.0,390.25,391.45
27-09-2019,396.95,397.0,374.25,379.1
30-09-2019,380.0,388.85,370.5,376.2
01-10-2019,365.1,389.0,330.0,336.9
03-10-2019,342.0,342.0,311.0,338.2
04-10-2019,338.0,354.9,335.0,340.4
07-10-2019,342.95,343.0,331.05,338.8
09-10-2019,338.85,344.0,334.35,335.85
10-10-2019,339.0,341.0,331.1,336.9
11-10-2019,334.0,347.0,334.0,343.95
14-10-2019,344.0,344.0,335.3,336.0
15-10-2019,347.4,355.8,332.5,336.8
16-10-2019,338.05,349.5,338.05,348.3
17-10-2019,345.0,349.0,338.1,348.25
18-10-2019,358.6,398.95,358.6,385.4
22-10-2019,400.0,400.0,376.0,379.2
23-10-2019,389.45,389.5,375.0,378.95
24-10-2019,380.0,385.0,375.0,383.3
25-10-2019,375.8,383.95,373.5,377.6
27-10-2019,384.95,391.0,361.0,385.05
29-10-2019,375.1,413.95,375.1,403.4
30-10-2019,404.0,423.9,397.4,410.3
31-10-2019,406.0,415.0,382.0,395.45
01-11-2019,400.0,400.0,390.5,398.65
04-11-2019,420.0,420.0,381.0,388.6
05-11-2019,392.0,392.0,386.2,389.5
06-11-2019,389.8,389.8,382.0,386.35
07-11-2019,389.35,391.5,383.1,389.0
08-11-2019,385.45,389.95,382.0,385.85
11-11-2019,380.0,393.95,380.0,383.65
13-11-2019,384.95,385.7,377.0,378.4
14-11-2019,378.5,388.0,377.95,384.0
15-11-2019,384.0,392.9,377.3,377.5
18-11-2019,377.5,382.5,377.0,378.4
19-11-2019,381.4,399.9,373.2,391.05
20-11-2019,388.1,404.95,373.75,375.85
21-11-2019,373.15,384.5,366.0,370.1
22-11-2019,374.1,378.95,366.4,377.6
25-11-2019,399.0,399.0,350.75,381.3
26-11-2019,369.95,389.95,369.95,373.9
27-11-2019,373.9,389.95,373.9,377.75
28-11-2019,379.6,379.75,370.0,370.95
29-11-2019,371.0,376.55,368.0,372.25
02-12-2019,374.15,386.5,368.0,380.95
03-12-2019,362.15,399.85,362.15,383.1
04-12-2019,385.0,385.0,377.25,380.85
05-12-2019,384.95,388.0,375.05,377.55
06-12-2019,379.95,379.95,361.6,365.75
09-12-2019,369.95,369.95,362.25,363.9
10-12-2019,363.0,377.25,360.1,364.15
11-12-2019,364.2,374.55,350.2,371.2
12-12-2019,371.2,379.95,362.15,366.55
13-12-2019,365.35,374.25,356.3,359.85
16-12-2019,365.0,370.0,350.0,362.7
17-12-2019,355.05,368.75,355.05,360.75
18-12-2019,360.0,366.05,356.25,359.75
19-12-2019,358.0,369.95,356.0,357.8
20-12-2019,360.2,371.0,356.15,357.3
23-12-2019,357.2,367.7,357.2,363.55
24-12-2019,365.05,375.9,365.0,369.2
26-12-2019,371.75,377.25,366.2,374.05
27-12-2019,377.95,388.0,374.0,385.05
30-12-2019,380.0,393.95,367.0,376.5
31-12-2019,369.0,384.25,369.0,370.15
01-01-2020,370.0,421.0,370.0,395.4
02-01-2020,395.0,428.7,395.0,415.55
03-01-2020,415.2,420.9,405.35,414.8
06-01-2020,405.4,417.75,380.25,388.5
07-01-2020,404.0,405.0,393.15,398.2
08-01-2020,390.0,399.9,386.2,396.8
09-01-2020,390.25,410.0,390.25,401.1
10-01-2020,408.25,410.0,397.4,398.35
13-01-2020,399.0,413.0,386.0,400.25
14-01-2020,401.0,418.0,401.0,414.35
15-01-2020,405.0,420.0,405.0,412.35
16-01-2020,406.0,417.9,401.25,411.3
17-01-2020,411.0,450.45,410.0,431.95
20-01-2020,441.95,450.0,434.0,437.65
21-01-2020,435.0,444.0,425.25,437.9
22-01-2020,438.5,438.5,426.0,428.95
23-01-2020,429.0,435.0,410.0,416.4
24-01-2020,416.4,422.75,407.0,415.35
27-01-2020,408.9,425.0,407.0,412.5
28-01-2020,412.45,429.35,403.35,416.5
29-01-2020,409.0,424.8,400.5,406.65
30-01-2020,410.0,410.0,378.25,384.85
31-01-2020,398.7,398.7,385.0,387.15
01-02-2020,395.65,416.65,376.6,384.05
