date,open,high,low,close
23-07-2019,1800.1,1816.0,1760.15,1762.3
24-07-2019,1762.0,1777.7,1750.0,1769.25
25-07-2019,1818.0,1824.8,1781.3,1815.15
26-07-2019,1810.0,1828.0,1793.1,1815.15
29-07-2019,1815.15,1836.0,1778.1,1789.65
30-07-2019,1799.3,1814.0,1755.0,1760.4
31-07-2019,1760.4,1802.8,1728.9,1741.95
01-08-2019,1764.95,1796.8,1698.2,1715.6
02-08-2019,1716.0,1729.85,1675.5,1680.35
05-08-2019,1685.0,1705.45,1660.0,1674.8
06-08-2019,1688.0,1690.5,1666.1,1679.55
07-08-2019,1680.0,1716.95,1672.4,1705.6
08-08-2019,1706.0,1725.0,1703.0,1721.15
09-08-2019,1722.0,1771.3,1703.25,1762.5
13-08-2019,1799.0,1810.0,1747.0,1790.45
14-08-2019,1810.0,1814.95,1752.0,1767.2
16-08-2019,1768.45,1781.35,1754.95,1761.85
19-08-2019,1780.0,1780.0,1737.2,1753.8
20-08-2019,1775.0,1798.45,1731.3,1771.4
21-08-2019,1789.95,1800.0,1708.0,1745.4
22-08-2019,1734.3,1799.0,1716.5,1753.75
23-08-2019,1775.0,1800.0,1750.55,1772.35
26-08-2019,1772.0,1814.9,1770.0,1789.6
27-08-2019,1789.6,1834.75,1785.0,1826.9
28-08-2019,1800.0,1844.9,1800.0,1829.85
29-08-2019,1829.85,1829.85,1800.0,1817.75
30-08-2019,1813.35,1830.95,1799.05,1817.7
03-09-2019,1800.1,1850.0,1783.85,1840.4
04-09-2019,1880.0,1880.0,1812.0,1823.45
05-09-2019,1824.8,1851.8,1818.0,1847.4
06-09-2019,1851.75,1855.0,1815.0,1835.9
09-09-2019,1829.0,1829.0,1795.0,1800.0
11-09-2019,1818.95,1850.0,1808.85,1847.65
12-09-2019,1847.0,1869.95,1815.0,1828.55
13-09-2019,1837.6,1869.4,1822.3,1839.65
16-09-2019,1851.0,1867.0,1817.65,1859.8
17-09-2019,1868.95,1880.5,1811.6,1838.7
18-09-2019,1865.0,1930.0,1855.0,1896.25
19-09-2019,1914.0,1914.0,1849.05,1866.75
20-09-2019,1885.0,1974.4,1865.0,1948.2
23-09-2019,1961.9,1997.05,1884.0,1928.85
24-09-2019,1927.0,1957.5,1920.05,1942.6
25-09-2019,1942.6,1957.95,1892.05,1905.9
26-09-2019,1900.0,1944.9,1871.0,1917.6
27-09-2019,1893.9,1965.0,1875.0,1929.4
30-09-2019,1912.8,1944.9,1894.95,1905.1
01-10-2019,1910.0,1969.4,1910.0,1949.7
03-10-2019,1916.0,1960.0,1885.0,1898.3
04-10-2019,1919.9,1945.55,1873.0,1938.95
07-10-2019,1920.5,1949.0,1916.1,1938.55
09-10-2019,1941.05,1950.0,1911.0,1938.25
10-10-2019,1932.6,1950.0,1910.0,1929.0
11-10-2019,1930.15,1961.0,1930.0,1947.3
14-10-2019,1954.9,1959.9,1930.0,1941.95
15-10-2019,1947.9,1950.0,1911.0,1915.1
16-10-2019,1916.0,1937.95,1906.0,1914.4
17-10-2019,1915.85,1926.8,1891.05,1918.85
18-10-2019,1920.2,2027.9,1920.1,1958.95
22-10-2019,1976.9,1985.0,1950.05,1974.75
23-10-2019,1974.8,1980.0,1955.0,1966.85
24-10-2019,1978.65,1978.65,1957.85,1968.7
25-10-2019,1986.95,1989.95,1948.1,1960.2
27-10-2019,1916.1,1980.0,1916.1,1969.3
29-10-2019,1979.3,1979.3,1957.0,1974.0
30-10-2019,1979.3,1980.0,1962.85,1977.0
31-10-2019,1979.8,2022.95,1963.0,1997.7
01-11-2019,2013.4,2013.4,1985.0,2000.15
04-11-2019,2014.1,2025.0,1995.15,2015.95
05-11-2019,2029.8,2050.0,2016.35,2048.75
06-11-2019,2042.0,2079.0,2039.6,2058.45
07-11-2019,2058.45,2070.0,1992.05,2006.95
08-11-2019,2005.1,2048.3,2005.1,2034.25
11-11-2019,2025.9,2068.75,1940.8,1972.0
13-11-2019,2000.0,2075.0,2000.0,2065.8
14-11-2019,2079.45,2080.0,2011.0,2021.25
15-11-2019,2029.0,2075.0,2029.0,2058.25
18-11-2019,2071.05,2110.0,2055.0,2099.75
19-11-2019,2119.35,2150.0,2100.0,2117.05
20-11-2019,2120.25,2120.25,2061.55,2083.55
21-11-2019,2085.0,2100.0,2055.4,2091.0
22-11-2019,2100.0,2117.8,2056.0,2078.8
25-11-2019,2075.85,2098.0,2028.25,2056.05
26-11-2019,2070.0,2100.0,2052.1,2069.3
27-11-2019,2080.0,2097.7,1980.0,2000.35
28-11-2019,2008.0,2037.95,1999.95,2025.45
29-11-2019,2026.1,2039.95,2002.0,2029.1
02-12-2019,2022.1,2059.3,2000.05,2033.25
03-12-2019,2028.7,2060.0,2018.1,2041.8
04-12-2019,2056.7,2077.0,2041.5,2060.45
05-12-2019,2060.45,2100.0,2009.05,2091.5
06-12-2019,2091.9,2097.65,2050.0,2079.35
09-12-2019,2098.0,2107.0,2071.0,2087.4
10-12-2019,2096.0,2100.0,2080.0,2085.85
11-12-2019,2080.15,2092.95,2025.0,2087.8
12-12-2019,2090.15,2100.0,2078.15,2084.65
13-12-2019,2085.0,2092.35,2061.0,2075.6
16-12-2019,2076.55,2100.0,2065.0,2084.75
17-12-2019,2083.35,2094.6,2060.0,2066.3
18-12-2019,2072.1,2099.9,2065.0,2095.4
19-12-2019,2095.0,2100.0,2040.0,2051.2
20-12-2019,2069.0,2069.45,2020.0,2035.1
23-12-2019,2025.15,2043.9,2000.0,2003.3
24-12-2019,2005.5,2023.0,1980.2,1996.6
26-12-2019,2002.1,2049.4,1997.35,2037.05
27-12-2019,2043.0,2043.0,1958.0,2017.15
30-12-2019,2020.0,2027.9,1985.0,1992.8
31-12-2019,1994.0,2034.0,1988.5,2013.9
01-01-2020,2013.9,2100.0,2006.9,2082.85
02-01-2020,2100.0,2100.0,2076.2,2085.65
03-01-2020,2094.0,2100.0,2079.95,2094.65
06-01-2020,2100.0,2100.0,2071.55,2089.55
07-01-2020,2095.0,2125.0,2092.15,2117.15
08-01-2020,2106.9,2125.5,2069.9,2124.05
09-01-2020,2125.0,2150.0,2118.85,2149.05
10-01-2020,2150.0,2298.8,2140.0,2257.85
13-01-2020,2282.95,2350.0,2278.0,2339.5
14-01-2020,2344.5,2351.0,2241.3,2323.8
15-01-2020,2307.7,2405.0,2307.7,2365.7
