date,open,high,low,close
22-07-2019,818.0,825.0,780.2,809.95
23-07-2019,800.0,828.0,800.0,811.3
24-07-2019,808.0,826.0,781.35,801.85
25-07-2019,813.6,821.3,801.0,806.35
26-07-2019,813.6,823.7,797.0,808.8
29-07-2019,809.0,824.2,809.0,814.8
30-07-2019,814.8,819.9,772.25,782.5
31-07-2019,790.0,795.95,773.1,785.45
01-08-2019,780.0,794.8,780.0,791.25
02-08-2019,791.25,799.8,763.0,783.8
05-08-2019,783.8,787.45,750.8,763.0
06-08-2019,751.1,812.0,751.1,795.4
07-08-2019,814.25,814.25,780.0,785.45
08-08-2019,804.7,804.7,786.2,790.7
09-08-2019,790.7,816.5,790.0,799.25
13-08-2019,820.0,845.95,803.45,820.6
14-08-2019,832.0,836.9,808.0,812.25
16-08-2019,812.0,860.0,800.0,840.4
19-08-2019,840.0,856.0,825.05,831.7
20-08-2019,825.1,838.9,822.1,824.75
21-08-2019,823.25,823.95,807.15,815.7
22-08-2019,815.0,854.8,795.0,825.4
23-08-2019,814.0,825.95,810.05,821.9
26-08-2019,825.0,870.05,819.0,853.25
27-08-2019,868.95,868.95,829.6,833.3
28-08-2019,841.0,859.0,821.0,841.3
29-08-2019,852.0,852.0,825.0,827.0
30-08-2019,825.0,840.0,825.0,826.05
03-09-2019,830.3,830.3,815.1,822.75
04-09-2019,822.5,828.0,811.6,822.2
05-09-2019,834.45,834.45,810.0,812.25
06-09-2019,814.0,834.0,814.0,821.3
09-09-2019,821.3,831.0,804.0,828.7
11-09-2019,830.9,846.9,830.9,843.05
12-09-2019,848.0,848.75,825.0,840.85
13-09-2019,833.0,844.25,831.3,838.8
16-09-2019,831.3,835.0,827.1,832.15
17-09-2019,835.05,836.95,820.15,822.8
18-09-2019,828.0,848.9,814.55,823.65
19-09-2019,838.8,838.8,815.05,824.4
20-09-2019,819.55,853.05,816.1,847.0
23-09-2019,847.0,1010.0,847.0,916.0
24-09-2019,924.0,953.3,901.35,908.9
25-09-2019,901.15,925.0,888.0,900.35
26-09-2019,891.0,906.9,855.0,874.75
27-09-2019,883.0,893.0,859.6,867.0
30-09-2019,868.9,922.0,868.9,908.15
01-10-2019,908.15,924.45,867.8,904.6
03-10-2019,901.0,905.0,867.25,874.5
04-10-2019,874.0,889.65,874.0,879.8
07-10-2019,880.0,921.95,875.0,880.35
09-10-2019,881.0,903.0,861.25,885.2
10-10-2019,887.95,923.0,885.9,908.65
11-10-2019,910.0,950.2,910.0,927.15
14-10-2019,930.0,959.0,928.15,932.3
15-10-2019,939.75,939.8,925.0,928.2
16-10-2019,934.65,937.9,901.0,907.05
17-10-2019,916.0,947.75,905.0,909.9
18-10-2019,909.9,949.9,909.9,937.5
22-10-2019,944.0,954.95,920.05,936.15
23-10-2019,944.0,972.0,932.65,949.6
24-10-2019,962.95,1008.0,951.05,986.3
25-10-2019,992.95,1024.0,980.05,991.0
27-10-2019,1003.0,1020.0,1000.0,1011.45
29-10-2019,1025.0,1044.0,994.95,1001.4
30-10-2019,1008.7,1010.0,990.0,1001.35
31-10-2019,1006.95,1060.0,982.0,1045.4
01-11-2019,1053.65,1055.0,1011.1,1022.65
04-11-2019,1027.95,1039.4,1002.65,1007.0
05-11-2019,1014.8,1014.8,984.0,988.85
06-11-2019,998.85,998.85,970.0,975.15
07-11-2019,975.15,1049.9,975.15,999.55
08-11-2019,1020.0,1025.35,965.0,976.05
11-11-2019,982.0,1017.0,982.0,998.8
13-11-2019,1007.0,1007.0,980.05,985.1
14-11-2019,985.1,1015.0,964.25,978.2
15-11-2019,986.0,994.15,972.0,975.35
18-11-2019,975.0,1004.95,972.35,1000.85
19-11-2019,1000.0,1003.3,980.0,987.4
20-11-2019,985.0,1005.95,980.15,997.35
21-11-2019,987.0,1005.35,985.0,988.75
22-11-2019,997.0,999.85,980.15,984.95
25-11-2019,988.0,998.0,984.65,988.2
26-11-2019,993.0,997.5,981.0,991.2
27-11-2019,995.45,1017.65,987.05,1006.0
28-11-2019,1011.0,1034.9,1006.05,1016.4
29-11-2019,1024.0,1050.0,1012.5,1032.0
02-12-2019,1040.0,1069.5,1033.05,1042.9
03-12-2019,1050.0,1050.0,1025.0,1034.15
04-12-2019,1030.0,1100.0,1024.95,1070.4
05-12-2019,1072.0,1076.0,1052.0,1064.45
06-12-2019,1062.5,1077.0,1015.05,1048.95
09-12-2019,1048.95,1049.95,1025.9,1040.15
10-12-2019,1039.95,1049.55,1002.8,1021.1
11-12-2019,1021.1,1033.1,1014.1,1021.15
12-12-2019,1025.0,1025.0,1013.6,1017.5
13-12-2019,1036.0,1044.95,1015.0,1021.05
16-12-2019,1030.0,1030.3,1006.0,1016.3
17-12-2019,1010.15,1039.9,1010.15,1022.05
18-12-2019,1024.0,1037.0,1020.05,1025.25
19-12-2019,1025.0,1033.15,1021.0,1024.9
20-12-2019,1025.05,1034.7,1015.55,1022.95
23-12-2019,1034.85,1034.85,1005.0,1017.75
24-12-2019,1025.0,1069.0,1025.0,1032.1
26-12-2019,1041.65,1084.8,1036.65,1072.55
27-12-2019,1083.9,1112.0,1080.25,1091.9
