date,open,high,low,close
22-07-2019,980.5,988.0,955.0,960.15
23-07-2019,960.0,960.0,941.15,945.1
24-07-2019,951.1,954.95,877.0,934.8
25-07-2019,934.75,961.95,927.7,934.4
26-07-2019,935.0,945.9,902.7,909.2
29-07-2019,905.05,935.75,895.0,907.6
30-07-2019,924.0,924.0,881.05,894.95
31-07-2019,898.7,899.0,883.05,894.8
01-08-2019,878.0,910.5,877.95,890.9
02-08-2019,896.0,924.0,890.0,908.9
05-08-2019,929.0,934.45,896.3,917.55
06-08-2019,917.0,925.1,894.4,900.9
07-08-2019,920.0,920.0,898.9,907.95
08-08-2019,937.95,937.95,886.65,903.4
09-08-2019,929.75,929.75,900.0,906.3
13-08-2019,892.05,904.75,885.6,894.6
14-08-2019,895.0,906.15,872.0,874.9
16-08-2019,875.0,898.95,826.1,841.2
19-08-2019,873.95,875.0,840.0,846.3
20-08-2019,859.95,867.8,837.0,845.7
21-08-2019,860.0,860.0,839.4,852.45
22-08-2019,849.95,864.75,834.0,842.35
23-08-2019,842.35,842.35,828.0,840.8
26-08-2019,864.6,864.65,837.0,856.4
27-08-2019,868.6,926.95,868.0,886.75
28-08-2019,886.0,899.95,838.2,842.95
29-08-2019,843.0,873.95,832.65,841.1
30-08-2019,850.05,867.0,842.35,856.55
03-09-2019,846.05,874.0,846.05,864.65
04-09-2019,873.8,874.05,864.85,869.5
05-09-2019,879.7,889.95,866.0,872.15
06-09-2019,867.85,898.0,863.7,881.05
09-09-2019,883.0,898.0,879.5,887.4
11-09-2019,912.0,925.0,886.7,907.9
12-09-2019,910.0,948.0,910.0,932.1
13-09-2019,945.0,946.0,913.25,926.1
16-09-2019,944.0,950.0,930.0,946.9
17-09-2019,950.0,959.0,935.0,937.25
18-09-2019,956.95,956.95,942.05,945.15
19-09-2019,940.0,940.0,893.1,908.2
20-09-2019,908.0,929.95,897.6,919.5
23-09-2019,925.05,925.05,910.0,919.7
24-09-2019,930.0,934.0,910.0,918.0
25-09-2019,918.0,943.0,918.0,925.8
26-09-2019,938.0,946.95,925.0,931.05
27-09-2019,943.1,952.0,912.25,926.85
30-09-2019,930.0,930.0,911.05,924.3
01-10-2019,924.0,925.15,903.7,909.8
03-10-2019,926.0,926.0,902.4,909.25
04-10-2019,919.95,930.0,910.0,916.85
07-10-2019,936.0,936.0,900.0,903.45
09-10-2019,920.0,929.15,895.0,903.9
10-10-2019,904.5,916.5,900.0,908.1
11-10-2019,927.85,927.95,894.5,895.6
14-10-2019,921.95,921.95,895.0,898.8
15-10-2019,899.95,914.9,895.1,911.1
16-10-2019,921.95,921.95,894.05,900.25
17-10-2019,886.65,918.0,886.65,914.65
18-10-2019,915.0,919.95,910.0,914.55
22-10-2019,915.05,930.0,903.6,924.3
23-10-2019,913.65,923.75,900.0,904.5
24-10-2019,919.95,924.55,900.05,906.55
25-10-2019,919.95,920.7,909.0,920.0
27-10-2019,948.0,948.0,921.0,924.25
29-10-2019,943.9,943.9,914.3,924.5
30-10-2019,938.65,938.65,899.0,900.8
31-10-2019,901.05,918.95,899.05,899.95
01-11-2019,900.0,917.15,890.45,909.7
04-11-2019,918.95,926.0,905.0,911.25
05-11-2019,911.25,919.15,898.0,902.3
06-11-2019,905.0,905.0,890.05,899.75
07-11-2019,914.95,914.95,886.25,899.05
08-11-2019,891.45,908.95,856.0,864.3
11-11-2019,865.05,900.0,865.05,889.6
13-11-2019,889.6,891.95,861.45,870.25
14-11-2019,890.0,891.05,876.5,889.65
15-11-2019,895.0,896.95,882.2,885.7
18-11-2019,884.1,890.0,881.25,887.0
19-11-2019,887.0,888.0,875.2,879.75
20-11-2019,880.3,886.9,860.0,869.0
21-11-2019,865.55,880.1,861.35,865.45
22-11-2019,876.95,876.95,860.0,867.5
25-11-2019,874.95,882.95,865.0,879.45
26-11-2019,879.45,889.75,862.3,871.1
27-11-2019,879.9,879.95,863.0,866.05
28-11-2019,878.6,878.85,865.0,870.6
29-11-2019,878.95,879.0,868.0,872.8
02-12-2019,864.4,870.0,864.05,866.35
03-12-2019,868.05,878.7,860.05,863.7
04-12-2019,870.0,875.55,858.0,859.45
05-12-2019,864.5,864.55,855.0,856.2
06-12-2019,857.6,861.25,850.0,855.9
09-12-2019,862.0,862.0,845.05,849.85
10-12-2019,850.05,854.65,835.0,839.95
11-12-2019,843.95,850.0,836.0,840.05
12-12-2019,845.15,855.0,843.8,849.95
13-12-2019,853.95,855.0,840.05,849.1
16-12-2019,850.0,850.0,838.4,847.45
17-12-2019,865.5,865.5,841.55,845.85
18-12-2019,845.9,852.45,841.05,849.25
19-12-2019,849.1,851.35,843.0,849.35
20-12-2019,851.0,858.55,845.95,849.6
23-12-2019,850.0,850.3,830.6,839.6
24-12-2019,868.1,868.1,836.05,842.05
26-12-2019,843.0,854.6,838.0,840.65
27-12-2019,840.55,860.0,830.0,848.15
30-12-2019,849.0,890.0,843.2,878.4
31-12-2019,889.0,889.0,860.05,866.2
01-01-2020,887.6,888.9,858.0,864.35
02-01-2020,864.4,874.0,855.1,861.85
03-01-2020,862.15,884.6,846.55,849.9
06-01-2020,850.1,854.95,828.0,834.25
07-01-2020,859.95,859.95,837.15,839.8
08-01-2020,834.0,841.0,834.0,839.9
09-01-2020,841.0,843.85,835.0,840.0
10-01-2020,849.95,850.0,838.0,839.35
13-01-2020,849.95,854.85,833.0,837.5
14-01-2020,833.0,844.7,833.0,839.8
15-01-2020,844.9,844.95,829.4,832.95
16-01-2020,849.95,853.55,832.0,834.35
17-01-2020,844.9,845.0,834.05,835.85
20-01-2020,840.0,855.0,835.85,839.5
21-01-2020,842.0,843.5,834.5,836.85
22-01-2020,836.85,877.0,833.45,835.45
23-01-2020,845.0,876.35,837.0,863.6
24-01-2020,879.75,879.75,855.0,859.0
27-01-2020,863.3,880.95,852.0,872.85
28-01-2020,872.85,875.0,834.0,836.95
29-01-2020,841.15,847.45,831.0,838.5
30-01-2020,831.55,850.15,831.5,843.55
31-01-2020,847.75,847.75,836.1,841.1
01-02-2020,844.75,845.3,821.05,831.75
03-02-2020,835.9,840.4,831.0,836.85
04-02-2020,839.0,855.0,831.65,851.0
05-02-2020,841.05,862.35,838.25,850.7
06-02-2020,854.85,858.0,840.0,841.95
07-02-2020,850.0,855.95,825.0,832.05
10-02-2020,835.0,851.65,820.0,830.35
11-02-2020,831.3,833.0,816.3,820.5
12-02-2020,815.05,824.6,800.0,811.75
13-02-2020,815.75,821.5,809.45,813.45
14-02-2020,815.0,818.8,810.1,814.4
17-02-2020,814.4,825.55,800.0,819.2
18-02-2020,817.0,823.3,804.4,818.2
19-02-2020,818.25,822.0,792.6,814.35
20-02-2020,817.2,818.0,801.0,807.7
24-02-2020,810.0,824.95,807.7,815.65
25-02-2020,816.7,818.85,808.0,812.1
26-02-2020,811.6,815.9,800.1,807.25
27-02-2020,801.4,811.2,791.0,804.35
28-02-2020,795.1,800.0,777.05,785.95
02-03-2020,785.05,818.95,760.1,771.65
03-03-2020,771.7,800.95,753.8,790.2
04-03-2020,790.0,821.95,772.85,788.25
05-03-2020,788.3,816.0,785.45,802.15
06-03-2020,775.05,794.85,760.0,787.85
09-03-2020,780.0,780.0,744.5,758.1
11-03-2020,772.0,790.2,759.95,776.15
12-03-2020,758.05,758.15,699.0,710.2
13-03-2020,699.95,739.95,577.0,707.0
16-03-2020,710.5,710.5,636.25,669.55
17-03-2020,672.8,672.85,632.0,649.45
18-03-2020,650.0,650.0,532.5,599.05
19-03-2020,590.0,610.0,552.2,603.3
20-03-2020,600.0,621.0,581.0,587.45
23-03-2020,550.0,587.0,489.0,498.25
24-03-2020,490.0,543.0,468.05,483.4
25-03-2020,484.15,499.4,390.0,473.35
26-03-2020,492.0,540.0,480.05,522.8
27-03-2020,559.95,579.0,504.45,548.05
30-03-2020,546.9,550.0,515.0,525.5
31-03-2020,546.95,546.95,515.05,527.95
01-04-2020,537.9,549.0,515.1,527.25
03-04-2020,543.95,555.95,525.0,534.8
07-04-2020,534.8,548.8,525.0,537.25
08-04-2020,539.25,559.0,531.05,545.2
09-04-2020,565.2,575.0,540.05,564.7
13-04-2020,565.0,610.0,552.65,571.4
15-04-2020,594.0,609.9,565.0,576.3
16-04-2020,579.95,610.0,570.1,607.85
17-04-2020,626.7,648.0,608.0,644.0
20-04-2020,660.0,690.0,646.05,676.25
21-04-2020,676.15,687.0,662.0,667.85
22-04-2020,662.05,673.8,636.4,651.85
23-04-2020,675.0,699.0,642.05,668.75
24-04-2020,668.7,670.0,650.0,656.45
27-04-2020,660.0,771.0,644.4,654.7
28-04-2020,670.0,688.0,659.2,673.5
29-04-2020,673.5,744.95,672.0,695.85
30-04-2020,710.0,715.85,683.05,694.0
04-05-2020,685.0,689.9,655.05,666.4
05-05-2020,686.0,700.0,661.05,665.65
06-05-2020,675.65,679.6,659.95,663.1
07-05-2020,671.75,678.55,644.0,661.6
08-05-2020,679.5,684.0,646.25,668.2
11-05-2020,674.85,675.3,652.05,657.35
12-05-2020,657.85,665.0,644.0,658.2
13-05-2020,689.0,700.0,669.95,671.25
14-05-2020,657.0,664.85,635.0,640.05
15-05-2020,643.1,658.35,643.1,652.7
18-05-2020,656.0,660.0,634.55,651.35
19-05-2020,654.65,658.75,641.75,647.95
20-05-2020,649.6,649.6,636.1,644.75
21-05-2020,644.2,646.8,631.6,640.7
22-05-2020,631.3,645.0,631.3,642.4
26-05-2020,643.0,650.0,633.3,643.95
27-05-2020,646.75,650.2,638.45,647.95
28-05-2020,650.0,650.0,629.7,636.0
29-05-2020,636.05,652.75,636.0,645.35
01-06-2020,648.6,652.75,635.0,639.15
02-06-2020,639.15,653.65,638.5,649.35
03-06-2020,652.6,662.1,645.2,656.8
04-06-2020,660.0,676.0,650.3,657.3
05-06-2020,660.0,690.15,650.0,687.15
08-06-2020,695.0,723.0,685.0,695.1
09-06-2020,702.85,716.0,669.0,673.6
10-06-2020,699.9,699.9,652.1,665.3
11-06-2020,655.55,674.0,655.5,672.1
12-06-2020,672.05,672.15,653.65,662.45
15-06-2020,687.0,687.0,657.0,660.7
