date,open,high,low,close
22-07-2019,14.8,16.0,14.8,15.25
23-07-2019,16.4,16.4,15.3,16.0
24-07-2019,15.3,16.25,14.8,14.9
25-07-2019,15.95,15.95,14.95,15.5
26-07-2019,15.25,16.25,15.2,15.4
29-07-2019,15.1,15.8,14.7,14.9
30-07-2019,15.9,15.9,14.5,14.85
31-07-2019,15.9,15.9,13.65,14.2
01-08-2019,14.45,14.5,12.9,13.35
02-08-2019,13.2,13.2,12.5,12.75
05-08-2019,13.3,13.3,11.85,12.45
06-08-2019,12.45,14.15,11.8,13.9
07-08-2019,14.85,14.85,12.6,13.1
08-08-2019,12.8,14.15,12.6,13.45
09-08-2019,14.85,14.85,13.4,13.5
13-08-2019,13.5,15.5,13.0,14.35
14-08-2019,16.35,17.2,16.0,17.2
16-08-2019,19.1,20.6,19.0,20.6
19-08-2019,20.6,21.3,18.55,18.6
20-08-2019,17.8,19.65,17.8,19.5
21-08-2019,19.25,19.9,18.5,18.75
22-08-2019,18.9,18.9,17.6,18.4
23-08-2019,17.4,17.55,16.8,17.3
26-08-2019,17.3,17.35,16.4,16.85
27-08-2019,16.25,18.0,16.25,16.9
28-08-2019,16.6,17.7,16.6,17.05
29-08-2019,17.05,17.05,16.5,16.7
30-08-2019,17.35,17.35,16.5,16.85
03-09-2019,16.85,17.1,16.15,16.25
04-09-2019,16.25,16.55,15.75,16.1
05-09-2019,16.45,16.45,15.8,16.1
06-09-2019,16.0,16.8,16.0,16.5
09-09-2019,16.5,16.85,16.25,16.35
11-09-2019,16.35,17.25,16.35,16.7
12-09-2019,16.7,17.4,16.7,16.85
13-09-2019,17.2,17.55,16.5,17.2
16-09-2019,17.15,17.7,16.7,17.5
17-09-2019,17.5,18.0,16.75,17.15
18-09-2019,16.8,17.65,16.8,17.15
19-09-2019,17.9,17.9,16.35,16.4
20-09-2019,16.45,17.0,16.45,16.9
23-09-2019,16.9,17.7,16.5,17.05
24-09-2019,17.05,17.15,16.55,16.75
25-09-2019,16.35,17.45,16.35,16.55
26-09-2019,16.35,16.95,16.35,16.55
27-09-2019,16.55,17.1,16.5,16.85
30-09-2019,17.5,17.5,16.15,16.35
01-10-2019,16.95,16.95,15.2,16.05
03-10-2019,15.65,16.45,15.1,15.45
04-10-2019,15.0,16.3,15.0,15.55
07-10-2019,15.55,16.05,15.2,15.55
09-10-2019,16.1,16.85,15.75,16.35
10-10-2019,17.75,17.75,15.9,15.9
11-10-2019,15.65,16.1,15.3,15.45
14-10-2019,16.25,16.25,15.35,15.6
15-10-2019,17.0,17.0,14.85,15.55
16-10-2019,15.5,15.65,15.05,15.45
17-10-2019,14.5,15.95,14.5,15.45
18-10-2019,15.75,15.75,14.7,15.2
22-10-2019,15.45,15.45,15.0,15.15
23-10-2019,15.15,16.0,15.0,15.05
24-10-2019,15.05,15.1,14.95,14.95
25-10-2019,14.9,15.2,14.6,14.95
27-10-2019,14.9,15.6,14.5,15.2
29-10-2019,14.9,15.25,14.9,14.95
30-10-2019,15.2,15.3,15.0,15.0
31-10-2019,15.0,15.65,14.8,15.4
01-11-2019,14.5,15.8,14.5,15.4
04-11-2019,15.6,17.2,15.4,16.9
05-11-2019,16.9,18.0,16.7,17.1
06-11-2019,17.05,19.2,17.05,18.8
07-11-2019,19.45,20.7,19.0,19.2
08-11-2019,18.5,19.95,17.55,19.75
11-11-2019,19.0,21.95,19.0,21.5
13-11-2019,19.1,19.2,17.2,17.25
14-11-2019,17.25,17.45,16.4,16.9
15-11-2019,17.5,17.5,16.3,16.7
18-11-2019,16.7,17.65,16.5,16.7
19-11-2019,16.65,17.3,16.5,16.7
20-11-2019,16.6,17.1,15.0,16.0
21-11-2019,15.4,16.25,15.05,15.6
22-11-2019,15.6,16.5,15.4,15.7
25-11-2019,15.75,16.45,15.3,16.35
26-11-2019,17.4,17.4,16.0,16.35
27-11-2019,16.3,17.05,16.3,16.75
28-11-2019,17.0,17.0,15.9,16.5
29-11-2019,16.5,16.5,16.15,16.35
02-12-2019,16.3,16.9,15.65,16.05
03-12-2019,16.0,16.25,15.75,16.2
04-12-2019,16.0,16.45,15.6,15.8
05-12-2019,15.8,16.3,15.8,15.9
06-12-2019,15.75,17.7,15.2,16.2
09-12-2019,15.9,16.65,15.75,16.55
10-12-2019,15.9,16.4,15.5,15.6
11-12-2019,16.3,16.3,15.2,15.2
12-12-2019,16.0,16.2,15.0,15.05
13-12-2019,15.7,15.7,14.75,15.45
16-12-2019,15.1,15.6,15.1,15.15
17-12-2019,15.25,18.15,14.75,16.35
18-12-2019,16.15,16.3,15.7,15.75
19-12-2019,15.8,16.0,15.55,15.9
20-12-2019,15.8,15.8,15.4,15.65
23-12-2019,16.15,16.15,13.1,14.6
24-12-2019,15.0,15.6,14.25,14.95
26-12-2019,15.0,15.4,14.4,14.55
27-12-2019,15.9,15.9,13.5,14.9
30-12-2019,14.65,15.55,14.45,14.6
31-12-2019,15.5,15.75,14.7,15.5
01-01-2020,15.25,15.9,14.0,14.35
02-01-2020,14.8,17.2,14.6,17.05
03-01-2020,16.25,17.4,15.35,15.75
06-01-2020,15.5,15.95,15.15,15.8
07-01-2020,15.8,15.9,15.4,15.45
08-01-2020,16.0,16.0,14.8,15.35
09-01-2020,15.35,15.75,15.25,15.45
10-01-2020,16.5,16.5,15.5,15.6
13-01-2020,16.5,16.5,15.1,16.0
14-01-2020,15.9,16.4,15.8,16.3
