date,open,high,low,close
22-07-2019,58.6,58.6,56.95,57.3
23-07-2019,57.4,59.7,56.5,57.95
24-07-2019,58.25,58.6,57.0,57.2
25-07-2019,57.2,57.9,56.4,56.85
26-07-2019,56.8,58.0,56.6,56.7
29-07-2019,56.3,57.6,55.8,57.1
30-07-2019,56.85,57.35,54.4,55.0
31-07-2019,55.0,55.1,52.65,53.8
01-08-2019,54.9,54.9,52.65,53.15
02-08-2019,54.0,55.8,52.65,55.0
05-08-2019,54.25,54.25,52.65,52.9
06-08-2019,52.25,54.4,52.25,54.15
07-08-2019,55.0,55.0,53.0,53.5
08-08-2019,53.5,54.4,52.5,53.95
09-08-2019,55.4,57.2,53.9,56.55
13-08-2019,57.15,58.85,57.15,57.45
14-08-2019,58.55,60.6,57.5,59.3
16-08-2019,59.8,59.8,57.8,58.1
19-08-2019,56.4,58.55,56.4,57.4
20-08-2019,57.45,58.6,56.4,56.7
21-08-2019,57.2,57.35,54.65,55.0
22-08-2019,54.85,55.5,53.7,54.3
23-08-2019,53.6,55.0,53.4,54.7
26-08-2019,54.8,56.0,54.8,55.6
27-08-2019,54.25,58.5,54.25,58.25
28-08-2019,58.05,59.6,57.7,57.9
29-08-2019,59.35,60.9,58.0,58.25
30-08-2019,58.25,59.5,57.2,57.75
03-09-2019,57.75,58.15,56.25,57.1
04-09-2019,57.05,58.2,56.9,57.4
05-09-2019,57.6,58.0,56.6,57.45
06-09-2019,58.0,59.55,57.4,57.75
09-09-2019,58.2,59.3,57.65,58.5
11-09-2019,58.85,63.6,58.35,63.0
12-09-2019,61.65,61.8,60.45,61.4
13-09-2019,61.4,62.0,60.3,61.25
16-09-2019,60.9,62.4,60.0,61.5
17-09-2019,61.6,63.15,59.4,59.55
18-09-2019,60.4,60.75,59.0,59.85
19-09-2019,60.6,60.6,57.05,57.9
20-09-2019,57.35,61.0,57.35,60.8
23-09-2019,61.0,63.0,60.8,61.25
24-09-2019,61.6,62.6,61.4,61.6
25-09-2019,61.45,63.8,61.0,61.2
26-09-2019,61.6,62.8,60.0,60.2
27-09-2019,60.65,61.0,57.6,57.9
30-09-2019,57.9,58.2,55.8,56.6
01-10-2019,57.0,57.25,54.3,54.7
03-10-2019,54.5,55.75,53.3,54.2
04-10-2019,54.55,56.25,54.2,54.5
07-10-2019,54.25,54.8,53.4,53.75
09-10-2019,53.1,54.2,53.1,54.0
10-10-2019,54.5,54.5,51.75,52.65
11-10-2019,53.0,53.6,52.7,53.0
14-10-2019,52.95,53.7,52.7,53.1
15-10-2019,53.15,53.6,52.5,52.8
16-10-2019,53.4,53.4,51.75,52.1
17-10-2019,53.2,53.2,52.0,52.65
18-10-2019,53.15,53.85,52.05,53.15
22-10-2019,53.6,55.1,52.55,53.45
23-10-2019,53.85,55.0,53.4,53.85
24-10-2019,54.05,54.6,53.2,53.45
25-10-2019,54.2,54.35,52.75,52.8
27-10-2019,54.0,54.0,52.0,52.75
29-10-2019,53.55,54.25,52.6,53.45
30-10-2019,53.75,55.8,53.0,54.8
31-10-2019,54.8,55.7,53.45,53.9
01-11-2019,54.95,56.25,54.4,54.85
04-11-2019,55.4,56.9,55.2,55.85
05-11-2019,56.15,56.6,54.8,55.85
06-11-2019,56.65,58.1,55.9,56.8
07-11-2019,56.9,56.9,55.0,55.75
08-11-2019,59.1,59.1,57.25,58.0
11-11-2019,58.15,60.8,58.0,60.1
13-11-2019,60.35,61.95,59.35,60.55
14-11-2019,60.8,61.0,58.65,59.65
15-11-2019,59.6,60.05,57.1,57.7
18-11-2019,58.0,59.6,57.6,59.15
19-11-2019,59.15,60.0,57.9,58.0
20-11-2019,57.55,59.15,57.55,58.15
21-11-2019,58.45,58.8,57.8,57.85
22-11-2019,57.85,58.4,57.8,57.95
25-11-2019,58.9,59.4,57.8,58.6
26-11-2019,58.6,59.3,57.15,58.2
27-11-2019,58.2,59.6,58.2,58.45
28-11-2019,58.25,58.7,58.1,58.4
29-11-2019,58.35,60.2,57.95,58.45
02-12-2019,58.2,59.7,58.0,58.65
03-12-2019,58.25,58.7,57.9,57.95
