date,open,high,low,close
22-07-2019,0.5,0.55,0.5,0.55
23-07-2019,0.5,0.6,0.5,0.55
24-07-2019,0.5,0.6,0.5,0.6
25-07-2019,0.6,0.65,0.55,0.65
26-07-2019,0.65,0.65,0.6,0.6
29-07-2019,0.65,0.65,0.55,0.65
30-07-2019,0.65,0.65,0.6,0.65
31-07-2019,0.6,0.65,0.6,0.65
01-08-2019,0.6,0.65,0.6,0.6
02-08-2019,0.6,0.65,0.55,0.65
05-08-2019,0.65,0.65,0.6,0.6
06-08-2019,0.55,0.65,0.55,0.55
07-08-2019,0.6,0.6,0.55,0.55
08-08-2019,0.55,0.55,0.55,0.55
09-08-2019,0.5,0.55,0.5,0.55
13-08-2019,0.5,0.6,0.5,0.6
14-08-2019,0.55,0.6,0.55,0.55
16-08-2019,0.5,0.6,0.5,0.55
19-08-2019,0.6,0.6,0.55,0.55
20-08-2019,0.6,0.6,0.5,0.5
21-08-2019,0.5,0.55,0.45,0.45
22-08-2019,0.45,0.5,0.4,0.4
23-08-2019,0.45,0.45,0.4,0.4
26-08-2019,0.35,0.45,0.35,0.45
27-08-2019,0.4,0.45,0.4,0.45
28-08-2019,0.4,0.45,0.4,0.4
29-08-2019,0.45,0.45,0.4,0.45
30-08-2019,0.4,0.45,0.4,0.4
03-09-2019,0.4,0.45,0.4,0.4
04-09-2019,0.4,0.45,0.4,0.45
05-09-2019,0.5,0.5,0.4,0.45
06-09-2019,0.4,0.5,0.4,0.4
09-09-2019,0.4,0.45,0.4,0.45
11-09-2019,0.4,0.5,0.4,0.4
12-09-2019,0.45,0.45,0.4,0.4
13-09-2019,0.4,0.45,0.4,0.45
16-09-2019,0.45,0.45,0.4,0.45
17-09-2019,0.4,0.5,0.4,0.5
18-09-2019,0.45,0.5,0.45,0.5
19-09-2019,0.45,0.5,0.45,0.45
20-09-2019,0.45,0.45,0.4,0.45
23-09-2019,0.4,0.5,0.4,0.5
24-09-2019,0.45,0.55,0.45,0.5
