date,open,high,low,close
22-07-2019,539.0,539.0,520.0,523.7
23-07-2019,523.75,530.0,521.0,523.2
24-07-2019,518.85,533.05,518.1,525.6
25-07-2019,521.3,530.0,521.3,526.3
26-07-2019,524.0,529.8,521.6,525.0
29-07-2019,525.0,528.45,520.0,523.6
30-07-2019,521.9,525.15,479.1,509.8
31-07-2019,491.0,503.5,482.6,487.15
01-08-2019,487.2,488.75,475.95,476.85
02-08-2019,470.0,479.0,468.05,471.2
05-08-2019,457.25,493.0,452.45,469.7
06-08-2019,464.25,494.8,464.25,481.1
07-08-2019,492.0,492.0,473.95,483.8
08-08-2019,485.2,580.55,478.0,577.75
09-08-2019,582.05,590.0,530.15,553.2
13-08-2019,568.9,568.9,523.15,537.8
14-08-2019,530.0,547.95,527.1,538.4
16-08-2019,531.0,547.0,528.15,541.45
19-08-2019,563.95,563.95,537.15,550.05
20-08-2019,555.0,558.3,540.0,553.75
21-08-2019,550.95,555.05,525.0,529.55
22-08-2019,521.0,532.0,519.0,528.15
23-08-2019,518.3,528.1,515.95,524.45
26-08-2019,558.8,558.8,526.3,536.55
27-08-2019,536.55,549.0,530.3,540.65
28-08-2019,542.35,554.95,542.35,548.95
29-08-2019,554.95,554.95,532.75,533.95
30-08-2019,538.75,548.05,529.65,535.75
03-09-2019,546.15,546.15,502.3,519.4
04-09-2019,522.05,535.0,521.9,531.75
05-09-2019,533.9,545.2,530.0,535.95
06-09-2019,538.95,539.0,525.25,532.7
09-09-2019,566.0,566.0,527.5,536.25
11-09-2019,540.0,567.0,532.0,556.1
12-09-2019,549.3,579.1,546.45,561.15
13-09-2019,561.15,575.9,560.2,573.15
16-09-2019,574.6,574.6,556.0,560.2
17-09-2019,561.0,561.0,548.0,549.35
18-09-2019,549.35,549.75,533.0,542.25
19-09-2019,532.05,545.0,532.05,537.95
20-09-2019,538.75,573.0,537.5,569.95
23-09-2019,581.95,583.0,543.6,577.6
24-09-2019,577.6,584.65,565.0,577.6
25-09-2019,583.9,595.45,562.0,569.0
26-09-2019,576.75,579.95,566.35,568.8
27-09-2019,581.0,581.0,555.9,560.6
30-09-2019,560.1,563.85,550.95,557.6
01-10-2019,556.9,557.0,550.0,553.7
03-10-2019,550.45,554.2,548.15,548.95
04-10-2019,540.0,554.95,530.0,533.75
07-10-2019,534.0,534.0,517.95,521.2
09-10-2019,521.85,521.9,505.3,508.8
10-10-2019,510.0,512.35,502.0,506.4
11-10-2019,501.15,512.3,489.75,507.55
14-10-2019,508.0,524.0,508.0,513.75
15-10-2019,519.05,523.4,501.3,505.8
16-10-2019,519.95,519.95,508.55,514.95
17-10-2019,517.0,519.0,509.95,516.9
18-10-2019,508.1,517.25,506.3,509.95
22-10-2019,512.25,522.25,510.0,514.4
23-10-2019,500.0,518.0,500.0,514.55
24-10-2019,512.3,529.3,501.0,526.5
25-10-2019,512.2,548.0,512.2,531.9
27-10-2019,535.0,554.0,532.8,548.25
29-10-2019,555.3,564.4,544.05,548.65
30-10-2019,545.3,554.4,536.05,538.5
31-10-2019,538.0,544.45,531.5,534.5
01-11-2019,525.0,531.8,506.9,512.55
04-11-2019,522.4,525.0,513.2,519.55
05-11-2019,510.0,531.85,502.0,530.55
06-11-2019,526.85,550.0,526.85,549.2
07-11-2019,539.05,566.0,532.0,549.6
08-11-2019,546.75,546.75,516.05,519.7
11-11-2019,558.0,558.0,507.0,507.55
13-11-2019,514.95,514.95,503.55,510.35
14-11-2019,502.9,508.75,489.95,493.25
15-11-2019,497.65,502.1,485.0,486.5
18-11-2019,480.1,485.1,465.05,470.9
19-11-2019,471.0,476.95,446.0,447.6
20-11-2019,450.0,454.15,439.9,444.45
21-11-2019,440.65,489.0,440.65,466.05
22-11-2019,466.2,472.4,452.15,456.7
25-11-2019,456.0,478.35,455.0,459.75
26-11-2019,458.55,469.5,458.5,463.1
27-11-2019,463.3,465.55,452.0,459.25
28-11-2019,459.0,462.9,453.0,456.1
29-11-2019,456.55,459.95,452.9,454.3
02-12-2019,454.95,456.5,448.95,452.05
03-12-2019,452.2,452.2,446.0,449.0
04-12-2019,446.65,447.55,440.2,443.5
05-12-2019,442.35,445.1,435.0,437.3
06-12-2019,437.3,441.55,428.0,431.1
09-12-2019,431.05,434.3,417.4,420.6
10-12-2019,420.25,423.0,401.5,406.1
11-12-2019,404.85,410.8,385.1,390.6
12-12-2019,390.0,399.1,390.0,393.5
13-12-2019,392.5,424.0,386.1,405.85
