date,open,high,low,close
29-07-2019,1363.05,1378.0,1335.4,1365.85
30-07-2019,1364.9,1374.0,1329.0,1333.6
31-07-2019,1327.0,1356.5,1319.15,1351.6
01-08-2019,1344.0,1381.5,1341.0,1365.55
02-08-2019,1355.1,1359.95,1275.0,1310.2
05-08-2019,1303.7,1311.15,1287.25,1301.65
06-08-2019,1290.0,1355.3,1290.0,1340.25
07-08-2019,1340.0,1355.0,1310.05,1314.65
08-08-2019,1315.0,1340.0,1306.0,1334.4
09-08-2019,1331.0,1371.0,1331.0,1358.8
13-08-2019,1358.8,1370.55,1311.9,1322.5
14-08-2019,1399.0,1445.0,1345.65,1360.2
16-08-2019,1365.0,1487.0,1362.2,1470.6
19-08-2019,1470.6,1508.95,1461.05,1483.95
20-08-2019,1488.0,1490.0,1463.45,1475.1
21-08-2019,1471.25,1489.0,1457.25,1466.0
22-08-2019,1470.0,1475.3,1445.3,1451.1
23-08-2019,1448.05,1464.9,1425.0,1440.85
26-08-2019,1444.0,1472.55,1422.55,1461.0
27-08-2019,1461.0,1480.0,1450.2,1475.55
28-08-2019,1478.7,1535.0,1477.0,1521.4
29-08-2019,1520.0,1529.8,1505.1,1518.35
30-08-2019,1519.8,1542.45,1496.25,1508.15
03-09-2019,1496.0,1504.95,1488.0,1493.45
04-09-2019,1501.9,1505.0,1485.05,1496.9
05-09-2019,1495.5,1509.0,1487.0,1497.0
06-09-2019,1503.0,1536.45,1484.8,1500.2
09-09-2019,1500.0,1512.45,1473.05,1494.1
11-09-2019,1500.0,1512.7,1474.05,1497.2
12-09-2019,1572.0,1579.7,1454.0,1458.75
13-09-2019,1464.9,1477.0,1430.6,1458.15
16-09-2019,1455.0,1461.6,1428.8,1435.85
17-09-2019,1432.0,1440.0,1410.15,1415.05
18-09-2019,1417.0,1444.0,1401.7,1433.9
19-09-2019,1434.95,1434.95,1406.55,1412.7
20-09-2019,1415.0,1475.0,1393.0,1469.35
23-09-2019,1490.0,1519.0,1445.0,1470.5
24-09-2019,1479.4,1488.4,1433.2,1453.1
25-09-2019,1456.0,1457.45,1417.75,1427.55
26-09-2019,1435.0,1444.0,1418.9,1429.2
27-09-2019,1431.7,1433.95,1394.1,1400.55
30-09-2019,1404.4,1405.85,1360.2,1395.5
01-10-2019,1398.0,1408.95,1360.5,1369.25
03-10-2019,1355.65,1383.85,1348.55,1379.1
04-10-2019,1385.0,1422.5,1384.95,1400.45
07-10-2019,1409.2,1430.0,1399.0,1410.65
09-10-2019,1407.5,1431.85,1397.55,1425.05
10-10-2019,1422.0,1438.0,1405.5,1412.25
11-10-2019,1419.3,1454.8,1407.95,1448.1
14-10-2019,1457.15,1477.25,1444.8,1451.75
15-10-2019,1459.9,1489.0,1457.0,1483.75
16-10-2019,1484.0,1494.4,1480.0,1483.2
17-10-2019,1489.0,1493.0,1470.65,1487.3
18-10-2019,1491.0,1531.0,1490.35,1507.85
22-10-2019,1502.0,1540.0,1502.0,1519.4
23-10-2019,1520.0,1530.85,1510.0,1513.75
24-10-2019,1518.3,1540.0,1518.3,1536.8
25-10-2019,1540.0,1543.3,1507.35,1519.35
27-10-2019,1527.0,1533.25,1520.0,1529.65
29-10-2019,1526.1,1527.0,1393.0,1431.0
30-10-2019,1459.8,1489.25,1440.0,1461.95
31-10-2019,1471.0,1499.8,1463.05,1484.8
01-11-2019,1492.8,1508.0,1450.1,1460.0
04-11-2019,1461.0,1471.0,1411.0,1414.75
05-11-2019,1423.5,1446.8,1412.5,1414.95
06-11-2019,1416.0,1429.95,1402.05,1413.9
07-11-2019,1422.7,1469.0,1420.5,1463.9
08-11-2019,1467.9,1467.9,1415.0,1418.6
11-11-2019,1425.0,1445.0,1414.15,1419.0
13-11-2019,1420.05,1435.0,1379.15,1388.65
14-11-2019,1394.0,1441.5,1386.3,1419.15
15-11-2019,1437.45,1445.4,1380.0,1397.25
18-11-2019,1419.0,1428.6,1398.2,1403.95
19-11-2019,1408.8,1420.8,1402.0,1410.95
20-11-2019,1422.0,1437.1,1415.0,1421.55
21-11-2019,1428.0,1462.95,1425.0,1455.45
22-11-2019,1459.65,1475.05,1440.65,1451.6
25-11-2019,1451.4,1464.7,1440.15,1450.35
26-11-2019,1455.0,1488.0,1450.65,1458.4
27-11-2019,1467.5,1480.0,1460.0,1463.95
28-11-2019,1465.35,1476.4,1440.0,1444.5
29-11-2019,1453.5,1466.85,1431.0,1441.2
02-12-2019,1450.2,1450.2,1414.45,1416.25
03-12-2019,1423.9,1423.9,1400.0,1404.4
04-12-2019,1404.0,1478.55,1401.05,1470.25
05-12-2019,1471.85,1492.55,1451.6,1483.2
06-12-2019,1479.9,1510.0,1459.6,1465.0
09-12-2019,1466.0,1474.45,1402.7,1411.8
10-12-2019,1412.5,1437.0,1368.0,1373.95
11-12-2019,1380.0,1407.0,1380.0,1390.45
12-12-2019,1395.0,1406.0,1374.75,1385.5
13-12-2019,1393.0,1397.75,1345.0,1353.0
16-12-2019,1370.0,1389.9,1366.0,1370.55
17-12-2019,1369.95,1369.95,1341.35,1363.65
18-12-2019,1371.05,1394.85,1370.0,1384.85
19-12-2019,1385.45,1403.55,1371.15,1396.4
20-12-2019,1400.0,1402.4,1375.5,1379.2
23-12-2019,1378.0,1390.0,1365.55,1386.25
24-12-2019,1391.9,1398.45,1372.2,1375.45
26-12-2019,1384.4,1387.7,1370.45,1379.6
27-12-2019,1379.95,1424.95,1379.5,1418.1
30-12-2019,1421.2,1432.85,1411.6,1418.9
31-12-2019,1417.0,1454.0,1415.0,1442.0
01-01-2020,1440.0,1442.0,1422.2,1426.35
02-01-2020,1428.0,1509.2,1428.0,1494.65
03-01-2020,1494.65,1505.0,1481.55,1486.1
06-01-2020,1480.0,1480.0,1458.15,1462.5
07-01-2020,1475.0,1498.95,1472.55,1478.7
08-01-2020,1464.0,1479.6,1458.0,1473.65
09-01-2020,1490.0,1498.7,1473.0,1479.6
10-01-2020,1484.0,1502.0,1476.0,1485.9
13-01-2020,1493.3,1504.0,1479.45,1483.45
14-01-2020,1485.1,1502.0,1483.9,1493.3
15-01-2020,1488.3,1529.0,1488.0,1511.95
16-01-2020,1519.7,1607.0,1518.05,1591.55
17-01-2020,1595.55,1624.0,1580.0,1618.6
20-01-2020,1620.0,1659.0,1616.5,1629.55
21-01-2020,1629.85,1642.5,1621.0,1626.2
22-01-2020,1643.65,1664.0,1626.5,1634.45
23-01-2020,1638.8,1699.9,1631.25,1686.9
24-01-2020,1690.0,1697.55,1649.1,1668.7
27-01-2020,1668.0,1713.0,1662.0,1696.05
28-01-2020,1695.9,1704.8,1673.8,1677.75
29-01-2020,1687.0,1694.95,1671.05,1688.0
30-01-2020,1685.0,1709.75,1680.25,1690.8
31-01-2020,1699.2,1699.25,1656.45,1660.2
01-02-2020,1658.1,1703.45,1630.0,1654.45
03-02-2020,1616.0,1717.6,1616.0,1695.85
04-02-2020,1695.85,1704.9,1661.0,1671.05
05-02-2020,1681.0,1681.0,1650.0,1657.45
06-02-2020,1665.7,1665.7,1622.2,1645.05
07-02-2020,1649.8,1678.5,1628.0,1663.15
10-02-2020,1663.0,1701.6,1634.5,1665.7
11-02-2020,1670.5,1702.9,1669.0,1697.95
12-02-2020,1705.0,1716.95,1670.55,1683.6
13-02-2020,1675.0,1707.0,1655.0,1695.5
14-02-2020,1721.0,1747.7,1674.45,1704.4
17-02-2020,1727.0,1737.0,1700.1,1715.05
18-02-2020,1716.0,1784.4,1704.8,1774.9
19-02-2020,1774.9,1792.6,1750.7,1780.5
20-02-2020,1790.0,1813.45,1778.25,1800.7
24-02-2020,1796.0,1813.55,1764.25,1797.45
25-02-2020,1798.0,1810.0,1778.0,1790.45
26-02-2020,1785.95,1796.95,1763.0,1767.2
27-02-2020,1765.0,1803.0,1755.1,1795.4
28-02-2020,1780.5,1799.75,1726.1,1735.8
02-03-2020,1750.0,1777.9,1711.2,1728.55
03-03-2020,1738.9,1753.2,1695.0,1725.7
04-03-2020,1727.0,1772.0,1711.65,1755.25
05-03-2020,1764.95,1768.85,1718.6,1727.2
06-03-2020,1700.0,1710.0,1673.0,1688.9
09-03-2020,1650.0,1671.75,1606.1,1640.9
11-03-2020,1629.0,1642.8,1611.0,1629.25
12-03-2020,1580.0,1590.05,1480.3,1508.0
13-03-2020,1380.1,1598.5,1379.0,1513.65
16-03-2020,1431.0,1540.9,1363.35,1472.8
17-03-2020,1492.8,1518.95,1415.45,1426.75
18-03-2020,1454.0,1454.0,1233.55,1282.7
19-03-2020,1195.1,1248.25,1052.35,1180.1
20-03-2020,1190.25,1400.4,1150.0,1362.95
23-03-2020,1226.7,1299.35,1149.0,1158.65
24-03-2020,1250.0,1265.0,1124.15,1156.0
25-03-2020,1180.0,1222.2,1072.05,1183.75
26-03-2020,1190.0,1336.3,1132.0,1215.85
27-03-2020,1259.0,1259.0,1130.3,1167.0
30-03-2020,1139.0,1167.0,1080.15,1098.25
31-03-2020,1122.0,1155.1,1047.05,1139.05
01-04-2020,1136.0,1139.0,1080.05,1088.85
03-04-2020,1094.2,1239.45,1088.05,1189.55
07-04-2020,1236.0,1278.65,1212.5,1225.95
08-04-2020,1225.9,1338.4,1211.0,1263.95
09-04-2020,1266.0,1300.0,1256.65,1279.85
13-04-2020,1300.0,1300.0,1229.8,1279.4
15-04-2020,1295.0,1414.95,1291.6,1360.55
16-04-2020,1370.75,1440.0,1334.05,1423.45
17-04-2020,1450.0,1472.0,1360.0,1374.1
20-04-2020,1385.0,1465.0,1373.0,1450.95
21-04-2020,1416.0,1433.05,1330.1,1351.15
22-04-2020,1351.25,1368.35,1311.4,1348.3
23-04-2020,1372.0,1416.9,1361.8,1384.05
24-04-2020,1360.0,1377.5,1341.1,1359.5
