date,open,high,low,close
22-07-2019,85.7,85.7,83.0,84.2
23-07-2019,84.2,84.2,79.7,82.75
24-07-2019,82.85,95.2,82.85,92.15
25-07-2019,91.45,94.1,89.35,92.75
26-07-2019,91.55,94.0,90.8,91.8
29-07-2019,91.45,95.25,88.2,92.55
30-07-2019,92.15,93.4,87.15,88.85
31-07-2019,88.7,91.35,88.2,90.3
01-08-2019,90.15,92.25,86.5,89.65
02-08-2019,89.2,89.85,86.55,87.5
05-08-2019,86.85,88.55,82.9,86.0
06-08-2019,85.7,94.05,85.7,92.15
07-08-2019,91.45,94.8,90.15,92.7
08-08-2019,91.45,93.55,89.5,92.4
09-08-2019,92.4,100.7,92.4,95.95
13-08-2019,96.4,96.45,89.45,90.9
14-08-2019,90.2,94.95,89.3,92.75
16-08-2019,91.95,92.05,89.35,90.3
19-08-2019,90.5,92.55,89.5,90.2
20-08-2019,90.0,93.4,89.3,91.05
21-08-2019,91.05,91.7,86.7,87.85
22-08-2019,87.3,89.3,82.15,88.45
23-08-2019,88.45,90.95,85.05,89.2
26-08-2019,91.45,92.7,87.8,91.6
27-08-2019,92.05,96.2,91.0,93.45
28-08-2019,95.3,98.2,93.95,95.15
29-08-2019,95.7,95.8,91.8,92.35
30-08-2019,92.35,93.2,89.05,90.35
03-09-2019,89.15,91.25,87.2,88.05
04-09-2019,89.65,89.65,86.7,87.95
05-09-2019,90.05,91.05,88.55,89.2
06-09-2019,89.7,90.35,88.2,88.75
09-09-2019,88.8,92.05,88.05,91.1
11-09-2019,91.7,98.5,90.6,96.55
12-09-2019,96.8,115.85,95.9,106.05
13-09-2019,105.7,108.85,103.6,106.0
16-09-2019,104.1,109.8,104.1,107.55
17-09-2019,107.2,107.95,97.2,99.35
18-09-2019,100.95,103.8,98.2,100.95
19-09-2019,100.95,101.35,95.45,97.3
20-09-2019,97.8,109.75,95.8,104.45
23-09-2019,105.9,110.0,103.45,106.35
24-09-2019,106.35,117.45,105.25,112.15
25-09-2019,112.05,112.15,105.7,107.5
26-09-2019,106.5,116.3,106.5,114.7
27-09-2019,113.55,116.45,109.85,112.15
30-09-2019,111.55,114.1,108.65,111.95
01-10-2019,112.15,116.25,105.75,109.95
