date,open,high,low,close
22-07-2019,118.0,122.85,118.0,120.15
23-07-2019,118.0,122.4,118.0,119.9
24-07-2019,117.45,129.8,107.95,121.85
25-07-2019,115.5,123.05,115.0,116.3
26-07-2019,114.1,120.0,114.1,117.55
29-07-2019,113.0,118.0,113.0,117.55
30-07-2019,115.2,119.0,101.35,110.05
31-07-2019,107.05,112.55,107.05,110.0
01-08-2019,107.05,118.0,107.05,113.35
02-08-2019,109.0,111.1,90.7,98.05
05-08-2019,87.2,93.95,80.35,87.65
06-08-2019,85.05,97.15,85.05,91.0
07-08-2019,95.95,95.95,88.05,89.95
08-08-2019,86.9,91.9,86.1,90.5
09-08-2019,92.35,92.35,90.0,90.15
13-08-2019,90.1,92.55,88.3,90.35
14-08-2019,88.0,91.95,86.0,88.15
16-08-2019,87.15,88.0,83.4,85.05
19-08-2019,87.85,92.95,84.0,88.9
20-08-2019,86.5,91.85,86.5,89.45
21-08-2019,88.0,94.05,86.6,91.75
22-08-2019,92.95,93.05,87.3,89.0
23-08-2019,89.0,98.7,85.05,95.95
26-08-2019,94.0,100.15,90.3,98.6
27-08-2019,99.95,107.0,92.0,102.25
28-08-2019,100.0,107.0,92.7,104.25
29-08-2019,101.1,107.9,96.05,99.95
30-08-2019,103.55,106.9,103.55,104.55
03-09-2019,109.0,109.0,100.25,103.0
04-09-2019,103.0,105.0,98.6,100.0
05-09-2019,100.0,105.9,100.0,105.9
06-09-2019,105.9,110.0,105.9,108.95
09-09-2019,108.0,108.0,102.35,106.95
11-09-2019,114.9,115.0,105.3,114.35
12-09-2019,112.0,114.35,105.0,109.95
13-09-2019,103.3,114.9,103.3,112.0
16-09-2019,112.0,112.0,108.55,109.9
17-09-2019,105.5,118.5,102.9,103.75
18-09-2019,111.0,119.9,107.6,110.05
19-09-2019,108.3,113.65,104.05,105.35
20-09-2019,116.7,116.7,101.1,104.3
23-09-2019,114.45,118.9,106.45,110.6
24-09-2019,107.1,115.0,104.0,105.6
25-09-2019,105.6,112.95,103.0,106.55
26-09-2019,103.25,111.0,103.25,108.45
27-09-2019,106.0,109.6,103.5,104.55
30-09-2019,112.0,112.0,101.05,101.55
01-10-2019,103.15,111.15,103.15,106.7
03-10-2019,110.95,110.95,104.0,104.9
04-10-2019,104.9,108.75,102.15,105.3
07-10-2019,101.4,107.0,101.4,103.05
09-10-2019,100.1,108.4,100.05,103.0
10-10-2019,108.8,108.8,101.4,104.55
11-10-2019,103.0,103.8,95.25,98.9
14-10-2019,100.0,103.45,97.0,97.35
15-10-2019,95.7,101.6,95.7,97.6
17-10-2019,97.0,104.15,94.6,100.25
18-10-2019,97.05,109.7,97.05,102.2
22-10-2019,97.15,109.45,97.15,99.4
23-10-2019,97.05,102.9,95.8,96.15
24-10-2019,96.15,108.9,92.6,101.7
25-10-2019,105.0,105.0,100.0,100.0
27-10-2019,101.6,109.05,98.45,103.5
29-10-2019,108.0,108.0,99.05,103.9
30-10-2019,103.9,103.9,97.15,100.5
31-10-2019,100.05,103.0,100.0,100.3
01-11-2019,100.5,104.05,98.1,99.2
04-11-2019,99.0,105.9,98.1,103.4
05-11-2019,102.8,103.65,99.0,101.85
06-11-2019,103.95,103.95,99.05,100.0
07-11-2019,109.0,109.0,99.95,101.9
08-11-2019,105.0,105.4,100.0,100.0
11-11-2019,104.9,104.9,98.2,100.0
13-11-2019,102.8,103.0,98.0,101.2
14-11-2019,101.2,102.7,94.0,95.95
15-11-2019,91.6,101.9,91.6,95.1
18-11-2019,94.05,98.0,94.05,95.25
19-11-2019,94.3,98.5,94.3,97.0
20-11-2019,95.05,102.0,95.05,101.75
21-11-2019,96.15,104.05,96.15,98.5
22-11-2019,99.0,102.9,97.3,100.25
25-11-2019,105.0,105.0,98.0,99.05
26-11-2019,102.0,102.0,98.0,100.0
27-11-2019,114.9,114.9,96.05,98.95
28-11-2019,99.0,101.8,97.35,99.0
29-11-2019,98.0,104.85,97.05,103.75
02-12-2019,96.0,104.7,96.0,101.0
03-12-2019,100.0,104.75,100.0,102.35
04-12-2019,106.75,106.75,99.1,103.0
