date,open,high,low,close
22-07-2019,144.05,144.05,138.4,140.15
23-07-2019,140.15,142.1,138.65,140.65
24-07-2019,141.4,141.95,138.1,139.6
25-07-2019,138.8,140.55,136.8,139.6
26-07-2019,138.85,140.25,137.35,139.9
29-07-2019,140.05,140.05,135.8,138.0
30-07-2019,137.35,139.9,136.25,137.4
31-07-2019,137.4,140.05,133.95,134.55
01-08-2019,133.4,135.45,123.55,129.4
02-08-2019,129.85,137.05,123.85,132.9
05-08-2019,129.65,130.75,124.95,127.0
06-08-2019,125.7,140.2,124.25,134.1
07-08-2019,135.15,138.9,134.6,136.25
08-08-2019,137.7,140.9,135.75,138.85
09-08-2019,137.7,146.8,137.05,144.8
13-08-2019,144.05,149.95,140.25,143.75
14-08-2019,142.5,146.15,139.05,140.65
16-08-2019,140.25,142.1,136.55,141.35
19-08-2019,138.35,142.85,137.15,138.2
20-08-2019,137.05,139.45,134.65,134.85
21-08-2019,134.85,135.55,128.4,129.1
22-08-2019,129.1,131.35,123.2,124.5
23-08-2019,124.5,133.55,120.35,131.9
26-08-2019,133.4,140.2,132.2,138.85
27-08-2019,139.0,140.65,136.55,139.45
28-08-2019,139.75,141.8,137.7,139.85
29-08-2019,140.15,141.2,136.6,138.25
30-08-2019,138.05,140.05,135.9,137.55
03-09-2019,133.65,137.7,131.75,135.2
04-09-2019,134.3,144.95,134.25,143.4
05-09-2019,143.9,149.05,143.45,148.75
06-09-2019,148.45,149.65,147.8,148.85
09-09-2019,148.45,149.7,145.3,148.9
11-09-2019,149.8,152.2,146.25,150.4
12-09-2019,149.7,153.3,148.0,148.4
13-09-2019,150.35,152.9,147.15,152.25
16-09-2019,151.6,160.25,149.25,155.25
17-09-2019,155.25,155.4,146.3,148.5
18-09-2019,150.25,151.6,147.3,150.25
19-09-2019,147.6,151.6,142.75,150.55
20-09-2019,149.3,156.65,147.9,150.35
23-09-2019,150.45,153.0,149.05,150.85
24-09-2019,151.0,155.95,148.6,154.55
25-09-2019,154.55,154.55,150.7,152.05
26-09-2019,153.5,153.5,151.05,152.7
27-09-2019,151.0,152.9,149.25,149.75
30-09-2019,152.2,152.2,141.75,144.65
01-10-2019,150.85,150.85,140.95,144.6
03-10-2019,144.6,149.7,142.75,145.35
04-10-2019,145.5,148.1,142.1,142.7
07-10-2019,142.75,143.25,134.55,135.9
09-10-2019,135.95,137.55,115.95,132.75
10-10-2019,132.5,136.35,128.95,131.05
11-10-2019,130.9,135.45,128.45,135.0
14-10-2019,138.0,141.3,134.15,137.8
15-10-2019,139.3,139.6,135.8,137.7
16-10-2019,138.85,140.5,136.75,139.15
17-10-2019,139.9,147.5,134.2,143.8
18-10-2019,143.0,152.9,143.0,150.25
22-10-2019,149.7,160.35,147.15,151.65
23-10-2019,151.95,153.5,148.65,150.5
24-10-2019,148.45,153.5,146.6,149.85
25-10-2019,147.2,158.3,147.2,152.4
27-10-2019,150.35,153.05,149.05,150.55
29-10-2019,149.7,158.95,149.2,156.85
30-10-2019,156.9,157.3,148.45,150.55
31-10-2019,152.05,152.7,145.7,150.8
01-11-2019,147.8,152.5,147.25,149.25
04-11-2019,147.4,151.45,147.3,149.8
05-11-2019,151.3,151.45,142.85,144.15
06-11-2019,142.1,147.6,142.1,146.1
07-11-2019,146.95,147.8,142.85,144.8
08-11-2019,143.4,144.5,141.55,142.25
11-11-2019,142.25,144.65,140.45,142.2
13-11-2019,142.75,151.2,140.4,142.9
14-11-2019,144.25,148.05,142.9,145.5
15-11-2019,147.8,147.8,142.9,143.55
18-11-2019,142.25,147.8,142.25,145.75
19-11-2019,146.85,149.0,141.25,144.9
20-11-2019,143.7,153.35,143.7,148.55
21-11-2019,149.05,151.0,146.65,148.9
22-11-2019,150.45,153.5,147.95,151.55
25-11-2019,151.55,159.45,149.35,156.85
26-11-2019,157.7,158.4,153.5,153.8
27-11-2019,153.05,155.25,151.8,153.15
28-11-2019,153.5,163.0,153.25,160.9
29-11-2019,160.75,160.75,156.05,156.35
02-12-2019,156.05,156.9,152.95,153.4
03-12-2019,152.35,158.5,148.8,155.95
04-12-2019,154.75,155.75,151.9,153.3
05-12-2019,152.55,154.05,148.6,150.5
06-12-2019,150.5,151.4,144.65,145.35
09-12-2019,147.45,147.45,142.1,142.6
10-12-2019,143.7,143.7,136.05,137.8
11-12-2019,138.6,140.65,135.85,139.25
12-12-2019,137.75,142.9,135.85,141.65
13-12-2019,137.7,146.15,137.7,143.3
16-12-2019,144.35,144.55,141.6,142.5
17-12-2019,140.95,144.95,138.35,144.15
18-12-2019,144.6,144.6,140.85,142.7
19-12-2019,139.85,143.05,139.75,140.5
20-12-2019,140.25,142.9,138.85,140.8
23-12-2019,142.1,146.35,139.85,142.0
24-12-2019,141.8,144.9,140.85,141.2
26-12-2019,141.25,142.1,138.4,140.45
27-12-2019,141.85,142.1,139.1,140.25
30-12-2019,139.0,141.05,137.1,138.2
31-12-2019,138.7,143.3,137.75,138.4
01-01-2020,137.55,141.85,137.55,138.55
02-01-2020,138.65,143.1,137.4,142.5
03-01-2020,143.7,144.65,140.45,141.1
06-01-2020,140.25,140.85,134.25,135.0
07-01-2020,135.9,138.9,135.9,136.95
08-01-2020,132.65,137.7,131.4,134.55
09-01-2020,136.35,140.0,136.35,138.6
10-01-2020,140.25,141.5,136.35,138.0
13-01-2020,138.35,143.2,138.35,139.9
14-01-2020,140.8,142.7,138.2,140.45
15-01-2020,141.65,141.65,130.15,132.8
16-01-2020,134.5,141.95,133.95,137.55
17-01-2020,135.8,139.55,135.8,137.45
20-01-2020,137.45,138.9,137.4,137.85
21-01-2020,137.7,139.55,135.95,138.8
22-01-2020,139.0,139.15,134.0,136.05
23-01-2020,138.3,138.85,135.2,138.25
24-01-2020,137.1,138.85,136.15,136.8
27-01-2020,138.35,138.35,135.95,136.95
28-01-2020,136.65,138.85,134.3,135.0
29-01-2020,133.7,137.3,132.25,133.55
30-01-2020,132.8,138.25,130.2,135.6
31-01-2020,135.6,137.55,133.65,134.8
01-02-2020,134.8,136.75,116.2,128.95
03-02-2020,128.8,136.95,127.0,135.2
04-02-2020,137.7,142.7,136.7,140.95
05-02-2020,140.25,143.4,139.85,142.95
06-02-2020,142.45,145.25,141.95,144.65
07-02-2020,145.3,145.35,142.8,144.5
10-02-2020,143.1,147.15,143.1,146.4
11-02-2020,147.6,152.9,145.0,152.05
12-02-2020,151.05,154.75,150.25,151.6
13-02-2020,151.7,157.9,148.6,153.65
14-02-2020,154.4,155.35,147.25,152.7
17-02-2020,148.95,156.65,148.8,153.5
18-02-2020,153.5,161.05,150.35,155.5
19-02-2020,152.1,160.05,152.05,159.0
20-02-2020,157.3,161.65,155.35,158.6
24-02-2020,156.8,158.5,155.05,157.55
25-02-2020,156.75,165.5,155.15,163.3
26-02-2020,165.5,165.5,161.05,164.1
27-02-2020,162.85,165.55,158.7,164.2
28-02-2020,160.45,160.45,151.6,156.55
02-03-2020,154.75,165.15,152.35,157.1
03-03-2020,157.95,160.45,152.25,155.95
04-03-2020,157.9,160.45,152.9,157.6
05-03-2020,156.35,158.9,153.2,154.55
06-03-2020,149.0,155.4,145.3,155.05
09-03-2020,150.35,162.85,148.5,156.05
11-03-2020,156.05,161.05,153.35,154.1
12-03-2020,155.95,155.95,126.8,128.4
13-03-2020,113.9,149.0,102.75,139.45
16-03-2020,139.0,139.0,121.55,123.3
17-03-2020,124.45,131.6,113.4,114.8
18-03-2020,119.9,121.85,112.45,113.7
19-03-2020,112.45,119.4,107.35,117.55
20-03-2020,116.85,120.8,113.9,117.6
23-03-2020,108.65,137.95,102.7,104.6
24-03-2020,110.9,110.9,105.0,105.6
25-03-2020,103.65,106.15,102.95,103.5
26-03-2020,104.35,114.3,104.35,107.9
27-03-2020,113.7,114.85,108.65,112.6
30-03-2020,109.9,111.0,100.55,103.95
31-03-2020,103.95,107.35,97.6,102.25
01-04-2020,102.85,103.1,94.9,99.45
03-04-2020,102.1,106.15,94.75,98.0
07-04-2020,102.8,102.95,98.2,99.6
08-04-2020,98.55,102.9,97.9,99.55
09-04-2020,100.4,113.25,85.6,104.8
13-04-2020,106.75,106.75,98.55,100.55
15-04-2020,98.0,104.25,95.8,98.0
16-04-2020,98.0,105.5,96.5,102.0
17-04-2020,105.15,106.15,96.35,98.3
20-04-2020,99.8,104.15,99.15,100.85
21-04-2020,100.35,101.3,96.65,100.25
22-04-2020,100.3,101.3,97.3,98.25
23-04-2020,100.7,102.25,96.65,97.8
24-04-2020,97.65,100.25,97.6,97.95
27-04-2020,97.9,111.25,93.5,105.35
28-04-2020,104.85,104.85,100.1,100.7
29-04-2020,103.0,103.6,98.2,100.25
30-04-2020,101.1,109.25,99.8,106.0
04-05-2020,100.1,101.7,99.2,99.6
05-05-2020,100.0,103.5,96.35,97.15
06-05-2020,97.9,99.05,94.15,94.75
07-05-2020,96.5,97.6,92.85,93.25
08-05-2020,95.65,95.65,90.35,91.15
11-05-2020,90.05,93.15,83.45,85.5
12-05-2020,87.0,88.3,82.1,86.5
13-05-2020,90.95,91.6,87.8,88.85
14-05-2020,88.2,88.4,86.35,86.95
15-05-2020,89.65,89.65,86.1,86.55
18-05-2020,86.15,88.0,75.85,76.6
19-05-2020,77.7,79.65,69.05,71.25
20-05-2020,71.5,85.45,70.2,84.6
21-05-2020,84.05,84.55,77.1,77.65
22-05-2020,78.65,80.85,75.85,76.55
26-05-2020,77.05,78.95,75.5,75.95
27-05-2020,74.55,77.65,73.3,76.35
28-05-2020,77.05,78.65,75.8,76.35
29-05-2020,76.35,77.4,75.15,76.2
01-06-2020,76.55,81.8,74.65,78.2
02-06-2020,78.8,85.15,77.15,83.05
03-06-2020,83.1,86.55,83.1,84.1
04-06-2020,83.5,84.75,80.45,82.0
05-06-2020,82.65,85.9,80.25,81.3
08-06-2020,83.95,85.9,82.4,84.55
09-06-2020,85.4,91.3,85.3,88.2
10-06-2020,88.65,97.75,88.45,94.95
11-06-2020,94.95,97.9,89.9,90.5
12-06-2020,86.55,104.15,86.55,100.55
15-06-2020,100.8,110.2,100.8,105.25
16-06-2020,107.7,109.9,104.25,105.75
17-06-2020,107.35,108.65,102.05,106.65
18-06-2020,107.4,109.8,104.45,106.2
19-06-2020,109.9,112.25,106.3,107.25
22-06-2020,107.8,110.55,107.8,109.15
23-06-2020,109.9,117.4,109.9,116.0
24-06-2020,118.15,137.65,117.5,136.35
25-06-2020,137.65,142.1,131.75,134.15
26-06-2020,136.35,138.9,132.65,136.55
29-06-2020,138.35,138.9,131.05,132.05
30-06-2020,133.3,138.4,130.15,132.8
01-07-2020,136.45,139.75,129.55,135.6
02-07-2020,135.7,136.8,133.05,134.15
03-07-2020,135.8,137.7,133.4,134.4
06-07-2020,134.4,136.95,133.6,134.15
07-07-2020,135.05,136.35,131.9,132.85
08-07-2020,132.85,134.55,130.75,131.2
09-07-2020,132.05,133.5,130.8,132.2
10-07-2020,130.35,132.65,128.2,131.9
13-07-2020,132.6,133.9,130.85,132.5
14-07-2020,129.5,132.65,129.5,131.15
15-07-2020,130.75,133.1,129.85,130.45
