date,open,high,low,close
22-07-2019,126.8,126.9,120.1,121.75
23-07-2019,122.9,126.75,120.55,125.0
24-07-2019,121.3,124.2,121.25,122.0
25-07-2019,123.35,124.2,121.6,123.0
26-07-2019,121.75,127.5,121.55,126.3
29-07-2019,126.3,127.3,122.3,123.35
30-07-2019,123.5,124.0,121.5,123.15
31-07-2019,122.05,123.75,120.8,123.5
01-08-2019,121.75,124.0,118.5,121.75
02-08-2019,121.1,126.1,120.3,125.05
05-08-2019,124.75,124.75,116.1,122.1
06-08-2019,120.85,124.3,119.7,121.2
07-08-2019,122.0,125.0,109.5,112.85
08-08-2019,114.0,118.6,113.0,118.0
09-08-2019,119.9,122.95,118.4,121.75
13-08-2019,121.75,123.35,120.0,122.1
14-08-2019,122.1,122.4,120.0,121.45
16-08-2019,120.8,124.2,120.6,122.85
19-08-2019,120.85,124.9,119.85,120.75
20-08-2019,120.5,122.75,120.5,122.05
21-08-2019,122.8,123.0,117.5,118.25
22-08-2019,118.0,119.1,113.0,115.3
23-08-2019,116.0,120.8,114.45,119.0
26-08-2019,122.1,122.1,117.75,118.25
27-08-2019,118.25,120.75,116.65,116.9
28-08-2019,118.8,119.35,117.0,117.55
29-08-2019,118.05,118.5,116.0,116.95
30-08-2019,117.0,119.25,116.1,118.15
03-09-2019,117.05,121.9,116.8,119.05
04-09-2019,118.0,119.75,116.45,116.8
05-09-2019,117.1,118.85,115.65,116.65
06-09-2019,116.3,119.5,115.4,118.8
09-09-2019,119.5,120.5,116.4,117.9
11-09-2019,117.9,121.0,117.9,119.75
12-09-2019,121.95,122.1,120.05,121.1
13-09-2019,119.6,122.2,119.6,121.2
16-09-2019,121.8,129.5,120.0,126.15
17-09-2019,128.5,129.05,126.25,128.25
18-09-2019,129.5,131.0,122.05,123.4
19-09-2019,122.4,124.85,118.65,120.05
20-09-2019,119.25,124.9,119.25,123.35
23-09-2019,124.9,125.75,122.05,124.55
24-09-2019,125.3,125.4,122.05,122.75
25-09-2019,127.9,129.0,123.0,123.85
26-09-2019,125.7,125.7,120.7,121.45
27-09-2019,123.3,123.3,119.6,120.15
30-09-2019,120.2,122.5,117.0,118.05
01-10-2019,117.65,118.8,114.05,115.95
03-10-2019,113.2,121.0,113.2,119.8
04-10-2019,120.65,121.5,119.0,120.0
07-10-2019,122.5,122.5,116.0,116.15
09-10-2019,116.15,119.4,115.2,117.05
10-10-2019,116.55,118.8,116.55,117.95
11-10-2019,117.05,119.35,116.6,118.0
14-10-2019,118.0,118.95,117.0,117.5
15-10-2019,117.25,119.8,117.05,119.2
16-10-2019,119.2,120.7,117.65,119.9
17-10-2019,119.0,119.0,116.25,117.1
18-10-2019,117.25,119.35,117.1,118.2
22-10-2019,121.45,125.9,120.3,125.0
23-10-2019,126.5,126.5,124.0,125.0
24-10-2019,126.6,126.6,124.1,124.95
25-10-2019,125.95,126.0,123.75,125.55
27-10-2019,126.0,128.65,122.35,125.4
29-10-2019,125.0,128.45,123.85,127.5
30-10-2019,128.9,128.9,126.25,127.5
31-10-2019,128.9,139.45,126.25,135.05
01-11-2019,138.0,147.0,135.55,141.55
04-11-2019,141.55,146.55,141.1,142.45
05-11-2019,143.85,144.75,138.0,140.8
06-11-2019,143.9,143.9,137.6,138.6
07-11-2019,138.0,144.35,137.7,140.95
08-11-2019,139.0,146.5,138.0,144.75
11-11-2019,143.1,149.7,142.65,145.05
13-11-2019,145.0,147.5,140.1,145.95
14-11-2019,146.0,155.0,142.75,152.85
15-11-2019,153.6,157.6,142.45,149.2
18-11-2019,150.5,156.1,147.5,151.9
19-11-2019,154.5,155.0,151.25,152.95
20-11-2019,154.9,154.9,148.0,149.3
21-11-2019,149.0,151.7,145.0,145.3
22-11-2019,146.8,146.8,140.3,144.95
25-11-2019,142.5,148.1,142.5,145.55
26-11-2019,145.05,154.95,144.3,150.25
27-11-2019,150.25,153.75,150.0,151.9
28-11-2019,152.75,154.4,151.05,153.9
29-11-2019,152.3,163.1,151.0,160.4
02-12-2019,157.7,158.45,154.15,157.15
03-12-2019,157.85,157.85,152.3,155.4
04-12-2019,154.0,157.35,151.5,155.1
05-12-2019,155.95,158.4,153.15,156.25
06-12-2019,157.4,158.0,153.1,155.3
