date,open,high,low,close
22-07-2019,479.55,500.35,475.25,494.8
23-07-2019,490.05,529.0,490.05,516.35
24-07-2019,511.55,526.35,491.0,494.5
25-07-2019,492.1,509.9,487.25,502.2
26-07-2019,497.0,505.0,497.0,503.1
29-07-2019,500.55,510.0,500.55,505.0
30-07-2019,503.0,506.85,495.0,500.35
31-07-2019,501.0,515.0,495.95,510.2
01-08-2019,502.0,508.95,498.0,500.15
02-08-2019,485.1,505.1,485.1,500.65
05-08-2019,500.0,511.0,485.95,500.35
06-08-2019,491.15,501.75,491.15,496.7
07-08-2019,498.0,498.0,492.5,494.15
08-08-2019,492.05,497.5,491.9,495.25
09-08-2019,495.1,497.2,490.15,495.0
13-08-2019,495.05,501.75,480.5,485.5
14-08-2019,482.05,489.0,482.0,485.8
16-08-2019,482.55,498.45,477.8,482.5
19-08-2019,482.0,495.0,467.1,492.3
20-08-2019,489.45,493.8,481.55,482.8
21-08-2019,481.0,485.0,479.25,480.45
22-08-2019,480.4,493.0,466.05,479.75
23-08-2019,475.15,498.5,467.0,487.05
26-08-2019,498.5,498.5,478.35,479.3
27-08-2019,478.0,485.45,478.0,481.6
28-08-2019,481.7,498.0,481.7,492.25
29-08-2019,492.2,505.0,480.25,502.2
30-08-2019,499.1,505.0,495.0,500.5
03-09-2019,503.05,509.0,486.0,489.9
04-09-2019,489.55,495.25,483.15,485.0
05-09-2019,497.95,502.0,476.2,482.3
06-09-2019,488.0,505.25,479.95,480.3
09-09-2019,480.35,486.1,466.1,470.55
11-09-2019,470.55,483.5,468.15,474.5
12-09-2019,472.2,498.0,472.2,480.9
13-09-2019,480.9,489.95,480.9,488.0
16-09-2019,488.0,494.9,482.05,486.25
17-09-2019,482.15,500.45,480.1,481.7
18-09-2019,497.9,497.9,483.4,490.25
19-09-2019,492.35,492.35,475.65,478.1
20-09-2019,494.95,499.8,472.0,487.3
23-09-2019,492.35,517.85,492.35,510.4
24-09-2019,510.45,516.5,498.75,506.15
25-09-2019,508.05,509.0,498.0,503.0
26-09-2019,503.9,506.05,497.05,500.0
27-09-2019,495.0,501.0,490.8,497.5
30-09-2019,483.7,503.9,483.0,485.65
01-10-2019,487.8,489.9,479.5,484.0
03-10-2019,498.0,498.0,482.35,487.45
04-10-2019,494.5,494.5,481.4,489.45
07-10-2019,503.95,503.95,480.3,488.8
09-10-2019,484.35,486.8,478.35,485.8
10-10-2019,486.3,486.75,477.0,481.65
11-10-2019,481.8,484.6,476.5,480.9
14-10-2019,488.0,488.0,473.15,476.8
15-10-2019,474.1,484.95,473.15,474.7
16-10-2019,475.55,485.0,473.0,481.8
17-10-2019,481.7,511.1,481.7,499.5
18-10-2019,500.6,508.95,497.05,502.7
22-10-2019,502.05,536.0,502.0,522.65
23-10-2019,523.0,545.55,518.0,537.1
24-10-2019,540.95,574.0,538.0,569.7
25-10-2019,571.3,617.0,560.3,592.4
27-10-2019,596.05,615.3,590.35,607.3
29-10-2019,600.2,622.0,590.0,617.25
30-10-2019,604.05,640.0,604.05,623.95
31-10-2019,624.05,661.5,624.05,646.85
01-11-2019,666.0,666.0,629.1,636.35
04-11-2019,637.0,637.0,605.0,619.85
05-11-2019,619.85,631.0,603.55,616.55
06-11-2019,634.95,634.95,608.0,612.05
07-11-2019,610.0,641.0,608.0,634.5
08-11-2019,640.0,642.5,615.6,623.6
11-11-2019,624.2,624.25,600.5,604.85
13-11-2019,611.0,611.95,582.35,590.55
14-11-2019,597.95,597.95,582.55,584.65
15-11-2019,583.1,590.0,562.0,566.25
18-11-2019,561.25,598.5,561.25,587.35
19-11-2019,582.25,606.05,582.25,603.25
20-11-2019,615.8,618.8,592.3,600.4
21-11-2019,604.4,612.95,578.45,584.2
22-11-2019,584.15,588.75,576.85,580.05
25-11-2019,580.25,605.0,580.25,596.65
26-11-2019,581.3,610.0,581.3,599.9
27-11-2019,593.05,596.6,585.0,589.6
28-11-2019,599.0,599.0,580.1,584.0
29-11-2019,588.95,608.0,578.45,598.65
02-12-2019,607.55,615.0,590.2,608.75
03-12-2019,607.05,627.5,607.0,625.95
04-12-2019,618.0,628.0,617.95,624.65
05-12-2019,619.6,627.65,608.75,616.7
06-12-2019,610.55,624.95,597.4,610.45
09-12-2019,614.85,615.0,597.0,609.5
10-12-2019,607.15,628.0,597.3,606.7
11-12-2019,610.0,642.0,608.5,635.2
12-12-2019,640.0,653.45,625.0,632.15
13-12-2019,637.05,639.85,611.9,623.3
16-12-2019,635.95,635.95,611.1,615.45
17-12-2019,622.0,629.65,608.15,613.35
18-12-2019,617.95,625.0,606.15,613.9
19-12-2019,621.9,621.9,605.4,608.4
20-12-2019,618.85,644.0,611.0,633.2
23-12-2019,621.15,633.0,615.65,629.25
24-12-2019,630.0,644.15,623.1,638.85
26-12-2019,644.0,647.0,632.65,640.5
27-12-2019,646.75,650.0,635.1,642.7
30-12-2019,642.7,651.85,635.0,641.95
31-12-2019,637.65,640.0,615.55,629.25
01-01-2020,631.3,651.15,630.0,649.65
02-01-2020,653.25,687.9,653.25,669.55
03-01-2020,688.95,689.0,662.75,675.85
06-01-2020,677.0,677.05,630.0,635.7
07-01-2020,643.85,664.9,635.7,644.55
08-01-2020,630.3,644.0,630.3,640.15
09-01-2020,658.95,670.0,642.35,651.65
10-01-2020,649.05,660.0,636.3,646.45
13-01-2020,642.0,682.3,642.0,675.9
14-01-2020,679.95,683.9,675.05,678.15
15-01-2020,693.95,737.0,671.45,723.7
16-01-2020,722.0,725.5,702.95,707.0
17-01-2020,704.95,719.9,702.15,710.75
20-01-2020,709.95,718.0,691.1,699.65
21-01-2020,699.65,713.0,681.1,706.95
22-01-2020,710.0,718.95,696.05,712.35
23-01-2020,701.05,702.15,660.0,679.6
24-01-2020,684.9,707.0,675.5,695.4
27-01-2020,695.05,721.0,680.05,706.85
28-01-2020,706.85,720.05,698.0,706.4
29-01-2020,721.0,722.95,699.45,712.8
30-01-2020,724.95,724.95,691.0,692.6
31-01-2020,696.05,715.0,675.05,696.4
01-02-2020,686.0,704.6,665.1,676.7
03-02-2020,678.95,695.9,668.15,686.35
04-02-2020,680.5,693.55,680.5,691.0
05-02-2020,684.15,709.9,684.05,703.55
06-02-2020,693.0,731.75,693.0,703.75
07-02-2020,700.0,708.65,692.05,701.85
10-02-2020,701.9,708.0,681.5,699.85
11-02-2020,695.0,707.9,689.4,703.35
12-02-2020,707.3,718.2,685.0,691.2
13-02-2020,701.85,705.0,690.5,696.15
14-02-2020,700.3,710.0,684.15,704.25
17-02-2020,714.0,714.0,677.15,683.75
18-02-2020,679.9,699.7,676.45,696.15
19-02-2020,706.9,706.9,676.0,690.1
