date,open,high,low,close
10-08-2023,47.95,47.95,45.55,45.55
11-08-2023,43.3,43.3,43.3,43.3
14-08-2023,41.15,41.15,41.15,41.15
16-08-2023,39.1,39.1,39.1,39.1
17-08-2023,37.15,39.1,37.15,37.85
18-08-2023,35.95,38.0,35.95,36.6
21-08-2023,37.7,38.0,36.55,36.85
22-08-2023,35.3,36.0,35.0,35.0
23-08-2023,33.6,35.25,33.25,34.75
24-08-2023,34.95,36.45,34.75,36.3
25-08-2023,36.55,41.6,36.55,37.2
28-08-2023,37.75,38.3,34.5,35.65
29-08-2023,36.1,37.7,36.1,36.75
30-08-2023,36.75,37.25,35.05,35.75
31-08-2023,35.2,36.4,33.1,33.8
01-09-2023,33.95,34.5,32.85,33.35
04-09-2023,33.95,34.45,32.1,32.75
05-09-2023,32.8,33.55,31.3,31.5
06-09-2023,31.7,35.8,31.65,35.5
07-09-2023,35.9,36.0,34.85,35.25
08-09-2023,35.1,36.3,32.65,33.8
11-09-2023,34.3,35.3,33.65,34.05
12-09-2023,34.9,34.9,32.75,33.2
13-09-2023,33.2,33.8,32.5,33.15
14-09-2023,33.65,33.7,32.75,33.15
15-09-2023,33.0,34.1,32.9,33.1
18-09-2023,33.2,35.55,32.7,34.75
20-09-2023,34.55,35.45,34.0,35.05
21-09-2023,35.1,37.45,34.8,36.6
22-09-2023,37.2,37.8,35.7,36.1
25-09-2023,36.1,37.2,35.5,36.4
26-09-2023,36.4,36.95,34.75,35.1
27-09-2023,35.2,35.65,33.85,34.0
28-09-2023,34.3,34.75,33.8,34.0
29-09-2023,34.25,35.5,33.9,34.15
03-10-2023,34.7,35.4,34.25,34.5
04-10-2023,35.0,35.0,33.55,34.1
05-10-2023,34.45,36.8,34.3,36.15
06-10-2023,36.95,39.2,36.5,38.85
09-10-2023,38.25,39.5,36.75,36.9
10-10-2023,37.55,38.95,37.5,38.55
11-10-2023,39.3,42.0,38.75,40.8
12-10-2023,41.25,43.35,40.5,42.8
13-10-2023,43.25,43.25,41.45,41.75
16-10-2023,41.3,42.9,40.55,41.7
17-10-2023,42.05,44.4,41.6,43.2
18-10-2023,43.5,46.6,42.85,43.55
19-10-2023,43.6,45.25,42.75,44.65
20-10-2023,45.15,46.1,43.5,44.05
23-10-2023,44.4,45.45,40.65,40.85
25-10-2023,40.25,42.0,38.6,39.1
26-10-2023,39.0,39.4,37.25,38.55
27-10-2023,39.2,40.25,38.0,38.3
30-10-2023,38.5,39.5,37.95,38.65
