date,open,high,low,close
22-07-2019,3650.0,3670.15,3530.0,3603.0
23-07-2019,3600.0,3711.7,3569.1,3699.6
24-07-2019,3653.65,3720.0,3628.45,3662.35
25-07-2019,3670.1,3700.0,3586.05,3678.3
26-07-2019,3679.9,3697.7,3602.05,3660.65
29-07-2019,3744.0,3744.0,3590.0,3615.75
30-07-2019,3590.0,3690.0,3590.0,3646.8
31-07-2019,3672.0,3687.45,3630.35,3641.1
01-08-2019,3626.0,3665.05,3561.3,3615.0
02-08-2019,3674.0,3674.0,3559.95,3583.9
05-08-2019,3579.0,3617.7,3535.3,3595.45
06-08-2019,3644.9,3678.45,3605.9,3632.55
07-08-2019,3673.0,3673.0,3609.85,3645.9
08-08-2019,3646.1,3665.0,3580.1,3592.25
09-08-2019,3599.95,3647.6,3580.05,3625.75
13-08-2019,3657.7,3688.95,3605.0,3622.45
14-08-2019,3648.0,3665.2,3601.0,3618.35
16-08-2019,3606.2,3615.3,3560.0,3577.25
19-08-2019,3546.0,3610.0,3546.0,3599.8
20-08-2019,3599.8,3654.7,3525.55,3623.05
21-08-2019,3623.05,3648.95,3506.0,3541.05
22-08-2019,3548.95,3575.0,3480.0,3532.0
23-08-2019,3572.85,3572.85,3503.55,3560.2
26-08-2019,3597.0,3609.95,3501.0,3528.5
27-08-2019,3528.5,3574.7,3501.3,3520.55
28-08-2019,3503.1,3527.0,3485.1,3499.3
29-08-2019,3509.0,3520.0,3460.0,3480.45
30-08-2019,3513.85,3550.0,3480.25,3547.25
03-09-2019,3594.4,3594.4,3464.8,3489.85
04-09-2019,3471.0,3511.95,3425.55,3445.1
05-09-2019,3460.0,3519.0,3440.05,3451.85
06-09-2019,3473.1,3498.2,3455.0,3467.65
09-09-2019,3499.0,3520.0,3461.0,3515.25
11-09-2019,3500.0,3700.0,3500.0,3684.6
12-09-2019,3695.0,3792.0,3692.85,3744.4
13-09-2019,3780.0,3796.5,3720.05,3736.9
16-09-2019,3765.0,3889.0,3716.75,3827.2
17-09-2019,3870.0,3898.85,3680.0,3700.5
18-09-2019,3721.5,3744.3,3700.5,3706.45
19-09-2019,3717.75,3734.9,3670.0,3673.9
20-09-2019,3697.95,3834.95,3650.0,3801.0
23-09-2019,3879.0,4015.9,3832.35,3946.6
24-09-2019,4015.1,4015.1,3930.1,3945.4
25-09-2019,3964.9,4042.0,3948.1,3991.25
26-09-2019,4009.95,4010.0,3900.0,3916.35
27-09-2019,3916.35,4050.0,3916.35,4032.5
30-09-2019,4050.0,4079.95,3971.25,3996.8
01-10-2019,3997.0,4070.0,3942.0,3975.6
03-10-2019,3976.55,4025.0,3953.55,4015.55
04-10-2019,4010.0,4035.0,3950.0,3963.45
07-10-2019,3992.6,3992.6,3910.05,3966.3
09-10-2019,3980.0,3998.0,3927.0,3943.1
10-10-2019,3943.1,3986.4,3870.0,3896.4
11-10-2019,3916.9,4050.0,3881.0,3993.4
14-10-2019,4038.1,4050.0,3955.05,4026.4
15-10-2019,4027.1,4042.65,3960.15,3973.85
16-10-2019,3992.45,4000.0,3880.1,3967.1
17-10-2019,3989.95,4220.0,3965.0,4208.4
18-10-2019,4208.4,4263.3,4170.0,4215.55
22-10-2019,4215.0,4285.0,4203.75,4264.3
23-10-2019,4285.0,4323.95,4174.1,4227.05
24-10-2019,4242.05,4312.0,4181.5,4306.1
25-10-2019,4312.0,4347.0,4221.2,4251.6
27-10-2019,4320.0,4345.0,4251.6,4322.5
29-10-2019,4290.0,4379.85,4270.0,4276.6
30-10-2019,4280.4,4314.95,4231.1,4251.95
31-10-2019,4298.1,4305.05,4238.85,4295.25
01-11-2019,4320.0,4348.95,4274.0,4332.4
