date,open,high,low,close
26-07-2019,557.0,568.8,550.25,563.45
29-07-2019,561.25,565.85,546.3,551.15
30-07-2019,554.0,574.45,549.5,551.95
31-07-2019,556.0,574.25,542.0,571.25
01-08-2019,563.5,567.75,543.35,550.6
02-08-2019,551.0,558.0,542.3,548.65
05-08-2019,546.9,554.9,536.6,548.15
06-08-2019,548.0,566.6,547.9,562.0
07-08-2019,564.0,567.75,551.6,554.7
08-08-2019,580.0,602.45,571.65,598.0
09-08-2019,603.0,615.0,595.4,598.85
13-08-2019,599.0,617.6,591.3,602.8
14-08-2019,605.0,609.0,581.0,605.5
16-08-2019,605.0,611.9,595.15,602.3
19-08-2019,605.0,612.55,598.25,603.8
20-08-2019,606.75,606.75,592.95,600.25
21-08-2019,599.1,601.3,587.4,589.5
22-08-2019,589.5,600.7,583.85,590.8
23-08-2019,592.3,605.8,585.1,598.25
26-08-2019,604.8,607.0,588.85,590.0
27-08-2019,592.0,598.8,585.8,588.35
28-08-2019,590.5,601.5,585.95,591.1
29-08-2019,591.0,596.5,583.95,591.1
30-08-2019,593.95,603.65,591.0,600.7
03-09-2019,603.9,616.35,601.0,605.05
04-09-2019,606.0,606.6,588.05,599.15
05-09-2019,600.1,615.0,600.1,613.05
06-09-2019,616.5,621.55,611.85,619.45
09-09-2019,620.0,627.8,616.7,625.75
11-09-2019,624.0,630.3,622.0,628.4
12-09-2019,630.75,632.0,623.4,628.25
13-09-2019,630.6,631.0,618.0,629.25
16-09-2019,628.0,639.3,626.15,636.6
17-09-2019,637.0,639.0,614.5,616.7
18-09-2019,620.0,622.5,609.5,618.75
19-09-2019,618.8,619.8,603.0,606.2
20-09-2019,609.0,625.15,597.25,619.15
23-09-2019,635.0,638.0,612.9,616.95
24-09-2019,599.8,621.3,588.9,619.05
25-09-2019,617.6,617.8,595.0,602.2
26-09-2019,606.6,616.5,604.0,610.75
27-09-2019,608.0,610.8,595.8,597.2
30-09-2019,596.5,599.0,580.0,589.0
01-10-2019,589.05,596.5,567.5,576.2
03-10-2019,570.0,583.7,559.1,579.65
04-10-2019,581.0,582.45,565.8,567.5
07-10-2019,560.55,564.35,450.35,459.85
09-10-2019,474.15,485.0,454.15,474.4
