date,open,high,low,close
22-07-2019,35.5,35.5,33.9,33.95
23-07-2019,32.35,35.6,32.35,33.2
24-07-2019,33.2,34.85,31.65,32.6
25-07-2019,32.9,34.2,32.9,33.45
26-07-2019,35.0,35.0,33.15,34.8
29-07-2019,33.2,36.45,33.1,33.1
30-07-2019,32.05,32.5,31.55,31.7
31-07-2019,30.25,31.95,30.25,31.75
01-08-2019,33.3,33.3,30.55,30.65
02-08-2019,32.1,32.1,29.15,31.85
05-08-2019,32.9,32.9,30.35,30.5
06-08-2019,31.9,31.9,29.2,29.5
07-08-2019,29.2,32.45,29.2,30.5
08-08-2019,30.5,33.5,30.5,32.8
09-08-2019,34.45,34.45,31.25,34.05
13-08-2019,37.3,37.3,32.0,33.25
14-08-2019,32.5,33.85,32.0,32.2
16-08-2019,34.6,34.6,30.3,31.0
19-08-2019,34.0,34.0,31.1,31.5
20-08-2019,31.5,32.9,30.5,32.25
21-08-2019,33.85,33.85,29.2,32.25
22-08-2019,29.3,34.85,29.3,30.6
23-08-2019,30.95,31.0,29.05,30.7
26-08-2019,33.7,33.7,29.1,31.35
27-08-2019,28.6,33.85,28.6,31.05
28-08-2019,33.25,33.25,29.6,31.85
29-08-2019,29.55,32.0,29.55,29.9
30-08-2019,30.0,31.95,29.55,31.0
03-09-2019,28.05,32.7,28.05,29.4
04-09-2019,31.5,31.5,30.1,30.5
05-09-2019,31.9,31.9,29.0,29.35
06-09-2019,32.0,32.0,29.1,30.85
09-09-2019,32.95,32.95,28.4,29.1
11-09-2019,31.8,32.0,27.3,29.9
12-09-2019,30.95,30.95,28.6,29.4
13-09-2019,29.05,30.85,28.1,30.2
16-09-2019,32.0,32.0,28.6,30.45
17-09-2019,31.75,31.75,28.7,29.25
18-09-2019,28.75,31.7,28.75,29.5
19-09-2019,31.5,31.5,28.6,29.15
20-09-2019,28.6,31.95,28.6,30.0
23-09-2019,31.9,31.9,28.8,29.55
24-09-2019,29.1,30.85,28.75,28.85
25-09-2019,30.75,30.75,28.75,29.75
26-09-2019,30.75,30.85,29.05,30.85
27-09-2019,30.65,30.7,29.45,29.95
30-09-2019,28.25,30.6,28.25,29.1
01-10-2019,30.7,30.7,28.3,30.3
03-10-2019,30.75,30.85,27.6,30.2
04-10-2019,28.5,30.85,28.5,29.0
07-10-2019,30.8,30.8,27.05,27.2
09-10-2019,29.0,29.0,27.7,28.05
10-10-2019,30.8,30.8,27.5,27.55
11-10-2019,28.9,29.9,27.5,28.05
14-10-2019,28.5,28.5,26.55,27.75
15-10-2019,27.0,28.0,26.4,27.05
16-10-2019,29.85,31.95,25.25,26.75
17-10-2019,29.5,29.5,25.7,26.6
18-10-2019,28.9,28.9,25.75,27.1
22-10-2019,27.95,28.8,26.2,27.35
23-10-2019,29.8,29.8,26.65,28.85
24-10-2019,28.0,29.9,26.3,28.15
25-10-2019,29.0,29.0,27.0,28.5
27-10-2019,29.9,34.15,27.1,28.0
29-10-2019,27.15,30.9,27.15,28.2
30-10-2019,27.35,30.75,27.3,29.45
31-10-2019,27.55,29.35,27.0,28.4
01-11-2019,27.15,29.65,26.1,27.55
04-11-2019,29.6,29.6,26.6,27.5
05-11-2019,26.65,29.5,26.65,28.65
06-11-2019,28.5,29.4,27.0,29.0
07-11-2019,28.05,29.3,27.0,28.65
08-11-2019,28.05,28.95,27.1,27.75
11-11-2019,29.9,29.9,27.15,27.25
13-11-2019,29.0,29.5,27.05,28.85
14-11-2019,30.9,30.9,26.25,27.85
15-11-2019,33.0,33.4,27.4,33.4
18-11-2019,39.5,40.05,38.5,40.05
19-11-2019,44.05,44.05,44.05,44.05
20-11-2019,48.45,48.45,40.0,42.95
21-11-2019,42.0,44.95,40.0,43.6
22-11-2019,44.8,45.5,42.15,44.85
25-11-2019,44.5,46.75,42.65,43.35
26-11-2019,44.9,44.9,41.25,41.7
27-11-2019,41.7,41.7,38.2,39.45
28-11-2019,37.1,39.75,37.1,37.65
29-11-2019,36.1,39.6,35.05,36.0
02-12-2019,37.9,37.9,33.2,35.3
03-12-2019,36.95,37.0,34.5,36.95
04-12-2019,38.2,38.2,35.25,35.5
05-12-2019,35.25,36.85,34.65,35.0
06-12-2019,35.0,35.0,34.5,34.5
09-12-2019,35.8,36.0,34.6,34.95
10-12-2019,34.0,34.9,33.25,34.9
11-12-2019,33.5,33.55,33.5,33.5
12-12-2019,33.5,33.5,33.5,33.5
13-12-2019,33.5,35.15,33.0,33.5
16-12-2019,33.5,34.0,33.5,33.75
17-12-2019,32.5,35.4,32.5,32.75
18-12-2019,33.15,34.35,33.15,34.35
19-12-2019,34.0,35.6,34.0,35.6
20-12-2019,34.55,35.0,34.55,34.6
23-12-2019,34.5,34.6,34.5,34.6
24-12-2019,34.0,34.0,33.9,33.9
26-12-2019,34.05,34.2,33.5,33.5
27-12-2019,34.65,34.9,34.5,34.65
31-12-2019,35.05,36.0,35.05,35.55
01-01-2020,36.85,36.9,36.85,36.9
02-01-2020,35.15,36.9,35.1,36.8
03-01-2020,35.1,37.8,35.1,36.0
06-01-2020,36.0,36.0,34.35,35.0
07-01-2020,36.25,36.25,35.6,35.6
08-01-2020,36.5,36.5,36.1,36.1
09-01-2020,36.3,37.0,35.05,35.05
10-01-2020,36.8,36.8,36.75,36.8
13-01-2020,35.0,36.8,35.0,36.5
14-01-2020,36.9,36.9,36.1,36.45
15-01-2020,36.5,36.85,35.5,36.05
16-01-2020,35.6,36.5,35.6,36.5
17-01-2020,35.55,36.0,35.55,36.0
20-01-2020,37.45,37.45,35.2,37.4
21-01-2020,37.4,37.4,36.8,37.05
22-01-2020,35.55,38.85,35.55,35.9
23-01-2020,35.25,35.25,35.25,35.25
24-01-2020,36.9,36.9,36.05,36.9
27-01-2020,38.6,38.6,36.05,38.1
28-01-2020,39.85,39.85,36.45,37.2
29-01-2020,35.55,39.05,35.55,38.65
30-01-2020,37.0,38.5,37.0,38.5
31-01-2020,40.35,40.4,36.7,39.45
01-02-2020,37.5,39.45,37.5,37.55
03-02-2020,35.7,36.0,35.7,36.0
04-02-2020,37.0,37.7,35.55,37.45
05-02-2020,39.3,39.3,39.3,39.3
06-02-2020,41.25,41.25,37.35,41.25
07-02-2020,43.3,43.3,43.3,43.3
10-02-2020,45.45,45.45,41.15,43.35
11-02-2020,41.2,44.95,41.2,42.9
12-02-2020,42.0,43.1,41.5,42.3
13-02-2020,41.1,43.0,41.1,42.45
14-02-2020,41.15,42.5,40.4,40.7
17-02-2020,38.75,40.5,38.75,40.0
18-02-2020,38.0,38.0,38.0,38.0
19-02-2020,36.1,39.5,36.1,37.55
20-02-2020,39.1,39.1,37.5,38.25
24-02-2020,38.25,40.15,38.25,39.85
25-02-2020,37.9,39.9,37.9,38.3
26-02-2020,38.3,38.3,37.15,37.15
27-02-2020,36.0,36.0,35.5,35.65
28-02-2020,34.05,35.0,33.9,35.0
02-03-2020,36.0,36.75,35.55,36.75
03-03-2020,35.15,38.25,35.15,38.25
04-03-2020,38.0,40.0,37.0,37.0
05-03-2020,37.0,37.0,35.15,35.15
06-03-2020,33.5,34.95,33.4,34.9
09-03-2020,33.25,33.3,33.2,33.3
11-03-2020,32.0,34.45,31.65,33.0
12-03-2020,31.7,32.55,31.35,31.35
13-03-2020,32.0,32.0,30.0,30.0
16-03-2020,28.55,31.5,28.5,30.0
17-03-2020,29.55,30.2,28.85,30.0
18-03-2020,30.0,31.4,28.5,28.5
19-03-2020,27.15,28.6,27.15,28.6
20-03-2020,27.2,30.0,27.2,28.15
23-03-2020,28.15,29.5,26.8,27.0
24-03-2020,26.95,26.95,25.65,25.65
25-03-2020,24.45,26.9,24.45,24.5
26-03-2020,25.6,25.6,23.35,25.55
27-03-2020,26.75,26.8,26.75,26.75
30-03-2020,27.75,27.95,25.45,25.45
31-03-2020,24.5,26.7,24.25,26.35
01-04-2020,26.0,26.05,26.0,26.0
03-04-2020,24.8,26.0,24.8,25.9
07-04-2020,27.0,27.0,25.0,25.0
08-04-2020,26.1,26.1,26.1,26.1
09-04-2020,26.0,28.45,23.7,25.7
13-04-2020,27.8,27.8,25.6,26.35
15-04-2020,25.6,28.95,24.1,27.5
16-04-2020,28.5,28.5,25.35,26.2
17-04-2020,26.95,28.0,26.1,26.25
20-04-2020,27.45,27.55,26.0,26.75
21-04-2020,26.7,27.45,26.0,27.35
22-04-2020,28.4,28.4,26.0,28.1
23-04-2020,26.75,28.4,26.7,26.75
24-04-2020,25.5,26.5,25.5,25.55
27-04-2020,25.5,26.8,25.35,26.75
28-04-2020,26.65,28.05,25.8,27.05
29-04-2020,26.35,28.25,26.25,26.45
30-04-2020,26.55,27.75,26.55,27.75
04-05-2020,27.75,27.75,26.4,26.4
05-05-2020,25.6,27.7,25.6,26.0
06-05-2020,26.9,26.9,25.75,26.8
07-05-2020,25.85,26.4,25.8,26.4
08-05-2020,26.95,27.0,25.85,26.25
11-05-2020,25.8,26.45,25.0,26.35
12-05-2020,25.5,26.5,25.5,26.5
13-05-2020,26.5,26.5,25.6,25.65
14-05-2020,25.65,26.05,24.45,24.5
15-05-2020,24.5,25.7,24.5,24.55
18-05-2020,24.45,24.5,24.45,24.5
20-05-2020,23.5,24.95,23.5,24.95
21-05-2020,24.5,25.1,23.8,24.15
26-05-2020,23.25,24.75,23.0,23.75
27-05-2020,24.7,24.7,24.5,24.5
28-05-2020,23.5,23.7,23.5,23.6
29-05-2020,24.5,24.5,23.5,23.55
01-06-2020,24.6,24.65,24.6,24.65
02-06-2020,25.85,25.85,24.0,25.8
03-06-2020,25.8,27.05,25.8,27.0
04-06-2020,25.7,26.15,25.65,25.65
05-06-2020,28.0,28.0,25.95,26.0
08-06-2020,28.5,28.6,26.05,28.4
09-06-2020,28.5,29.9,25.6,26.3
10-06-2020,24.4,27.7,24.35,27.0
11-06-2020,28.0,28.0,26.1,27.75
12-06-2020,25.1,27.0,25.1,26.55
15-06-2020,26.55,26.55,25.95,26.0
16-06-2020,26.85,28.0,26.3,27.9
17-06-2020,27.9,28.5,26.0,28.25
18-06-2020,28.0,30.0,27.0,28.2
19-06-2020,28.95,29.95,27.25,29.2
22-06-2020,30.8,30.9,28.75,29.35
23-06-2020,30.75,32.0,29.45,30.8
24-06-2020,33.35,33.85,33.3,33.85
25-06-2020,36.75,37.1,31.35,35.25
26-06-2020,38.4,38.4,33.1,34.1
29-06-2020,35.9,36.8,32.0,35.9
30-06-2020,37.0,37.0,34.05,34.6
