date,open,high,low,close
22-07-2019,22.1,22.7,21.95,22.05
23-07-2019,21.9,22.65,21.9,22.15
24-07-2019,21.9,22.7,21.6,21.7
25-07-2019,21.1,22.15,21.1,21.85
26-07-2019,21.25,22.3,21.25,21.95
29-07-2019,21.6,22.15,21.3,21.45
30-07-2019,21.3,22.75,21.1,21.15
31-07-2019,21.0,21.15,20.6,20.7
01-08-2019,20.5,20.7,20.25,20.35
02-08-2019,20.25,20.25,19.8,20.05
05-08-2019,19.4,20.25,19.0,19.1
06-08-2019,18.8,20.3,18.8,19.8
07-08-2019,20.75,20.75,19.7,20.15
08-08-2019,20.2,20.75,20.0,20.55
09-08-2019,20.75,20.95,20.05,20.35
13-08-2019,21.7,21.7,18.85,18.95
14-08-2019,19.9,19.9,18.85,19.05
16-08-2019,19.6,20.25,19.05,20.0
19-08-2019,20.75,22.0,19.6,21.25
20-08-2019,21.15,21.3,20.35,20.95
21-08-2019,20.85,22.0,20.35,21.4
22-08-2019,20.8,21.55,20.65,21.25
23-08-2019,21.0,21.5,20.55,20.95
26-08-2019,21.3,21.35,20.9,21.1
27-08-2019,20.95,21.85,20.95,21.2
28-08-2019,21.55,21.9,21.0,21.7
29-08-2019,21.25,21.55,21.0,21.15
30-08-2019,21.0,21.75,21.0,21.3
03-09-2019,21.65,21.65,20.6,20.95
04-09-2019,20.55,21.5,20.5,21.05
05-09-2019,21.1,21.95,20.8,21.8
06-09-2019,21.75,23.1,21.25,22.25
09-09-2019,22.5,23.0,21.5,22.3
11-09-2019,22.5,23.4,21.8,23.1
12-09-2019,23.7,23.7,22.05,22.95
13-09-2019,23.1,23.5,22.5,22.75
16-09-2019,22.9,24.0,22.15,23.65
17-09-2019,23.9,23.95,23.0,23.05
18-09-2019,23.1,23.4,22.9,23.0
19-09-2019,23.05,23.35,22.5,23.05
20-09-2019,23.1,23.6,22.65,23.15
23-09-2019,23.7,24.55,23.15,23.6
24-09-2019,23.5,23.85,22.65,23.35
25-09-2019,23.75,24.0,22.8,23.25
26-09-2019,23.7,24.0,22.8,23.25
27-09-2019,23.5,23.5,22.45,22.7
30-09-2019,22.55,23.0,22.3,22.95
01-10-2019,22.9,23.0,22.0,22.7
03-10-2019,22.45,22.9,22.25,22.85
04-10-2019,22.65,23.2,22.35,22.4
07-10-2019,22.75,23.6,22.25,23.0
09-10-2019,23.0,23.1,22.6,23.0
10-10-2019,22.9,23.15,22.0,22.45
11-10-2019,22.8,22.8,22.3,22.6
14-10-2019,22.6,22.9,22.35,22.5
15-10-2019,22.85,23.0,22.4,22.55
16-10-2019,22.8,22.8,22.25,22.5
17-10-2019,22.65,22.7,22.1,22.5
18-10-2019,22.7,23.5,22.4,23.05
22-10-2019,23.45,23.8,22.8,22.85
23-10-2019,23.1,25.9,22.6,24.8
24-10-2019,25.3,27.0,24.55,25.2
25-10-2019,24.75,25.4,23.35,23.8
27-10-2019,25.5,25.5,24.0,24.85
29-10-2019,25.25,25.25,24.75,24.85
30-10-2019,25.2,26.2,25.1,25.25
31-10-2019,25.05,25.95,25.05,25.4
01-11-2019,25.85,25.85,24.6,24.8
04-11-2019,24.5,25.2,24.5,24.75
05-11-2019,25.0,25.0,23.9,24.05
06-11-2019,24.35,24.7,23.95,24.3
07-11-2019,24.65,24.85,24.0,24.5
08-11-2019,24.8,29.4,24.2,29.05
11-11-2019,29.0,30.8,28.1,28.75
13-11-2019,28.75,30.15,27.1,28.65
14-11-2019,29.3,29.35,28.55,28.65
15-11-2019,29.0,29.45,27.7,28.8
18-11-2019,28.95,29.95,28.75,29.2
19-11-2019,29.5,32.85,29.05,31.85
20-11-2019,32.7,32.9,30.05,30.35
21-11-2019,30.9,31.3,29.9,30.15
22-11-2019,30.25,30.65,29.65,30.2
25-11-2019,30.2,31.4,29.85,30.1
26-11-2019,30.75,30.75,28.1,28.65
27-11-2019,28.55,29.35,28.2,28.6
28-11-2019,28.5,29.7,28.1,29.45
29-11-2019,29.85,29.85,29.1,29.4
02-12-2019,29.55,29.6,28.5,28.85
03-12-2019,28.9,29.0,28.4,28.5
04-12-2019,28.6,29.1,28.5,29.0
05-12-2019,29.2,29.6,28.5,28.75
06-12-2019,28.75,28.9,27.85,28.15
09-12-2019,28.05,30.15,28.0,29.7
10-12-2019,30.0,30.8,29.5,30.35
11-12-2019,31.5,32.8,30.3,31.3
12-12-2019,31.85,33.1,30.2,32.45
13-12-2019,32.3,33.5,31.65,32.05
16-12-2019,33.0,33.0,31.0,31.15
17-12-2019,31.35,31.75,30.5,30.65
18-12-2019,30.85,31.1,29.45,29.8
19-12-2019,29.5,30.5,29.5,30.2
20-12-2019,29.55,31.9,29.55,31.4
23-12-2019,31.4,31.85,30.25,30.35
24-12-2019,30.1,30.75,29.8,30.1
26-12-2019,30.0,30.75,29.7,30.5
27-12-2019,30.4,32.6,30.35,32.45
30-12-2019,32.5,32.5,30.9,31.7
31-12-2019,31.6,31.6,30.7,31.0
01-01-2020,30.95,31.95,30.6,31.5
02-01-2020,31.75,36.0,31.65,35.55
03-01-2020,35.75,35.85,33.55,34.0
06-01-2020,34.0,34.0,31.65,32.35
07-01-2020,32.6,33.6,32.15,33.3
08-01-2020,32.85,33.8,31.8,33.05
09-01-2020,33.1,34.5,33.1,33.6
10-01-2020,33.85,34.25,33.7,33.95
13-01-2020,34.05,35.5,33.55,34.65
14-01-2020,35.0,35.25,34.1,34.25
15-01-2020,34.95,35.0,33.75,34.35
16-01-2020,34.6,35.7,34.1,34.35
17-01-2020,34.65,35.0,32.45,33.45
20-01-2020,34.5,34.9,33.7,33.8
21-01-2020,34.4,34.4,33.4,34.0
22-01-2020,34.0,34.3,33.55,34.05
23-01-2020,34.7,35.3,34.0,34.85
24-01-2020,34.85,37.2,34.75,36.05
27-01-2020,36.55,38.6,35.75,37.7
28-01-2020,38.8,39.0,36.55,36.95
29-01-2020,37.0,38.25,36.5,36.75
30-01-2020,37.0,37.0,34.8,35.65
31-01-2020,36.0,36.05,34.0,34.3
01-02-2020,34.85,34.85,31.6,31.85
03-02-2020,32.0,33.2,30.95,31.85
04-02-2020,32.0,36.0,32.0,35.55
05-02-2020,36.1,36.9,34.3,35.45
06-02-2020,35.1,36.3,35.1,35.35
07-02-2020,35.35,35.8,34.1,34.7
10-02-2020,35.8,35.8,33.7,34.35
11-02-2020,34.0,36.25,33.55,35.95
12-02-2020,36.0,42.0,34.05,40.8
13-02-2020,41.0,43.3,39.5,42.3
14-02-2020,41.35,42.7,40.1,40.3
17-02-2020,40.85,41.3,38.45,38.85
18-02-2020,39.0,40.95,37.35,39.75
19-02-2020,39.9,41.4,39.25,39.95
20-02-2020,41.2,44.0,41.0,41.95
24-02-2020,42.65,42.65,40.3,40.5
25-02-2020,40.9,41.15,39.1,39.35
26-02-2020,38.5,40.4,38.05,38.65
27-02-2020,39.8,39.8,37.5,38.05
28-02-2020,37.4,38.0,35.45,35.8
02-03-2020,35.95,38.1,33.5,34.3
03-03-2020,35.0,36.0,34.2,35.7
04-03-2020,36.3,36.3,33.8,35.15
05-03-2020,35.5,36.2,35.05,35.35
06-03-2020,33.3,36.15,32.0,35.35
09-03-2020,35.5,35.5,32.9,33.6
11-03-2020,34.85,34.85,32.75,33.0
12-03-2020,32.4,32.4,27.0,27.45
13-03-2020,24.1,30.3,22.4,28.8
16-03-2020,29.25,29.25,25.0,27.05
17-03-2020,27.0,28.75,26.5,26.85
18-03-2020,27.15,27.85,25.0,25.65
19-03-2020,25.0,25.4,23.4,24.05
20-03-2020,24.2,25.65,24.0,24.75
23-03-2020,21.2,23.75,20.8,21.3
24-03-2020,21.9,22.7,20.25,21.35
25-03-2020,21.35,22.0,20.0,21.2
26-03-2020,21.0,23.8,21.0,21.65
27-03-2020,22.1,23.35,21.1,21.4
30-03-2020,21.05,23.9,20.7,22.65
31-03-2020,22.85,23.9,22.8,23.65
01-04-2020,24.2,24.3,23.1,23.8
03-04-2020,23.8,23.9,23.2,23.8
07-04-2020,24.9,25.8,23.9,25.05
08-04-2020,25.45,27.8,24.25,27.25
09-04-2020,27.6,31.5,27.6,30.7
13-04-2020,31.0,32.0,29.0,30.25
15-04-2020,29.7,32.0,29.65,29.85
16-04-2020,29.5,30.0,28.6,29.95
17-04-2020,31.0,31.45,30.0,30.45
20-04-2020,30.65,31.6,30.0,31.25
21-04-2020,30.85,30.9,30.2,30.7
22-04-2020,30.9,33.25,30.9,32.55
23-04-2020,33.1,33.65,32.4,32.7
24-04-2020,33.0,33.0,31.0,31.55
27-04-2020,31.6,32.0,31.25,31.55
28-04-2020,31.6,32.4,31.3,31.45
29-04-2020,31.35,32.8,31.2,32.6
30-04-2020,32.65,33.95,31.5,31.75
04-05-2020,31.25,31.25,30.0,30.25
05-05-2020,31.0,31.0,29.5,29.95
06-05-2020,29.95,30.3,29.05,29.65
07-05-2020,29.35,29.95,29.2,29.5
08-05-2020,29.9,30.7,29.4,29.85
11-05-2020,30.0,31.25,29.8,30.8
12-05-2020,31.0,33.0,30.15,32.2
13-05-2020,33.0,34.55,32.2,34.0
14-05-2020,34.0,37.25,33.25,36.75
15-05-2020,37.2,38.0,36.6,37.15
18-05-2020,37.5,39.0,34.6,35.0
19-05-2020,35.5,36.4,33.55,34.1
20-05-2020,34.15,34.9,34.05,34.6
21-05-2020,35.35,35.7,34.6,34.85
22-05-2020,35.0,35.1,33.85,34.1
26-05-2020,34.1,36.6,33.95,35.55
27-05-2020,35.25,36.7,35.25,36.1
28-05-2020,36.45,41.0,36.0,40.65
29-05-2020,40.8,40.8,38.6,39.05
